,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,0.0193,21.9317,19.6243
1,df_to_dp_7,0,0.0193,21.9870,19.7081
2,df_to_dp_8,0,0.0193,21.5783,19.2107
3,df_to_dp_9,0,0.0193,22.4546,20.1515
4,df_to_dp_10,0,0.0193,22.4884,20.1527
5,df_to_dp_11,0,0.0193,22.8017,20.3303
6,df_to_dp_12,0,0.0193,22.6497,20.1664
7,df_to_dp_13,0,0.0193,22.6047,19.9578
8,df_to_dp_14,0,0.0193,22.6364,20.2815
9,df_to_dp_15,0,0.0193,22.6454,20.1280
10,df_to_dp_16,0,0.0193,22.9077,20.4405
11,df_to_dp_17,0,0.0193,22.7052,20.1083
12,df_to_dp_18,0,0.0193,22.5072,20.2090
13,df_to_dp_19,0,0.0193,21.9766,21.3143
14,df_to_dp_20,0,0.0193,22.0155,19.7802
15,df_to_dp_6,1,0.0282,38.0275,35.6972
16,df_to_dp_7,1,0.0282,42.7514,39.7832
17,df_to_dp_8,1,0.0282,37.8194,35.5260
18,df_to_dp_9,1,0.0282,41.3896,38.7775
19,df_to_dp_10,1,0.0282,39.8812,37.5907
20,df_to_dp_11,1,0.0282,39.6461,37.8460
21,df_to_dp_12,1,0.0282,41.0822,38.7878
22,df_to_dp_13,1,0.0282,41.5648,38.4006
23,df_to_dp_14,1,0.0282,40.2818,38.0524
24,df_to_dp_15,1,0.0282,41.3981,39.1978
25,df_to_dp_16,1,0.0282,41.6150,38.6944
26,df_to_dp_17,1,0.0282,41.3918,38.1150
27,df_to_dp_18,1,0.0282,41.4682,38.1231
28,df_to_dp_19,1,0.0282,43.3616,42.1581
29,df_to_dp_20,1,0.0282,38.8418,36.5859
30,df_to_dp_6,2,0.0069,38.4958,36.7298
31,df_to_dp_7,2,0.0069,44.0445,41.9289
32,df_to_dp_8,2,0.0069,38.5527,36.3689
33,df_to_dp_9,2,0.0069,42.3571,40.8047
34,df_to_dp_10,2,0.0069,40.9412,39.0855
35,df_to_dp_11,2,0.0069,40.8716,39.2384
36,df_to_dp_12,2,0.0069,42.8541,40.7894
37,df_to_dp_13,2,0.0069,41.4225,39.0616
38,df_to_dp_14,2,0.0069,41.8968,39.6546
39,df_to_dp_15,2,0.0069,42.1945,40.7862
40,df_to_dp_16,2,0.0069,42.5050,40.1120
41,df_to_dp_17,2,0.0069,41.4897,39.5546
42,df_to_dp_18,2,0.0069,41.8783,39.6184
43,df_to_dp_19,2,0.0069,44.7891,43.9474
44,df_to_dp_20,2,0.0069,40.3490,38.1885
45,df_to_dp_6,3,0.0136,28.3279,26.3523
46,df_to_dp_7,3,0.0136,33.7753,30.8570
47,df_to_dp_8,3,0.0136,27.8285,25.5066
48,df_to_dp_9,3,0.0136,31.3377,29.1572
49,df_to_dp_10,3,0.0136,30.5911,28.2020
50,df_to_dp_11,3,0.0136,30.4015,28.3841
51,df_to_dp_12,3,0.0136,31.1960,29.2571
52,df_to_dp_13,3,0.0136,31.5949,28.6811
53,df_to_dp_14,3,0.0136,30.8161,28.8320
54,df_to_dp_15,3,0.0136,32.1509,30.4340
55,df_to_dp_16,3,0.0136,30.5988,28.9535
56,df_to_dp_17,3,0.0136,31.1693,28.8707
57,df_to_dp_18,3,0.0136,31.2234,28.5270
58,df_to_dp_19,3,0.0136,34.3874,32.8204
59,df_to_dp_20,3,0.0136,30.5822,28.3309
60,df_to_dp_6,4,0.0074,23.1294,20.5137
61,df_to_dp_7,4,0.0074,24.0072,21.5523
62,df_to_dp_8,4,0.0074,22.8683,20.2678
63,df_to_dp_9,4,0.0074,24.0437,21.5838
64,df_to_dp_10,4,0.0074,23.6361,21.1697
65,df_to_dp_11,4,0.0074,24.0250,21.3998
66,df_to_dp_12,4,0.0074,24.1510,21.4921
67,df_to_dp_13,4,0.0074,24.0359,21.3971
68,df_to_dp_14,4,0.0074,23.9331,21.4318
69,df_to_dp_15,4,0.0074,23.9837,21.4839
70,df_to_dp_16,4,0.0074,24.4347,21.7515
71,df_to_dp_17,4,0.0074,24.2082,21.5919
72,df_to_dp_18,4,0.0074,24.1476,21.5601
73,df_to_dp_19,4,0.0074,24.3599,23.4790
74,df_to_dp_20,4,0.0074,23.4659,20.7713
75,df_to_dp_6,5,0.0140,26.4732,23.8004
76,df_to_dp_7,5,0.0140,30.0942,27.8584
77,df_to_dp_8,5,0.0140,26.5727,24.0931
78,df_to_dp_9,5,0.0140,29.3694,26.5956
79,df_to_dp_10,5,0.0140,28.4020,25.3372
80,df_to_dp_11,5,0.0140,28.5590,25.7580
81,df_to_dp_12,5,0.0140,28.9916,26.5004
82,df_to_dp_13,5,0.0140,28.6117,26.0082
83,df_to_dp_14,5,0.0140,27.7853,25.8152
84,df_to_dp_15,5,0.0140,29.8753,27.8179
85,df_to_dp_16,5,0.0140,28.7502,26.0499
86,df_to_dp_17,5,0.0140,28.4322,25.6633
87,df_to_dp_18,5,0.0140,28.3140,25.3140
88,df_to_dp_19,5,0.0140,32.1928,30.4532
89,df_to_dp_20,5,0.0140,27.5391,24.8561
90,df_to_dp_6,6,0.0477,23.7050,22.2583
91,df_to_dp_7,6,0.0477,25.2373,23.8052
92,df_to_dp_8,6,0.0477,23.9178,22.6562
93,df_to_dp_9,6,0.0477,24.9834,23.5433
94,df_to_dp_10,6,0.0477,24.3433,23.0136
95,df_to_dp_11,6,0.0477,24.7230,23.4211
96,df_to_dp_12,6,0.0477,24.6852,23.4731
97,df_to_dp_13,6,0.0477,24.2450,23.0046
98,df_to_dp_14,6,0.0477,24.5688,23.1049
99,df_to_dp_15,6,0.0477,24.5534,23.4457
100,df_to_dp_16,6,0.0477,24.9601,23.6466
101,df_to_dp_17,6,0.0477,24.5206,23.1803
102,df_to_dp_18,6,0.0477,24.4135,23.0309
103,df_to_dp_19,6,0.0477,25.7615,24.9445
104,df_to_dp_20,6,0.0477,23.3892,21.9877
105,df_to_dp_6,7,0.0167,27.3460,24.6352
106,df_to_dp_7,7,0.0167,32.3076,29.1772
107,df_to_dp_8,7,0.0167,27.0696,24.4591
108,df_to_dp_9,7,0.0167,30.3713,27.8810
109,df_to_dp_10,7,0.0167,29.4055,26.3905
110,df_to_dp_11,7,0.0167,29.3885,26.7775
111,df_to_dp_12,7,0.0167,30.4841,27.6334
112,df_to_dp_13,7,0.0167,29.6178,26.9375
