,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.2500,0.1000,0.7846
1,df_to_dp_7,0,0.2500,0.1000,0.7256
2,df_to_dp_8,0,0.2500,0.1000,0.8893
3,df_to_dp_9,0,0.2550,0.1102,0.6250
4,df_to_dp_10,0,0.2500,0.1000,0.6887
5,df_to_dp_11,0,0.2500,0.1000,0.6699
6,df_to_dp_12,0,0.2500,0.1000,0.6690
7,df_to_dp_13,0,0.2500,0.1000,0.6540
8,df_to_dp_14,0,0.4700,0.3554,0.7110
9,df_to_dp_15,0,0.3300,0.2280,0.7217
10,df_to_dp_16,0,0.2500,0.1000,0.7980
11,df_to_dp_17,0,0.2500,0.1000,0.7265
12,df_to_dp_18,0,0.2500,0.1000,0.7217
13,df_to_dp_19,0,0.2344,0.1192,0.7854
14,df_to_dp_20,0,0.2500,0.1000,0.7760
15,df_to_dp_6,1,0.2500,0.1000,0.8344
16,df_to_dp_7,1,0.5000,0.3750,0.7540
17,df_to_dp_8,1,0.2750,0.1475,0.8996
18,df_to_dp_9,1,0.4500,0.3413,0.6600
19,df_to_dp_10,1,0.2500,0.1000,0.7394
20,df_to_dp_11,1,0.2800,0.1560,0.7038
21,df_to_dp_12,1,0.2550,0.1102,0.6045
22,df_to_dp_13,1,0.5000,0.3750,0.6057
23,df_to_dp_14,1,0.5000,0.3750,0.8186
24,df_to_dp_15,1,0.5000,0.3750,0.7831
25,df_to_dp_16,1,0.2500,0.1000,0.8477
26,df_to_dp_17,1,0.2500,0.1000,0.7478
27,df_to_dp_18,1,0.2800,0.1560,0.7558
28,df_to_dp_19,1,0.4792,0.3641,0.8147
29,df_to_dp_20,1,0.2600,0.1200,0.7470
30,df_to_dp_6,2,0.2500,0.1000,0.8141
31,df_to_dp_7,2,0.2500,0.1000,0.6907
32,df_to_dp_8,2,0.2500,0.1000,0.8490
33,df_to_dp_9,2,0.2500,0.1000,0.6277
34,df_to_dp_10,2,0.2500,0.1000,0.7494
35,df_to_dp_11,2,0.2500,0.1000,0.7485
36,df_to_dp_12,2,0.2500,0.1000,0.6941
37,df_to_dp_13,2,0.2500,0.1000,0.8524
38,df_to_dp_14,2,0.3850,0.2874,0.7603
39,df_to_dp_15,2,0.2800,0.1560,0.7566
40,df_to_dp_16,2,0.2500,0.1000,0.8098
41,df_to_dp_17,2,0.2500,0.1000,0.8410
42,df_to_dp_18,2,0.2500,0.1000,0.7967
43,df_to_dp_19,2,0.2188,0.0897,0.7844
44,df_to_dp_20,2,0.2500,0.1000,0.8550
45,df_to_dp_6,3,0.2650,0.1295,0.8754
46,df_to_dp_7,3,0.5000,0.3750,0.8578
47,df_to_dp_8,3,0.4900,0.3687,0.7493
48,df_to_dp_9,3,0.4800,0.3621,0.8586
49,df_to_dp_10,3,0.4050,0.3055,0.8542
50,df_to_dp_11,3,0.5000,0.3750,0.8515
51,df_to_dp_12,3,0.5000,0.3750,0.7783
52,df_to_dp_13,3,0.5000,0.3750,0.6751
53,df_to_dp_14,3,0.5000,0.3750,0.8419
54,df_to_dp_15,3,0.4950,0.3706,0.8409
55,df_to_dp_16,3,0.4050,0.3055,0.8521
56,df_to_dp_17,3,0.5000,0.3750,0.8008
57,df_to_dp_18,3,0.5000,0.3750,0.8185
58,df_to_dp_19,3,0.4792,0.3641,0.7949
59,df_to_dp_20,3,0.5000,0.3750,0.8499
60,df_to_dp_6,4,0.2500,0.1000,0.8878
61,df_to_dp_7,4,0.3350,0.2342,0.7431
62,df_to_dp_8,4,0.2500,0.1000,0.8437
63,df_to_dp_9,4,0.2700,0.1387,0.7378
64,df_to_dp_10,4,0.2500,0.1000,0.7296
65,df_to_dp_11,4,0.2500,0.1000,0.7987
66,df_to_dp_12,4,0.2500,0.1000,0.6950
67,df_to_dp_13,4,0.2500,0.1000,0.6116
68,df_to_dp_14,4,0.4650,0.3520,0.8092
69,df_to_dp_15,4,0.3550,0.2571,0.8413
70,df_to_dp_16,4,0.2500,0.1000,0.8653
71,df_to_dp_17,4,0.2500,0.1000,0.8173
72,df_to_dp_18,4,0.2500,0.1000,0.7674
73,df_to_dp_19,4,0.2917,0.2048,0.8782
74,df_to_dp_20,4,0.2500,0.1000,0.8495
75,df_to_dp_6,5,0.2500,0.1000,0.9127
76,df_to_dp_7,5,0.5000,0.3750,0.8595
77,df_to_dp_8,5,0.3500,0.2516,0.8083
78,df_to_dp_9,5,0.4850,0.3654,0.8546
79,df_to_dp_10,5,0.2900,0.1723,0.8396
80,df_to_dp_11,5,0.4600,0.3485,0.8413
81,df_to_dp_12,5,0.4550,0.3449,0.7925
82,df_to_dp_13,5,0.5000,0.3750,0.7081
83,df_to_dp_14,5,0.5000,0.3750,0.8341
84,df_to_dp_15,5,0.4950,0.3706,0.8445
85,df_to_dp_16,5,0.3050,0.1948,0.8587
86,df_to_dp_17,5,0.4950,0.3719,0.7977
87,df_to_dp_18,5,0.4950,0.3719,0.8087
88,df_to_dp_19,5,0.4792,0.3641,0.8637
