,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,4.9191,17.6181,19.1366
1,df_to_dp_7,0,4.9191,16.7588,18.5301
2,df_to_dp_8,0,4.9191,15.5760,16.8159
3,df_to_dp_9,0,4.9191,17.4156,19.0485
4,df_to_dp_10,0,4.9191,18.1613,20.1384
5,df_to_dp_11,0,4.9191,17.7917,19.6148
6,df_to_dp_12,0,4.9191,18.8641,20.4881
7,df_to_dp_13,0,4.9191,15.7942,17.3966
8,df_to_dp_14,0,4.9191,15.2067,17.0990
9,df_to_dp_15,0,4.9191,15.8845,18.0922
10,df_to_dp_16,0,4.9191,18.0093,19.9570
11,df_to_dp_17,0,4.9191,17.2642,19.1433
12,df_to_dp_18,0,4.9191,16.6834,18.8711
13,df_to_dp_19,0,4.9191,17.0945,17.9095
14,df_to_dp_20,0,4.9191,16.4004,17.6991
15,df_to_dp_6,1,6.4158,9.6481,10.6990
16,df_to_dp_7,1,6.4158,7.8522,8.9464
17,df_to_dp_8,1,6.4158,7.6618,8.7581
18,df_to_dp_9,1,6.4158,8.6193,9.6154
19,df_to_dp_10,1,6.4158,9.4536,10.6752
20,df_to_dp_11,1,6.4158,8.6565,10.3010
21,df_to_dp_12,1,6.4158,9.0696,10.4085
22,df_to_dp_13,1,6.4158,7.3615,8.5338
23,df_to_dp_14,1,6.4158,7.4541,8.8037
24,df_to_dp_15,1,6.4158,8.0114,9.3336
25,df_to_dp_16,1,6.4158,8.9290,10.3077
26,df_to_dp_17,1,6.4158,8.5940,9.8718
27,df_to_dp_18,1,6.4158,8.0735,9.2784
28,df_to_dp_19,1,6.4158,8.3486,8.6540
29,df_to_dp_20,1,6.4158,7.1578,8.2284
30,df_to_dp_6,2,12.3251,18.4211,19.9517
31,df_to_dp_7,2,12.3251,19.1770,20.6677
32,df_to_dp_8,2,12.3251,16.8350,17.8214
33,df_to_dp_9,2,12.3251,19.8306,20.9849
34,df_to_dp_10,2,12.3251,20.6522,21.9191
35,df_to_dp_11,2,12.3251,19.3726,21.0819
36,df_to_dp_12,2,12.3251,20.2382,21.9164
37,df_to_dp_13,2,12.3251,17.5118,18.9089
38,df_to_dp_14,2,12.3251,16.6240,18.2579
39,df_to_dp_15,2,12.3251,17.6151,19.5947
40,df_to_dp_16,2,12.3251,20.0119,21.4354
41,df_to_dp_17,2,12.3251,19.1190,20.6171
42,df_to_dp_18,2,12.3251,18.8896,20.5723
43,df_to_dp_19,2,12.3251,19.8419,20.5960
