,scenario,run,acc,f1_score,auroc
0,syn_6_to_dp_6,0,0.5800,0.5237,0.8983
1,syn_6_to_dp_6,1,0.5100,0.4077,0.8634
2,syn_6_to_dp_6,2,0.5450,0.4805,0.8982
3,syn_6_to_dp_6,3,0.5250,0.4464,0.8787
4,syn_6_to_dp_6,4,0.4050,0.3105,0.8861
5,syn_6_to_dp_6,5,0.4850,0.4486,0.8600
6,syn_6_to_dp_6,6,0.3150,0.1968,0.8280
7,syn_6_to_dp_6,7,0.5950,0.5258,0.8731
8,syn_6_to_dp_6,8,0.5600,0.5085,0.9137
9,syn_6_to_dp_6,9,0.5350,0.4676,0.9113
10,syn_7_to_dp_7,0,0.5100,0.4391,0.8365
11,syn_7_to_dp_7,1,0.5950,0.5771,0.8654
12,syn_7_to_dp_7,2,0.5850,0.5726,0.8523
13,syn_7_to_dp_7,3,0.5000,0.4315,0.8204
14,syn_7_to_dp_7,4,0.5750,0.5148,0.7895
15,syn_7_to_dp_7,5,0.5550,0.4797,0.8445
16,syn_7_to_dp_7,6,0.5450,0.5082,0.8488
17,syn_7_to_dp_7,7,0.5200,0.4666,0.8304
18,syn_7_to_dp_7,8,0.5750,0.5114,0.8574
19,syn_7_to_dp_7,9,0.4900,0.3620,0.8316
20,syn_8_to_dp_8,0,0.5900,0.5278,0.9439
21,syn_8_to_dp_8,1,0.8050,0.7990,0.9638
22,syn_8_to_dp_8,2,0.7750,0.7605,0.9647
23,syn_8_to_dp_8,3,0.6950,0.6448,0.9498
24,syn_8_to_dp_8,4,0.6750,0.6492,0.9455
25,syn_8_to_dp_8,5,0.6950,0.6386,0.9352
26,syn_8_to_dp_8,6,0.7400,0.7182,0.9547
27,syn_8_to_dp_8,7,0.7600,0.7504,0.9477
28,syn_8_to_dp_8,8,0.7400,0.7222,0.9438
29,syn_8_to_dp_8,9,0.6400,0.5794,0.9457
30,syn_9_to_dp_9,0,0.5000,0.4092,0.8400
31,syn_9_to_dp_9,1,0.7050,0.6105,0.9110
32,syn_9_to_dp_9,2,0.6300,0.5681,0.9069
33,syn_9_to_dp_9,3,0.6950,0.6052,0.9079
34,syn_9_to_dp_9,4,0.5500,0.4834,0.8762
35,syn_9_to_dp_9,5,0.7250,0.6350,0.9280
36,syn_9_to_dp_9,6,0.6650,0.5813,0.8753
37,syn_9_to_dp_9,7,0.7000,0.6148,0.8870
38,syn_9_to_dp_9,8,0.6500,0.5818,0.8841
39,syn_9_to_dp_9,9,0.5700,0.5353,0.7827
40,syn_10_to_dp_10,0,0.6750,0.6074,0.9492
41,syn_10_to_dp_10,1,0.6850,0.6129,0.8900
42,syn_10_to_dp_10,2,0.6800,0.6092,0.8854
43,syn_10_to_dp_10,3,0.6600,0.5830,0.9075
44,syn_10_to_dp_10,4,0.6900,0.6204,0.8939
45,syn_10_to_dp_10,5,0.6450,0.5819,0.9321
46,syn_10_to_dp_10,6,0.6850,0.6064,0.9124
47,syn_10_to_dp_10,7,0.6750,0.6073,0.8661
48,syn_10_to_dp_10,8,0.6850,0.6172,0.9104
49,syn_10_to_dp_10,9,0.6850,0.6133,0.9195
50,syn_11_to_dp_11,0,0.5400,0.4802,0.7417
51,syn_11_to_dp_11,1,0.5750,0.5190,0.7380
52,syn_11_to_dp_11,2,0.6050,0.5356,0.7932
53,syn_11_to_dp_11,3,0.5600,0.5051,0.7325
54,syn_11_to_dp_11,4,0.4450,0.3807,0.7116
55,syn_11_to_dp_11,5,0.5450,0.4618,0.7456
56,syn_11_to_dp_11,6,0.5900,0.5247,0.7676
57,syn_11_to_dp_11,7,0.5700,0.5097,0.7268
58,syn_11_to_dp_11,8,0.5200,0.4644,0.7414
59,syn_11_to_dp_11,9,0.5500,0.4842,0.7371
60,syn_12_to_dp_12,0,0.5500,0.4779,0.8365
61,syn_12_to_dp_12,1,0.5500,0.4728,0.8349
62,syn_12_to_dp_12,2,0.6500,0.5759,0.8906
63,syn_12_to_dp_12,3,0.5150,0.4180,0.8705
64,syn_12_to_dp_12,4,0.5450,0.4616,0.8400
65,syn_12_to_dp_12,5,0.5600,0.4800,0.8368
66,syn_12_to_dp_12,6,0.5750,0.5014,0.8297
67,syn_12_to_dp_12,7,0.6350,0.5620,0.8959
68,syn_12_to_dp_12,8,0.5600,0.4975,0.8296
69,syn_12_to_dp_12,9,0.5600,0.4849,0.8420
70,syn_13_to_dp_13,0,0.5250,0.5369,0.7868
71,syn_13_to_dp_13,1,0.6350,0.6259,0.8844
72,syn_13_to_dp_13,2,0.5650,0.5594,0.8242
73,syn_13_to_dp_13,3,0.5750,0.5458,0.8622
74,syn_13_to_dp_13,4,0.5000,0.4699,0.7943
75,syn_13_to_dp_13,5,0.5800,0.5222,0.8926
76,syn_13_to_dp_13,6,0.4900,0.4531,0.7905
77,syn_13_to_dp_13,7,0.5150,0.5024,0.8088
78,syn_13_to_dp_13,8,0.5150,0.4111,0.8320
79,syn_13_to_dp_13,9,0.2700,0.2271,0.7005
80,syn_14_to_dp_14,0,0.5950,0.5246,0.9068
81,syn_14_to_dp_14,1,0.6450,0.5793,0.8581
82,syn_14_to_dp_14,2,0.6350,0.5663,0.9001
83,syn_14_to_dp_14,3,0.6150,0.5488,0.8660
84,syn_14_to_dp_14,4,0.6000,0.5293,0.8739
85,syn_14_to_dp_14,5,0.6450,0.5779,0.8988
86,syn_14_to_dp_14,6,0.6000,0.5338,0.8258
87,syn_14_to_dp_14,7,0.6300,0.5623,0.8984
88,syn_14_to_dp_14,8,0.6250,0.5582,0.8783
89,syn_14_to_dp_14,9,0.6550,0.5870,0.8958
90,syn_15_to_dp_15,0,0.5500,0.5123,0.8618
91,syn_15_to_dp_15,1,0.6300,0.5480,0.9026
92,syn_15_to_dp_15,2,0.5800,0.5020,0.8950
93,syn_15_to_dp_15,3,0.5800,0.4946,0.8977
94,syn_15_to_dp_15,4,0.5300,0.4620,0.8056
95,syn_15_to_dp_15,5,0.5350,0.4555,0.8232
96,syn_15_to_dp_15,6,0.5050,0.4255,0.8444
97,syn_15_to_dp_15,7,0.5850,0.5263,0.8642
98,syn_15_to_dp_15,8,0.5800,0.5014,0.8452
99,syn_15_to_dp_15,9,0.6250,0.6003,0.8824
100,syn_16_to_dp_16,0,0.5350,0.4824,0.7544
101,syn_16_to_dp_16,1,0.4550,0.4014,0.7517
102,syn_16_to_dp_16,2,0.5650,0.5084,0.7389
103,syn_16_to_dp_16,3,0.5400,0.4835,0.7698
104,syn_16_to_dp_16,4,0.3700,0.3008,0.6796
105,syn_16_to_dp_16,5,0.3700,0.2984,0.7329
106,syn_16_to_dp_16,6,0.4750,0.4190,0.7201
107,syn_16_to_dp_16,7,0.4450,0.3651,0.7978
108,syn_16_to_dp_16,8,0.3850,0.3171,0.7630
109,syn_16_to_dp_16,9,0.6100,0.5431,0.7659
110,syn_17_to_dp_17,0,0.6000,0.5380,0.8689
111,syn_17_to_dp_17,1,0.6550,0.5876,0.9181
112,syn_17_to_dp_17,2,0.6150,0.5447,0.8779
113,syn_17_to_dp_17,3,0.5750,0.5057,0.8976
114,syn_17_to_dp_17,4,0.5950,0.5334,0.8747
115,syn_17_to_dp_17,5,0.6500,0.5759,0.9281
116,syn_17_to_dp_17,6,0.6200,0.5534,0.8343
117,syn_17_to_dp_17,7,0.5650,0.5095,0.8755
118,syn_17_to_dp_17,8,0.6250,0.5563,0.8928
119,syn_17_to_dp_17,9,0.6050,0.5376,0.8575
120,syn_18_to_dp_18,0,0.5750,0.5126,0.8212
121,syn_18_to_dp_18,1,0.5700,0.4938,0.8415
122,syn_18_to_dp_18,2,0.5800,0.5192,0.8436
123,syn_18_to_dp_18,3,0.6200,0.5557,0.8563
124,syn_18_to_dp_18,4,0.6000,0.5364,0.8266
125,syn_18_to_dp_18,5,0.6000,0.5404,0.8514
126,syn_18_to_dp_18,6,0.6050,0.5376,0.8389
127,syn_18_to_dp_18,7,0.6050,0.5452,0.8461
128,syn_18_to_dp_18,8,0.5650,0.4869,0.8247
129,syn_18_to_dp_18,9,0.6150,0.5542,0.8258
130,syn_19_to_dp_19,0,0.5417,0.3986,0.8864
131,syn_19_to_dp_19,1,0.5365,0.4932,0.8757
132,syn_19_to_dp_19,2,0.5521,0.5230,0.8748
133,syn_19_to_dp_19,3,0.5729,0.4741,0.8901
134,syn_19_to_dp_19,4,0.4115,0.3343,0.8041
135,syn_19_to_dp_19,5,0.5781,0.5045,0.8542
136,syn_19_to_dp_19,6,0.4844,0.3693,0.7912
137,syn_19_to_dp_19,7,0.5677,0.4753,0.8785
