,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_6_to_dp_6,0,0.0012,1.9759,2.1475
1,syn_6_to_dp_6,1,0.0030,2.4284,2.6571
2,syn_6_to_dp_6,2,0.0014,2.1351,2.0590
3,syn_6_to_dp_6,3,0.0040,2.2498,2.2737
4,syn_6_to_dp_6,4,0.0024,3.5240,3.7824
5,syn_6_to_dp_6,5,0.0085,2.2704,2.1337
6,syn_6_to_dp_6,6,0.0078,4.8581,4.8593
7,syn_6_to_dp_6,7,0.0016,2.3399,2.4871
8,syn_6_to_dp_6,8,0.0014,1.2503,1.8763
9,syn_6_to_dp_6,9,0.0014,2.0214,2.3708
10,syn_7_to_dp_7,0,0.0041,3.0778,3.0089
11,syn_7_to_dp_7,1,0.0013,1.5321,1.5685
12,syn_7_to_dp_7,2,0.0043,1.4756,1.7173
13,syn_7_to_dp_7,3,0.0014,3.8344,4.1848
14,syn_7_to_dp_7,4,0.0015,3.9620,5.7483
15,syn_7_to_dp_7,5,0.0017,2.7463,3.0211
16,syn_7_to_dp_7,6,0.0013,1.6268,1.9191
17,syn_7_to_dp_7,7,0.0018,1.7149,2.0621
18,syn_7_to_dp_7,8,0.0029,1.6972,2.4208
19,syn_7_to_dp_7,9,0.0015,3.5811,4.6013
20,syn_8_to_dp_8,0,0.0019,1.9993,2.6809
21,syn_8_to_dp_8,1,0.0019,0.2943,0.9009
22,syn_8_to_dp_8,2,0.0007,0.8606,1.2243
23,syn_8_to_dp_8,3,0.0008,1.1483,2.0310
24,syn_8_to_dp_8,4,0.0008,1.5061,1.7958
25,syn_8_to_dp_8,5,0.0038,1.8229,1.7168
26,syn_8_to_dp_8,6,0.0008,1.7456,1.4549
27,syn_8_to_dp_8,7,0.0104,0.4812,1.1040
28,syn_8_to_dp_8,8,0.0006,1.8822,1.4640
29,syn_8_to_dp_8,9,0.0016,1.8658,2.5816
30,syn_9_to_dp_9,0,0.0043,3.9869,5.0444
31,syn_9_to_dp_9,1,0.0025,1.6068,2.2118
32,syn_9_to_dp_9,2,0.0007,3.0996,3.5056
33,syn_9_to_dp_9,3,0.0008,1.6988,2.2006
34,syn_9_to_dp_9,4,0.0037,2.5270,3.3074
35,syn_9_to_dp_9,5,0.0036,2.1731,2.8177
36,syn_9_to_dp_9,6,0.0010,2.2089,2.8644
37,syn_9_to_dp_9,7,0.0012,2.4132,3.2707
38,syn_9_to_dp_9,8,0.0027,2.9225,4.0378
39,syn_9_to_dp_9,9,0.0198,2.9402,2.9960
40,syn_10_to_dp_10,0,0.0029,2.9587,3.6486
41,syn_10_to_dp_10,1,0.0001,2.7627,3.5727
42,syn_10_to_dp_10,2,0.0006,2.7355,2.8770
43,syn_10_to_dp_10,3,0.0014,1.6467,2.5482
44,syn_10_to_dp_10,4,0.0002,2.5370,2.9536
45,syn_10_to_dp_10,5,0.0004,1.8662,2.6964
46,syn_10_to_dp_10,6,0.0003,2.1245,3.0373
47,syn_10_to_dp_10,7,0.0058,2.7063,2.7364
48,syn_10_to_dp_10,8,0.0005,2.6446,3.2562
49,syn_10_to_dp_10,9,0.0002,2.6222,2.7548
50,syn_11_to_dp_11,0,0.0002,2.7326,3.5430
51,syn_11_to_dp_11,1,0.0002,3.0466,3.3741
52,syn_11_to_dp_11,2,0.0002,2.1935,3.1904
53,syn_11_to_dp_11,3,0.0018,2.9990,3.3042
54,syn_11_to_dp_11,4,0.0135,1.9197,2.5594
55,syn_11_to_dp_11,5,0.0046,3.5905,4.4216
56,syn_11_to_dp_11,6,0.0009,3.2682,3.4303
57,syn_11_to_dp_11,7,0.0001,3.5934,4.4297
58,syn_11_to_dp_11,8,0.0007,2.6294,3.8629
59,syn_11_to_dp_11,9,0.0003,3.2697,3.6417
60,syn_12_to_dp_12,0,0.0009,2.0513,2.3992
61,syn_12_to_dp_12,1,0.0028,3.8807,4.3618
62,syn_12_to_dp_12,2,0.0016,1.8600,1.9915
63,syn_12_to_dp_12,3,0.0020,1.8254,2.0542
64,syn_12_to_dp_12,4,0.0013,2.9200,3.9646
65,syn_12_to_dp_12,5,0.0064,2.7544,3.6650
66,syn_12_to_dp_12,6,0.0012,2.6813,3.2705
67,syn_12_to_dp_12,7,0.0014,2.2672,2.6917
68,syn_12_to_dp_12,8,0.0106,1.4704,1.4714
69,syn_12_to_dp_12,9,0.0028,2.0819,2.6222
70,syn_13_to_dp_13,0,0.0011,1.8219,1.7427
71,syn_13_to_dp_13,1,0.0028,0.9907,1.5228
72,syn_13_to_dp_13,2,0.0011,1.7535,1.6427
