,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.6250,0.5810,0.9133
1,df_to_dp_16,0,0.5500,0.4972,0.9142
2,df_to_dp_17,0,0.6750,0.6121,0.6767
3,df_to_dp_18,0,0.6500,0.5988,0.8708
4,df_to_dp_19,0,0.5500,0.4621,0.7967
5,df_to_dp_20,0,0.4000,0.3135,0.8583
6,df_to_dp_21,0,0.5000,0.3971,0.8742
7,df_to_dp_22,0,0.6250,0.5920,0.8433
8,df_to_dp_23,0,0.6500,0.6256,0.8800
9,df_to_dp_24,0,0.7750,0.7836,0.9492
10,df_to_dp_25,0,0.5000,0.4167,0.8425
11,df_to_dp_26,0,0.5750,0.5265,0.8783
12,df_to_dp_27,0,0.5750,0.5261,0.7775
13,df_to_dp_28,0,0.5250,0.5231,0.7392
14,df_to_dp_29,0,0.6500,0.5661,0.9100
15,df_to_dp_30,0,0.4500,0.3979,0.7583
16,df_to_dp_31,0,0.5500,0.4348,0.8350
17,df_to_dp_32,0,0.6000,0.5499,0.9142
18,df_to_dp_33,0,0.7250,0.7099,0.9242
19,df_to_dp_34,0,0.3750,0.2488,0.8075
20,df_to_dp_35,0,0.5500,0.4821,0.6758
21,df_to_dp_36,0,0.7500,0.7412,0.9117
22,df_to_dp_37,0,0.5500,0.4725,0.8792
23,df_to_dp_38,0,0.3750,0.2455,0.7475
24,df_to_dp_39,0,0.3250,0.2637,0.6708
25,df_to_dp_40,0,0.6500,0.6407,0.8758
26,df_to_dp_41,0,0.2750,0.1553,0.5575
27,df_to_dp_42,0,0.6750,0.6407,0.8458
28,df_to_dp_43,0,0.3500,0.2277,0.7758
29,df_to_dp_44,0,0.6250,0.5720,0.9267
30,df_to_dp_45,0,0.6750,0.5891,0.9608
31,df_to_dp_46,0,0.6250,0.5595,0.9125
32,df_to_dp_47,0,0.4750,0.3929,0.9142
33,df_to_dp_48,0,0.7250,0.6938,0.9575
34,df_to_dp_49,0,0.8000,0.7985,0.9575
35,df_to_dp_50,0,0.8750,0.8733,0.9833
36,df_to_dp_51,0,0.6500,0.6169,0.8950
37,df_to_dp_52,0,0.5250,0.4232,0.9150
38,df_to_dp_53,0,0.4750,0.3933,0.8342
39,df_to_dp_54,0,0.7000,0.6905,0.9458
40,df_to_dp_55,0,0.7500,0.7045,0.9658
41,df_to_dp_56,0,0.6250,0.5632,0.9017
42,df_to_dp_57,0,0.6250,0.5608,0.8617
43,df_to_dp_58,0,0.3250,0.2353,0.7775
44,df_to_dp_59,0,0.7250,0.6847,0.9458
45,df_to_dp_60,0,0.5250,0.3845,0.8317
46,df_to_dp_61,0,0.7500,0.7052,0.9442
47,df_to_dp_62,0,0.5000,0.5168,0.8375
48,df_to_dp_63,0,0.6750,0.6661,0.8742
49,df_to_dp_64,0,0.5500,0.4884,0.9125
50,df_to_dp_65,0,0.7250,0.6670,0.8650
51,df_to_dp_66,0,0.5500,0.5155,0.7958
52,df_to_dp_67,0,0.7250,0.6530,0.9167
53,df_to_dp_68,0,0.7250,0.7017,0.9300
54,df_to_dp_69,0,0.6250,0.5357,0.8700
55,df_to_dp_70,0,0.4750,0.3660,0.6475
56,df_to_dp_71,0,0.6500,0.6424,0.9108
57,df_to_dp_72,0,0.6250,0.5848,0.9242
58,df_to_dp_73,0,0.4750,0.3588,0.7488
59,df_to_dp_74,0,0.4324,0.3690,0.6315
60,df_to_dp_75,0,0.6750,0.6441,0.9117
61,mean,-,0.5886,0.5309,0.8543
62,std,-,0.1289,0.1564,0.0928
