,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.3250,0.2821,0.6608
1,df_to_dp_16,0,0.4250,0.3222,0.5296
2,df_to_dp_17,0,0.3250,0.2218,0.4492
3,df_to_dp_18,0,0.5000,0.3367,0.7575
4,df_to_dp_19,0,0.5000,0.4119,0.7533
5,df_to_dp_20,0,0.3500,0.2303,0.7858
6,df_to_dp_21,0,0.2500,0.1000,0.6750
7,df_to_dp_22,0,0.2500,0.1733,0.7133
8,df_to_dp_23,0,0.3750,0.2939,0.6933
9,df_to_dp_24,0,0.3000,0.1875,0.7308
10,df_to_dp_25,0,0.2500,0.1000,0.7725
11,df_to_dp_26,0,0.2500,0.1000,0.8417
12,df_to_dp_27,0,0.2500,0.1000,0.6758
13,df_to_dp_28,0,0.5000,0.3394,0.8258
14,df_to_dp_29,0,0.2500,0.1000,0.7400
15,df_to_dp_30,0,0.2500,0.1220,0.6350
16,df_to_dp_31,0,0.4250,0.2833,0.7317
17,df_to_dp_32,0,0.2500,0.1000,0.7633
18,df_to_dp_33,0,0.4500,0.3829,0.7167
19,df_to_dp_34,0,0.4000,0.3047,0.6550
20,df_to_dp_35,0,0.3750,0.2524,0.8083
21,df_to_dp_36,0,0.2750,0.1518,0.8200
22,df_to_dp_37,0,0.3000,0.1935,0.7983
23,df_to_dp_38,0,0.1000,0.0909,0.3308
24,df_to_dp_39,0,0.4000,0.3276,0.8392
25,df_to_dp_40,0,0.3000,0.1912,0.7483
26,df_to_dp_41,0,0.4500,0.4048,0.6375
27,df_to_dp_42,0,0.3000,0.1833,0.7458
28,df_to_dp_43,0,0.3750,0.2531,0.6142
29,df_to_dp_44,0,0.4000,0.3011,0.7958
30,df_to_dp_45,0,0.5000,0.3750,0.7608
31,df_to_dp_46,0,0.4500,0.3591,0.7317
32,df_to_dp_47,0,0.2500,0.1000,0.7708
33,df_to_dp_48,0,0.2500,0.1000,0.6425
34,df_to_dp_49,0,0.2250,0.1222,0.5833
35,df_to_dp_50,0,0.5000,0.3673,0.8067
36,df_to_dp_51,0,0.6500,0.5862,0.8500
37,df_to_dp_52,0,0.5000,0.3429,0.9358
38,df_to_dp_53,0,0.2500,0.1250,0.5292
39,df_to_dp_54,0,0.5250,0.4566,0.8267
40,df_to_dp_55,0,0.5000,0.3663,0.9692
41,df_to_dp_56,0,0.5000,0.3750,0.8167
42,df_to_dp_57,0,0.5500,0.4757,0.8708
43,df_to_dp_58,0,0.2500,0.1190,0.6642
44,df_to_dp_59,0,0.3000,0.1875,0.8833
45,df_to_dp_60,0,0.4750,0.3588,0.6908
46,df_to_dp_61,0,0.5000,0.3472,0.7588
47,df_to_dp_62,0,0.4750,0.3588,0.7913
48,df_to_dp_63,0,0.2500,0.1000,0.6208
49,df_to_dp_64,0,0.2500,0.1000,0.7275
50,df_to_dp_65,0,0.2500,0.1190,0.6050
51,df_to_dp_66,0,0.3000,0.1982,0.6775
52,df_to_dp_67,0,0.3750,0.2890,0.6075
53,df_to_dp_68,0,0.2500,0.1000,0.7642
54,df_to_dp_69,0,0.2500,0.1000,0.4971
55,df_to_dp_70,0,0.3250,0.2218,0.6117
56,df_to_dp_71,0,0.2500,0.1351,0.6246
57,df_to_dp_72,0,0.5000,0.3663,0.8958
58,df_to_dp_73,0,0.4750,0.3535,0.7683
59,df_to_dp_74,0,0.5135,0.3981,0.5648
60,df_to_dp_75,0,0.5250,0.4237,0.8867
61,mean,-,0.3658,0.2503,0.7210
62,std,-,0.1159,0.1246,0.1195
