,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.5000,0.4368,0.6500
1,df_to_dp_16,0,0.5500,0.5010,0.8292
2,df_to_dp_17,0,0.5000,0.4015,0.6317
3,df_to_dp_18,0,0.5000,0.4113,0.7425
4,df_to_dp_19,0,0.5000,0.4139,0.7092
5,df_to_dp_20,0,0.7000,0.6450,0.8550
6,df_to_dp_21,0,0.5000,0.4113,0.8142
7,df_to_dp_22,0,0.4750,0.4301,0.7217
8,df_to_dp_23,0,0.5500,0.4667,0.6867
9,df_to_dp_24,0,0.5250,0.5103,0.7208
10,df_to_dp_25,0,0.5000,0.4062,0.7133
11,df_to_dp_26,0,0.5500,0.4740,0.8142
12,df_to_dp_27,0,0.5000,0.4113,0.7900
13,df_to_dp_28,0,0.5250,0.4237,0.7658
14,df_to_dp_29,0,0.6000,0.5120,0.8258
15,df_to_dp_30,0,0.5500,0.4618,0.8117
16,df_to_dp_31,0,0.5000,0.4467,0.8000
17,df_to_dp_32,0,0.6500,0.5842,0.8758
18,df_to_dp_33,0,0.6250,0.5628,0.8075
19,df_to_dp_34,0,0.4750,0.3165,0.8275
20,df_to_dp_35,0,0.5750,0.5648,0.7392
21,df_to_dp_36,0,0.7000,0.6429,0.9408
22,df_to_dp_37,0,0.5750,0.5083,0.8133
23,df_to_dp_38,0,0.4500,0.3538,0.8133
24,df_to_dp_39,0,0.5000,0.4194,0.9017
25,df_to_dp_40,0,0.6000,0.5390,0.8750
26,df_to_dp_41,0,0.4000,0.2875,0.6150
27,df_to_dp_42,0,0.6250,0.5500,0.8158
28,df_to_dp_43,0,0.4750,0.3535,0.6642
29,df_to_dp_44,0,0.5500,0.4603,0.8108
30,df_to_dp_45,0,0.7500,0.6558,0.8933
31,df_to_dp_46,0,0.5750,0.5005,0.8308
32,df_to_dp_47,0,0.6000,0.5292,0.9300
33,df_to_dp_48,0,0.6000,0.5174,0.9333
34,df_to_dp_49,0,0.6500,0.6032,0.8758
35,df_to_dp_50,0,0.7000,0.6396,0.9992
36,df_to_dp_51,0,0.5500,0.4649,0.7483
37,df_to_dp_52,0,0.6500,0.5667,0.9150
38,df_to_dp_53,0,0.5000,0.3750,0.8342
39,df_to_dp_54,0,0.6750,0.5952,0.9208
40,df_to_dp_55,0,0.7000,0.6218,0.9550
41,df_to_dp_56,0,0.7000,0.6153,0.9425
42,df_to_dp_57,0,0.7250,0.6256,0.9792
43,df_to_dp_58,0,0.5000,0.4113,0.6508
44,df_to_dp_59,0,0.7500,0.6990,0.9392
45,df_to_dp_60,0,0.4750,0.3588,0.7950
46,df_to_dp_61,0,0.6750,0.6027,0.7783
47,df_to_dp_62,0,0.7000,0.6774,0.9342
48,df_to_dp_63,0,0.7500,0.6990,0.9442
49,df_to_dp_64,0,0.5000,0.3898,0.8858
50,df_to_dp_65,0,0.6750,0.6273,0.8675
51,df_to_dp_66,0,0.4750,0.4052,0.7517
52,df_to_dp_67,0,0.7000,0.6100,0.8550
53,df_to_dp_68,0,0.7000,0.6576,0.9150
54,df_to_dp_69,0,0.6500,0.6032,0.9350
55,df_to_dp_70,0,0.7000,0.6122,0.8542
56,df_to_dp_71,0,0.7000,0.6129,0.9792
57,df_to_dp_72,0,0.6750,0.6036,0.9742
58,df_to_dp_73,0,0.5000,0.3750,0.6675
59,df_to_dp_74,0,0.4054,0.2862,0.5583
60,df_to_dp_75,0,0.7250,0.6481,0.9900
61,mean,-,0.5878,0.5098,0.8265
62,std,-,0.0966,0.1109,0.1051
