,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_15,0,8.7572,3.7732,2.5484
1,df_to_dp_16,0,12.9393,0.8855,0.8357
2,df_to_dp_17,0,11.2418,2.8870,1.7316
3,df_to_dp_18,0,10.7394,2.6367,1.7025
4,df_to_dp_19,0,15.6759,2.1697,1.4122
5,df_to_dp_20,0,9.9698,1.2630,0.8245
6,df_to_dp_21,0,10.6938,2.0618,1.4315
7,df_to_dp_22,0,10.0583,1.9178,1.5591
8,df_to_dp_23,0,11.5360,2.3529,1.6051
9,df_to_dp_24,0,6.7031,1.1880,1.0977
10,df_to_dp_25,0,12.7068,2.2412,1.5033
11,df_to_dp_26,0,8.2087,1.9426,1.2356
12,df_to_dp_27,0,7.9433,2.5952,1.7713
13,df_to_dp_28,0,11.5989,2.2425,1.4600
14,df_to_dp_29,0,13.7386,2.1503,1.3369
15,df_to_dp_30,0,4.6129,2.6110,1.8827
16,df_to_dp_31,0,5.8684,1.5905,1.1793
17,df_to_dp_32,0,7.7515,1.1723,0.7800
18,df_to_dp_33,0,7.8255,1.2066,1.0521
19,df_to_dp_34,0,7.0696,2.2800,1.5589
20,df_to_dp_35,0,11.2135,1.8972,1.5855
21,df_to_dp_36,0,10.7508,0.9522,0.5708
22,df_to_dp_37,0,8.4125,1.0990,0.9850
23,df_to_dp_38,0,5.5865,1.9253,1.4781
24,df_to_dp_39,0,7.7929,1.6092,0.9573
25,df_to_dp_40,0,9.3146,1.6346,1.2461
26,df_to_dp_41,0,0.7976,4.3442,2.8971
27,df_to_dp_42,0,10.3489,3.3464,1.5842
28,df_to_dp_43,0,9.3736,3.1497,1.9907
29,df_to_dp_44,0,13.6431,1.9665,1.2073
30,df_to_dp_45,0,11.7859,0.8475,0.6707
31,df_to_dp_46,0,16.7781,1.7642,1.0616
32,df_to_dp_47,0,9.4360,1.2189,0.8564
33,df_to_dp_48,0,10.8484,1.4931,0.9199
34,df_to_dp_49,0,10.7596,0.9272,0.8391
35,df_to_dp_50,0,8.1356,0.6174,0.3551
36,df_to_dp_51,0,8.5802,4.3213,1.9213
37,df_to_dp_52,0,10.0863,0.8082,0.5814
38,df_to_dp_53,0,4.6364,1.8474,1.1466
39,df_to_dp_54,0,8.1605,1.1025,0.8028
40,df_to_dp_55,0,8.8739,0.8500,0.5033
41,df_to_dp_56,0,12.5285,1.0427,0.7183
42,df_to_dp_57,0,9.2531,0.8199,0.6167
43,df_to_dp_58,0,10.1185,2.7427,3.3685
44,df_to_dp_59,0,15.5383,0.5880,0.4567
45,df_to_dp_60,0,8.6364,2.9108,1.8752
46,df_to_dp_61,0,9.8479,1.4239,1.5212
47,df_to_dp_62,0,11.7275,0.4547,0.7301
48,df_to_dp_63,0,15.5789,0.9584,0.7451
49,df_to_dp_64,0,10.2129,2.1689,1.3466
50,df_to_dp_65,0,7.4378,1.2735,1.0007
51,df_to_dp_66,0,5.9801,4.8126,3.1210
52,df_to_dp_67,0,7.7651,1.9263,1.1257
53,df_to_dp_68,0,8.1761,0.8783,0.6464
54,df_to_dp_69,0,10.4951,0.8585,0.5620
55,df_to_dp_70,0,8.1858,1.5629,1.8622
56,df_to_dp_71,0,13.6397,1.3599,0.7975
57,df_to_dp_72,0,13.6194,0.7801,0.5999
58,df_to_dp_73,0,14.2134,4.8947,3.1343
59,df_to_dp_74,0,13.3956,6.7658,5.6828
60,df_to_dp_75,0,10.7516,0.8616,0.4875
61,mean,-,9.9681,1.9340,1.3618
62,std,-,2.9885,1.2195,0.8812
