,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.5250,0.4661,0.7467
1,df_to_dp_16,0,0.4750,0.4155,0.7458
2,df_to_dp_17,0,0.4500,0.3975,0.6183
3,df_to_dp_18,0,0.6750,0.5806,0.9167
4,df_to_dp_19,0,0.5000,0.3929,0.7775
5,df_to_dp_20,0,0.5000,0.4101,0.7992
6,df_to_dp_21,0,0.6500,0.5608,0.8925
7,df_to_dp_22,0,0.5250,0.4107,0.8150
8,df_to_dp_23,0,0.4000,0.3371,0.6958
9,df_to_dp_24,0,0.3500,0.2589,0.4542
10,df_to_dp_25,0,0.6750,0.5874,0.7667
11,df_to_dp_26,0,0.3000,0.2287,0.8225
12,df_to_dp_27,0,0.7000,0.6155,0.8758
13,df_to_dp_28,0,0.4750,0.3654,0.6267
14,df_to_dp_29,0,0.3500,0.2619,0.8033
15,df_to_dp_30,0,0.3000,0.2095,0.6933
16,df_to_dp_31,0,0.4500,0.3885,0.7458
17,df_to_dp_32,0,0.7250,0.6481,0.7867
18,df_to_dp_33,0,0.4250,0.2912,0.7367
19,df_to_dp_34,0,0.2500,0.1462,0.6342
20,df_to_dp_35,0,0.2750,0.2739,0.5942
21,df_to_dp_36,0,0.4500,0.3500,0.8225
22,df_to_dp_37,0,0.5750,0.5256,0.7633
23,df_to_dp_38,0,0.2750,0.1855,0.5600
24,df_to_dp_39,0,0.7250,0.6416,0.9550
25,df_to_dp_40,0,0.5250,0.4283,0.8608
26,df_to_dp_41,0,0.4500,0.3771,0.8317
27,df_to_dp_42,0,0.3250,0.2158,0.7550
28,df_to_dp_43,0,0.2750,0.2266,0.7150
29,df_to_dp_44,0,0.6750,0.6074,0.8525
30,df_to_dp_45,0,0.5750,0.4855,0.8575
31,df_to_dp_46,0,0.3750,0.2968,0.7325
32,df_to_dp_47,0,0.4000,0.3344,0.9000
33,df_to_dp_48,0,0.7000,0.6826,0.9808
34,df_to_dp_49,0,0.5000,0.3367,0.8500
35,df_to_dp_50,0,0.5750,0.5026,0.9042
36,df_to_dp_51,0,0.5500,0.4616,0.7783
37,df_to_dp_52,0,0.6000,0.5174,0.8383
38,df_to_dp_53,0,0.2500,0.2500,0.5608
39,df_to_dp_54,0,0.7000,0.6299,0.7917
40,df_to_dp_55,0,0.5500,0.4621,0.8658
41,df_to_dp_56,0,0.5250,0.4500,0.8758
42,df_to_dp_57,0,0.6750,0.5813,0.9742
43,df_to_dp_58,0,0.2750,0.1705,0.4925
44,df_to_dp_59,0,0.6500,0.5771,0.8650
45,df_to_dp_60,0,0.4750,0.4105,0.6042
46,df_to_dp_61,0,0.4750,0.3864,0.8275
47,df_to_dp_62,0,0.4250,0.2817,0.7650
48,df_to_dp_63,0,0.3000,0.1941,0.7250
49,df_to_dp_64,0,0.2500,0.1064,0.8650
50,df_to_dp_65,0,0.5750,0.5102,0.8725
51,df_to_dp_66,0,0.5250,0.4663,0.6817
52,df_to_dp_67,0,0.4750,0.4471,0.7942
53,df_to_dp_68,0,0.4250,0.3957,0.7700
54,df_to_dp_69,0,0.5500,0.4761,0.8000
55,df_to_dp_70,0,0.5500,0.4298,0.8075
56,df_to_dp_71,0,0.4500,0.3816,0.9433
57,df_to_dp_72,0,0.6250,0.5304,0.9142
58,df_to_dp_73,0,0.3500,0.2565,0.6075
59,df_to_dp_74,0,0.2973,0.1594,0.6267
60,df_to_dp_75,0,0.5000,0.3663,0.7683
61,mean,-,0.4819,0.3990,0.7755
62,std,-,0.1383,0.1436,0.1166
