,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_15,0,6.4958,3.3964,2.8395
1,df_to_dp_16,0,6.9637,3.0284,2.3705
2,df_to_dp_17,0,6.3079,4.9428,3.8294
3,df_to_dp_18,0,7.1977,1.5267,1.0479
4,df_to_dp_19,0,8.9176,2.7164,3.4222
5,df_to_dp_20,0,5.2021,2.7519,2.3021
6,df_to_dp_21,0,6.7736,2.4498,1.7704
7,df_to_dp_22,0,10.1227,2.4930,2.7689
8,df_to_dp_23,0,12.3757,3.0501,2.5391
9,df_to_dp_24,0,4.4509,3.9038,4.0025
10,df_to_dp_25,0,7.3414,3.8021,2.5953
11,df_to_dp_26,0,4.7996,2.5548,2.2318
12,df_to_dp_27,0,11.3296,2.7472,1.7828
13,df_to_dp_28,0,8.0449,5.4576,4.8484
14,df_to_dp_29,0,9.2183,2.3658,1.5156
15,df_to_dp_30,0,1.2242,5.4668,5.5381
16,df_to_dp_31,0,4.9193,2.7645,1.7820
17,df_to_dp_32,0,6.0071,2.3626,1.4761
18,df_to_dp_33,0,6.5194,2.8713,4.1613
19,df_to_dp_34,0,3.3534,5.6333,6.4044
20,df_to_dp_35,0,8.1301,3.9742,3.2806
21,df_to_dp_36,0,7.3031,1.8074,1.4245
22,df_to_dp_37,0,6.4100,3.4004,3.3177
23,df_to_dp_38,0,3.2190,7.8967,6.0388
24,df_to_dp_39,0,2.5971,1.4152,0.9142
25,df_to_dp_40,0,5.2800,2.8264,2.3997
26,df_to_dp_41,0,0.2418,2.3790,3.0020
27,df_to_dp_42,0,9.1141,4.2366,2.3351
28,df_to_dp_43,0,4.5817,2.5368,3.1805
29,df_to_dp_44,0,11.4038,3.0759,1.8050
30,df_to_dp_45,0,6.4299,2.5082,2.1439
31,df_to_dp_46,0,10.2676,2.7216,2.3714
32,df_to_dp_47,0,10.1332,2.0374,1.8941
33,df_to_dp_48,0,11.9798,0.5757,0.4356
34,df_to_dp_49,0,6.7288,3.2109,3.1737
35,df_to_dp_50,0,6.7268,1.0272,1.1121
36,df_to_dp_51,0,8.7056,3.8486,2.6200
37,df_to_dp_52,0,5.9165,2.1506,1.8033
38,df_to_dp_53,0,1.4773,4.3323,3.6229
39,df_to_dp_54,0,8.7944,3.0823,1.9329
40,df_to_dp_55,0,7.4690,2.7462,2.2988
41,df_to_dp_56,0,9.5747,1.5484,1.2345
42,df_to_dp_57,0,5.1492,1.4692,1.1859
43,df_to_dp_58,0,12.4203,6.8722,4.5110
44,df_to_dp_59,0,7.9054,2.0784,1.6904
45,df_to_dp_60,0,5.6662,2.1294,1.6442
46,df_to_dp_61,0,6.8494,2.7709,2.6170
47,df_to_dp_62,0,8.7768,2.7234,3.1761
48,df_to_dp_63,0,6.9621,2.3656,2.5377
49,df_to_dp_64,0,7.1013,3.4528,3.6595
50,df_to_dp_65,0,5.1049,1.6059,1.7671
51,df_to_dp_66,0,4.3476,4.3798,3.0061
52,df_to_dp_67,0,7.7685,3.3719,2.1200
53,df_to_dp_68,0,9.2167,1.8595,1.9346
54,df_to_dp_69,0,4.0054,1.2958,1.6449
55,df_to_dp_70,0,6.8225,3.7942,3.7097
56,df_to_dp_71,0,9.1812,1.1696,0.9379
57,df_to_dp_72,0,10.2204,1.9436,1.4996
58,df_to_dp_73,0,6.1941,6.4728,3.9412
59,df_to_dp_74,0,1.3643,2.6107,3.4935
60,df_to_dp_75,0,6.2901,3.1832,3.2800
61,mean,-,6.9081,3.0356,2.6217
62,std,-,2.7393,1.4215,1.2373
