,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.0250,0.0238,0.2967
1,df_to_dp_16,0,0.2500,0.1000,0.7525
2,df_to_dp_17,0,0.2500,0.1000,0.7150
3,df_to_dp_18,0,0.2500,0.1000,0.7142
4,df_to_dp_19,0,0.2500,0.1000,0.6375
5,df_to_dp_20,0,0.2500,0.1000,0.5954
6,df_to_dp_21,0,0.2500,0.1000,0.7642
7,df_to_dp_22,0,0.2500,0.1000,0.7462
8,df_to_dp_23,0,0.2500,0.1000,0.6433
9,df_to_dp_24,0,0.2250,0.0918,0.4496
10,df_to_dp_25,0,0.2500,0.1000,0.6817
11,df_to_dp_26,0,0.2500,0.1000,0.7475
12,df_to_dp_27,0,0.2500,0.1000,0.8100
13,df_to_dp_28,0,0.2500,0.1000,0.7083
14,df_to_dp_29,0,0.2500,0.1000,0.6671
15,df_to_dp_30,0,0.3000,0.1778,0.7379
16,df_to_dp_31,0,0.4250,0.2833,0.7942
17,df_to_dp_32,0,0.2500,0.1000,0.6417
18,df_to_dp_33,0,0.2500,0.1000,0.7350
19,df_to_dp_34,0,0.2500,0.1422,0.5358
20,df_to_dp_35,0,0.2500,0.1000,0.6579
21,df_to_dp_36,0,0.2500,0.1000,0.7392
22,df_to_dp_37,0,0.2500,0.1000,0.7542
23,df_to_dp_38,0,0.3250,0.2423,0.4775
24,df_to_dp_39,0,0.3500,0.3088,0.5733
25,df_to_dp_40,0,0.2500,0.1000,0.6096
26,df_to_dp_41,0,0.3750,0.3160,0.7392
27,df_to_dp_42,0,0.3000,0.1833,0.7308
28,df_to_dp_43,0,0.2750,0.2177,0.6833
29,df_to_dp_44,0,0.2500,0.1000,0.7175
30,df_to_dp_45,0,0.2500,0.1000,0.7058
31,df_to_dp_46,0,0.2500,0.1000,0.7208
32,df_to_dp_47,0,0.2500,0.1000,0.8725
33,df_to_dp_48,0,0.2500,0.1000,0.7242
34,df_to_dp_49,0,0.2500,0.1000,0.7283
35,df_to_dp_50,0,0.2500,0.1000,0.7700
36,df_to_dp_51,0,0.2750,0.1496,0.8233
37,df_to_dp_52,0,0.2500,0.1000,0.6692
38,df_to_dp_53,0,0.2500,0.1250,0.7108
39,df_to_dp_54,0,0.2500,0.1000,0.6533
40,df_to_dp_55,0,0.2500,0.1000,0.6950
41,df_to_dp_56,0,0.2500,0.1000,0.9000
42,df_to_dp_57,0,0.2500,0.1000,0.9175
43,df_to_dp_58,0,0.2500,0.1020,0.5771
44,df_to_dp_59,0,0.2500,0.1000,0.6783
45,df_to_dp_60,0,0.3500,0.2619,0.6550
46,df_to_dp_61,0,0.2750,0.1475,0.6225
47,df_to_dp_62,0,0.2500,0.1000,0.6658
48,df_to_dp_63,0,0.2750,0.1475,0.7788
49,df_to_dp_64,0,0.2500,0.1000,0.8025
50,df_to_dp_65,0,0.0000,0.0000,0.2492
51,df_to_dp_66,0,0.1750,0.1250,0.6250
52,df_to_dp_67,0,0.2500,0.1000,0.5604
53,df_to_dp_68,0,0.2500,0.1000,0.6900
54,df_to_dp_69,0,0.0000,0.0000,0.3025
55,df_to_dp_70,0,0.4500,0.3250,0.7588
56,df_to_dp_71,0,0.2500,0.1000,0.7242
57,df_to_dp_72,0,0.2500,0.1000,0.7625
58,df_to_dp_73,0,0.2500,0.1064,0.5583
59,df_to_dp_74,0,0.2703,0.1250,0.7148
60,df_to_dp_75,0,0.2500,0.1000,0.7567
61,df_to_dp_15,1,0.5000,0.3333,0.4892
62,df_to_dp_16,1,0.2500,0.1000,0.6342
63,df_to_dp_17,1,0.2500,0.1000,0.7158
64,df_to_dp_18,1,0.2500,0.1000,0.7233
65,df_to_dp_19,1,0.2500,0.1000,0.6558
66,df_to_dp_20,1,0.4250,0.3222,0.5217
67,df_to_dp_21,1,0.2500,0.1000,0.7417
68,df_to_dp_22,1,0.2500,0.1000,0.6567
69,df_to_dp_23,1,0.2750,0.1475,0.5917
70,df_to_dp_24,1,0.4000,0.3038,0.5079
71,df_to_dp_25,1,0.2500,0.1000,0.6867
72,df_to_dp_26,1,0.3000,0.1875,0.6667
73,df_to_dp_27,1,0.2500,0.1000,0.7658
74,df_to_dp_28,1,0.2750,0.1475,0.5433
75,df_to_dp_29,1,0.2500,0.1000,0.6308
76,df_to_dp_30,1,0.2750,0.1475,0.7033
77,df_to_dp_31,1,0.3500,0.2527,0.7467
78,df_to_dp_32,1,0.2500,0.1000,0.5583
79,df_to_dp_33,1,0.2750,0.1475,0.7883
80,df_to_dp_34,1,0.3500,0.2565,0.6508
81,df_to_dp_35,1,0.2500,0.1000,0.5675
82,df_to_dp_36,1,0.2500,0.1000,0.4750
83,df_to_dp_37,1,0.2750,0.1475,0.6325
84,df_to_dp_38,1,0.3000,0.1875,0.3825
85,df_to_dp_39,1,0.2500,0.1136,0.3808
86,df_to_dp_40,1,0.2500,0.1000,0.8525
87,df_to_dp_41,1,0.2750,0.1727,0.6746
88,df_to_dp_42,1,0.2500,0.1000,0.7150
89,df_to_dp_43,1,0.4000,0.2679,0.8442
90,df_to_dp_44,1,0.2500,0.1000,0.7692
91,df_to_dp_45,1,0.2750,0.1475,0.5442
92,df_to_dp_46,1,0.2500,0.1000,0.5650
93,df_to_dp_47,1,0.2500,0.1000,0.7275
94,df_to_dp_48,1,0.2750,0.1475,0.7417
95,df_to_dp_49,1,0.2500,0.1000,0.6800
96,df_to_dp_50,1,0.3000,0.1875,0.6983
97,df_to_dp_51,1,0.4750,0.4112,0.6100
98,df_to_dp_52,1,0.2500,0.1000,0.5300
99,df_to_dp_53,1,0.4500,0.3472,0.8000
100,df_to_dp_54,1,0.3250,0.2218,0.5667
101,df_to_dp_55,1,0.4500,0.3413,0.6325
102,df_to_dp_56,1,0.2750,0.1475,0.7308
103,df_to_dp_57,1,0.3000,0.1875,0.7517
104,df_to_dp_58,1,0.4500,0.3413,0.5142
105,df_to_dp_59,1,0.2500,0.1000,0.6142
106,df_to_dp_60,1,0.3250,0.2071,0.6333
107,df_to_dp_61,1,0.2750,0.1475,0.6550
108,df_to_dp_62,1,0.2500,0.1000,0.7033
109,df_to_dp_63,1,0.2750,0.1475,0.5617
110,df_to_dp_64,1,0.2500,0.1000,0.6875
111,df_to_dp_65,1,0.2500,0.1220,0.4908
112,df_to_dp_66,1,0.4000,0.2624,0.5833
113,df_to_dp_67,1,0.4500,0.3413,0.5142
114,df_to_dp_68,1,0.2500,0.1000,0.5425
115,df_to_dp_69,1,0.2500,0.1250,0.2317
116,df_to_dp_70,1,0.2250,0.1236,0.3892
117,df_to_dp_71,1,0.2500,0.1000,0.7587
118,df_to_dp_72,1,0.2500,0.1000,0.6200
119,df_to_dp_73,1,0.3750,0.2500,0.7275
120,df_to_dp_74,1,0.3243,0.2222,0.8667
121,df_to_dp_75,1,0.3250,0.2218,0.5567
122,df_to_dp_15,2,0.2500,0.1250,0.6108
123,df_to_dp_16,2,0.1500,0.1000,0.5808
124,df_to_dp_17,2,0.1500,0.1086,0.4908
125,df_to_dp_18,2,0.2250,0.1236,0.6200
126,df_to_dp_19,2,0.0000,0.0000,0.3867
127,df_to_dp_20,2,0.2750,0.1936,0.5433
128,df_to_dp_21,2,0.0750,0.0357,0.5392
129,df_to_dp_22,2,0.0250,0.0238,0.4600
130,df_to_dp_23,2,0.1250,0.0610,0.3367
131,df_to_dp_24,2,0.3000,0.2078,0.5308
132,df_to_dp_25,2,0.2000,0.0833,0.5633
133,df_to_dp_26,2,0.3000,0.1875,0.7667
134,df_to_dp_27,2,0.1500,0.1014,0.5825
135,df_to_dp_28,2,0.1500,0.1077,0.5208
136,df_to_dp_29,2,0.0250,0.0135,0.3625
137,df_to_dp_30,2,0.1750,0.1167,0.4417
138,df_to_dp_31,2,0.3000,0.1746,0.6167
139,df_to_dp_32,2,0.3500,0.2314,0.6142
140,df_to_dp_33,2,0.1500,0.1010,0.4142
141,df_to_dp_34,2,0.3250,0.2188,0.5100
142,df_to_dp_35,2,0.0250,0.0122,0.3042
143,df_to_dp_36,2,0.3500,0.2466,0.5250
144,df_to_dp_37,2,0.4500,0.3230,0.7658
145,df_to_dp_38,2,0.3000,0.2009,0.3983
146,df_to_dp_39,2,0.4750,0.3215,0.7567
147,df_to_dp_40,2,0.2000,0.1053,0.4200
148,df_to_dp_41,2,0.3750,0.2758,0.5846
149,df_to_dp_42,2,0.4750,0.3182,0.7017
150,df_to_dp_43,2,0.4500,0.3230,0.5633
151,df_to_dp_44,2,0.2000,0.0889,0.6175
152,df_to_dp_45,2,0.1750,0.0778,0.5067
153,df_to_dp_46,2,0.1500,0.0652,0.5550
154,df_to_dp_47,2,0.3250,0.2111,0.8350
155,df_to_dp_48,2,0.2750,0.1449,0.7483
156,df_to_dp_49,2,0.3000,0.2014,0.5367
157,df_to_dp_50,2,0.4250,0.2833,0.7025
158,df_to_dp_51,2,0.4250,0.2986,0.7875
159,df_to_dp_52,2,0.1000,0.0588,0.3425
160,df_to_dp_53,2,0.4250,0.2831,0.4683
161,df_to_dp_54,2,0.2250,0.1125,0.3983
162,df_to_dp_55,2,0.3750,0.2473,0.6950
163,df_to_dp_56,2,0.3750,0.2633,0.9058
164,df_to_dp_57,2,0.3250,0.1998,0.8142
165,df_to_dp_58,2,0.4750,0.3397,0.4567
166,df_to_dp_59,2,0.4000,0.2679,0.7492
