,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_15,0,0.0751,12.5413,11.4522
1,df_to_dp_16,0,0.0751,15.6816,13.1572
2,df_to_dp_17,0,0.0751,15.0362,12.9858
3,df_to_dp_18,0,0.0751,15.3763,13.3153
4,df_to_dp_19,0,0.0751,15.5452,13.6347
5,df_to_dp_20,0,0.0751,15.1196,12.1154
6,df_to_dp_21,0,0.0751,15.3058,13.4722
7,df_to_dp_22,0,0.0751,16.1858,13.9080
8,df_to_dp_23,0,0.0751,17.4117,15.4144
9,df_to_dp_24,0,0.0751,16.8563,14.0042
10,df_to_dp_25,0,0.0751,15.0538,12.6699
11,df_to_dp_26,0,0.0751,15.7269,13.7048
12,df_to_dp_27,0,0.0751,15.9201,14.6066
13,df_to_dp_28,0,0.0751,16.3678,13.6871
14,df_to_dp_29,0,0.0751,15.9573,13.9241
15,df_to_dp_30,0,0.0751,13.1869,11.2492
16,df_to_dp_31,0,0.0751,9.5007,8.5369
17,df_to_dp_32,0,0.0751,16.4319,13.7975
18,df_to_dp_33,0,0.0751,15.8990,13.4409
19,df_to_dp_34,0,0.0751,13.9455,11.7949
20,df_to_dp_35,0,0.0751,13.7895,11.7296
21,df_to_dp_36,0,0.0751,14.1351,11.0962
22,df_to_dp_37,0,0.0751,16.0488,13.0768
23,df_to_dp_38,0,0.0751,17.1995,14.0060
24,df_to_dp_39,0,0.0751,14.6118,8.9629
25,df_to_dp_40,0,0.0751,16.7667,15.1929
26,df_to_dp_41,0,0.0751,5.6760,5.7144
27,df_to_dp_42,0,0.0751,17.1542,15.0446
28,df_to_dp_43,0,0.0751,11.6753,8.0998
29,df_to_dp_44,0,0.0751,16.0441,14.0600
30,df_to_dp_45,0,0.0751,14.1193,11.3426
31,df_to_dp_46,0,0.0751,15.0913,13.1350
32,df_to_dp_47,0,0.0751,15.4809,13.5583
33,df_to_dp_48,0,0.0751,17.2044,14.9119
34,df_to_dp_49,0,0.0751,14.0686,11.3647
35,df_to_dp_50,0,0.0751,16.9687,15.0278
36,df_to_dp_51,0,0.0751,14.8154,13.4808
