,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.4500,0.3619,0.6342
1,df_to_dp_16,0,0.5000,0.3750,0.8033
2,df_to_dp_17,0,0.4750,0.3618,0.6200
3,df_to_dp_18,0,0.5250,0.4553,0.7233
4,df_to_dp_19,0,0.5000,0.3750,0.5708
5,df_to_dp_20,0,0.5500,0.4649,0.8842
6,df_to_dp_21,0,0.5000,0.3851,0.8392
7,df_to_dp_22,0,0.5250,0.4029,0.7233
8,df_to_dp_23,0,0.5250,0.3981,0.7200
9,df_to_dp_24,0,0.4750,0.3588,0.7242
10,df_to_dp_25,0,0.5000,0.3782,0.6633
11,df_to_dp_26,0,0.5750,0.4668,0.8742
12,df_to_dp_27,0,0.5000,0.3782,0.7817
13,df_to_dp_28,0,0.5000,0.3750,0.7517
14,df_to_dp_29,0,0.5000,0.3750,0.8475
15,df_to_dp_30,0,0.5000,0.3472,0.6342
16,df_to_dp_31,0,0.5000,0.3750,0.6638
17,df_to_dp_32,0,0.4750,0.3532,0.8208
18,df_to_dp_33,0,0.6250,0.5649,0.9150
19,df_to_dp_34,0,0.5500,0.4869,0.6867
20,df_to_dp_35,0,0.5500,0.4649,0.7525
21,df_to_dp_36,0,0.5250,0.4237,0.8175
22,df_to_dp_37,0,0.5500,0.4649,0.8033
23,df_to_dp_38,0,0.5000,0.3750,0.7267
24,df_to_dp_39,0,0.3500,0.2565,0.8417
25,df_to_dp_40,0,0.6250,0.5568,0.8783
26,df_to_dp_41,0,0.4500,0.3404,0.5225
27,df_to_dp_42,0,0.5000,0.4062,0.8308
28,df_to_dp_43,0,0.5250,0.4484,0.5412
29,df_to_dp_44,0,0.5000,0.4069,0.8667
30,df_to_dp_45,0,0.6000,0.5317,0.8475
31,df_to_dp_46,0,0.5000,0.3750,0.8008
32,df_to_dp_47,0,0.5000,0.3589,0.8867
33,df_to_dp_48,0,0.5000,0.3333,0.9050
34,df_to_dp_49,0,0.5000,0.3750,0.7842
35,df_to_dp_50,0,0.5250,0.3966,0.9892
36,df_to_dp_51,0,0.5250,0.4431,0.8250
37,df_to_dp_52,0,0.5000,0.3394,0.9225
38,df_to_dp_53,0,0.5500,0.4649,0.6567
39,df_to_dp_54,0,0.5750,0.5005,0.8183
40,df_to_dp_55,0,0.5000,0.3750,0.9650
41,df_to_dp_56,0,0.5750,0.4752,0.9233
42,df_to_dp_57,0,0.6250,0.5405,0.9733
43,df_to_dp_58,0,0.3250,0.3084,0.7367
44,df_to_dp_59,0,0.5750,0.5139,0.9658
45,df_to_dp_60,0,0.4000,0.3011,0.7088
46,df_to_dp_61,0,0.5500,0.4838,0.7567
47,df_to_dp_62,0,0.6250,0.5595,0.9467
48,df_to_dp_63,0,0.6500,0.5710,0.9233
49,df_to_dp_64,0,0.5000,0.3348,0.9225
50,df_to_dp_65,0,0.4750,0.4241,0.7892
51,df_to_dp_66,0,0.2750,0.1667,0.6117
52,df_to_dp_67,0,0.6000,0.5221,0.8808
53,df_to_dp_68,0,0.5250,0.4079,0.8683
54,df_to_dp_69,0,0.5000,0.3750,0.9192
55,df_to_dp_70,0,0.6000,0.5146,0.8279
56,df_to_dp_71,0,0.6000,0.5238,0.9733
57,df_to_dp_72,0,0.5000,0.3750,0.9575
58,df_to_dp_73,0,0.2500,0.1000,0.8071
59,df_to_dp_74,0,0.3243,0.1962,0.6385
60,df_to_dp_75,0,0.5750,0.5005,0.9775
61,df_to_dp_15,1,0.2500,0.1020,0.5717
62,df_to_dp_16,1,0.5500,0.4649,0.9275
63,df_to_dp_17,1,0.4000,0.3264,0.6183
64,df_to_dp_18,1,0.4500,0.3442,0.7000
65,df_to_dp_19,1,0.4750,0.3618,0.6108
66,df_to_dp_20,1,0.6250,0.5758,0.9408
67,df_to_dp_21,1,0.5000,0.3971,0.7717
68,df_to_dp_22,1,0.4500,0.3912,0.6683
69,df_to_dp_23,1,0.5000,0.3782,0.8225
70,df_to_dp_24,1,0.5250,0.4422,0.8042
71,df_to_dp_25,1,0.5000,0.3851,0.6708
