,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_15,0,7.2767,4.7061,3.1746
1,df_to_dp_16,0,7.2767,1.3246,1.0101
2,df_to_dp_17,0,7.2767,2.4790,1.5862
3,df_to_dp_18,0,7.2767,2.6222,1.5935
4,df_to_dp_19,0,7.2767,2.6686,1.8346
5,df_to_dp_20,0,7.2767,1.2646,0.9095
6,df_to_dp_21,0,7.2767,1.7224,1.0715
7,df_to_dp_22,0,7.2767,2.2096,1.4390
8,df_to_dp_23,0,7.2767,2.2555,1.3753
9,df_to_dp_24,0,7.2767,2.0511,1.1598
10,df_to_dp_25,0,7.2767,2.6842,1.7099
11,df_to_dp_26,0,7.2767,1.4316,0.9550
12,df_to_dp_27,0,7.2767,2.3027,1.5261
13,df_to_dp_28,0,7.2767,1.7422,1.2203
14,df_to_dp_29,0,7.2767,2.9508,1.7138
15,df_to_dp_30,0,7.2767,4.1822,2.6908
16,df_to_dp_31,0,7.2767,7.5174,4.5214
17,df_to_dp_32,0,7.2767,1.8795,1.2506
18,df_to_dp_33,0,7.2767,0.6732,0.6008
19,df_to_dp_34,0,7.2767,3.5392,2.3867
20,df_to_dp_35,0,7.2767,1.9040,1.2454
21,df_to_dp_36,0,7.2767,1.6311,1.0441
22,df_to_dp_37,0,7.2767,1.4144,0.9666
23,df_to_dp_38,0,7.2767,2.9413,1.9076
24,df_to_dp_39,0,7.2767,4.0684,2.2298
25,df_to_dp_40,0,7.2767,1.1068,1.0680
26,df_to_dp_41,0,7.2767,6.9154,4.1080
27,df_to_dp_42,0,7.2767,1.6423,1.3184
28,df_to_dp_43,0,7.2767,6.7189,4.6693
29,df_to_dp_44,0,7.2767,1.8330,1.1710
30,df_to_dp_45,0,7.2767,1.5416,0.9160
31,df_to_dp_46,0,7.2767,2.9205,1.8458
32,df_to_dp_47,0,7.2767,1.5693,1.1041
33,df_to_dp_48,0,7.2767,1.9226,1.1513
34,df_to_dp_49,0,7.2767,1.3441,1.0578
35,df_to_dp_50,0,7.2767,1.3681,0.7841
36,df_to_dp_51,0,7.2767,2.4170,1.5600
37,df_to_dp_52,0,7.2767,1.3971,0.9832
38,df_to_dp_53,0,7.2767,5.4966,3.5068
39,df_to_dp_54,0,7.2767,1.5534,1.0808
40,df_to_dp_55,0,7.2767,1.5071,0.9574
41,df_to_dp_56,0,7.2767,1.5358,0.9668
42,df_to_dp_57,0,7.2767,0.8615,0.7007
43,df_to_dp_58,0,7.2767,1.8708,2.0255
44,df_to_dp_59,0,7.2767,1.1602,0.7389
45,df_to_dp_60,0,7.2767,9.7041,5.7855
46,df_to_dp_61,0,7.2767,1.5723,1.3158
47,df_to_dp_62,0,7.2767,0.7173,0.5833
48,df_to_dp_63,0,7.2767,1.0945,0.7595
49,df_to_dp_64,0,7.2767,1.5010,1.0271
50,df_to_dp_65,0,7.2767,2.4995,1.4267
51,df_to_dp_66,0,7.2767,5.3169,3.4808
52,df_to_dp_67,0,7.2767,1.6420,1.1046
53,df_to_dp_68,0,7.2767,2.1566,1.2217
54,df_to_dp_69,0,7.2767,2.0281,1.2348
55,df_to_dp_70,0,7.2767,2.4094,1.5720
56,df_to_dp_71,0,7.2767,1.4732,0.8197
57,df_to_dp_72,0,7.2767,1.5676,1.1025
58,df_to_dp_73,0,7.2767,9.7456,6.1191
59,df_to_dp_74,0,7.2767,3.7131,3.7498
60,df_to_dp_75,0,7.2767,1.1725,0.7780
61,df_to_dp_15,1,15.2731,11.1243,6.5795
62,df_to_dp_16,1,15.2731,1.0706,0.6382
63,df_to_dp_17,1,15.2731,2.3780,1.5377
64,df_to_dp_18,1,15.2731,3.4908,2.2098
65,df_to_dp_19,1,15.2731,2.1406,1.4204
66,df_to_dp_20,1,15.2731,1.3025,0.6930
67,df_to_dp_21,1,15.2731,2.1486,1.3236
68,df_to_dp_22,1,15.2731,2.6749,1.7596
69,df_to_dp_23,1,15.2731,2.7323,1.4389
70,df_to_dp_24,1,15.2731,1.2066,0.8291
71,df_to_dp_25,1,15.2731,2.8463,1.6176
72,df_to_dp_26,1,15.2731,1.9176,1.1812
73,df_to_dp_27,1,15.2731,2.8488,1.9495
74,df_to_dp_28,1,15.2731,2.1640,1.4624
75,df_to_dp_29,1,15.2731,2.5814,1.7620
76,df_to_dp_30,1,15.2731,4.2115,4.0843
77,df_to_dp_31,1,15.2731,15.8518,10.4500
78,df_to_dp_32,1,15.2731,2.0154,1.1749
79,df_to_dp_33,1,15.2731,1.6893,1.5461
80,df_to_dp_34,1,15.2731,10.6012,6.7980
81,df_to_dp_35,1,15.2731,1.7998,1.1677
82,df_to_dp_36,1,15.2731,0.8001,0.6882
83,df_to_dp_37,1,15.2731,1.4860,0.9287
84,df_to_dp_38,1,15.2731,7.0167,5.2971
85,df_to_dp_39,1,15.2731,3.4043,2.5873
86,df_to_dp_40,1,15.2731,1.8926,1.4621
87,df_to_dp_41,1,15.2731,12.4338,7.2708
88,df_to_dp_42,1,15.2731,4.6844,2.3559
89,df_to_dp_43,1,15.2731,16.2571,11.4017
90,df_to_dp_44,1,15.2731,1.8479,1.0520
91,df_to_dp_45,1,15.2731,1.0392,0.8195
92,df_to_dp_46,1,15.2731,2.4993,1.6919
93,df_to_dp_47,1,15.2731,0.9435,0.7218
94,df_to_dp_48,1,15.2731,1.7908,0.9900
95,df_to_dp_49,1,15.2731,0.9158,0.6041
96,df_to_dp_50,1,15.2731,1.3647,0.7822
97,df_to_dp_51,1,15.2731,4.6467,2.0130
98,df_to_dp_52,1,15.2731,1.3760,0.8269
99,df_to_dp_53,1,15.2731,13.1425,8.2750
100,df_to_dp_54,1,15.2731,2.2431,1.2000
101,df_to_dp_55,1,15.2731,1.1200,0.7441
102,df_to_dp_56,1,15.2731,1.2267,0.7109
103,df_to_dp_57,1,15.2731,1.4363,0.8894
104,df_to_dp_58,1,15.2731,2.2322,1.8802
105,df_to_dp_59,1,15.2731,0.9320,0.4995
106,df_to_dp_60,1,15.2731,20.9881,13.5321
107,df_to_dp_61,1,15.2731,1.9870,1.7636
108,df_to_dp_62,1,15.2731,0.3882,0.4352
109,df_to_dp_63,1,15.2731,1.2870,0.7728
110,df_to_dp_64,1,15.2731,1.7884,1.2166
111,df_to_dp_65,1,15.2731,3.0677,2.2298
112,df_to_dp_66,1,15.2731,9.6194,5.8941
113,df_to_dp_67,1,15.2731,2.1735,1.6191
114,df_to_dp_68,1,15.2731,1.4658,0.9675
115,df_to_dp_69,1,15.2731,1.7141,1.1618
116,df_to_dp_70,1,15.2731,1.9355,2.1567
117,df_to_dp_71,1,15.2731,1.7500,1.0896
