,scenario,run,acc,f1_score,auroc
0,syn_15_to_dp_15,0,0.4500,0.3829,0.6500
1,syn_15_to_dp_15,1,0.4500,0.3581,0.6592
2,syn_15_to_dp_15,2,0.4000,0.3654,0.6208
3,syn_15_to_dp_15,3,0.4000,0.3615,0.5900
4,syn_15_to_dp_15,4,0.4250,0.3895,0.5725
5,syn_15_to_dp_15,5,0.4500,0.3553,0.7658
6,syn_15_to_dp_15,6,0.4000,0.3438,0.6317
7,syn_15_to_dp_15,7,0.4250,0.3795,0.6175
8,syn_15_to_dp_15,8,0.4250,0.3795,0.5992
9,syn_15_to_dp_15,9,0.4250,0.3895,0.7117
10,syn_16_to_dp_16,0,0.6250,0.6261,0.9150
11,syn_16_to_dp_16,1,0.6500,0.6387,0.9233
12,syn_16_to_dp_16,2,0.5000,0.4574,0.8783
13,syn_16_to_dp_16,3,0.6750,0.6716,0.9317
14,syn_16_to_dp_16,4,0.7500,0.7498,0.9358
15,syn_16_to_dp_16,5,0.7000,0.6871,0.9475
16,syn_16_to_dp_16,6,0.7000,0.6850,0.9492
17,syn_16_to_dp_16,7,0.7000,0.6961,0.9483
18,syn_16_to_dp_16,8,0.7500,0.7432,0.9550
19,syn_16_to_dp_16,9,0.7000,0.6932,0.9383
20,syn_17_to_dp_17,0,0.4750,0.4238,0.6683
21,syn_17_to_dp_17,1,0.5500,0.4889,0.6967
22,syn_17_to_dp_17,2,0.5000,0.4445,0.6842
23,syn_17_to_dp_17,3,0.4500,0.4216,0.6867
24,syn_17_to_dp_17,4,0.5250,0.4788,0.6642
25,syn_17_to_dp_17,5,0.5250,0.4628,0.7442
26,syn_17_to_dp_17,6,0.5000,0.4588,0.6208
27,syn_17_to_dp_17,7,0.5250,0.4663,0.7325
28,syn_17_to_dp_17,8,0.5250,0.4630,0.8042
29,syn_17_to_dp_17,9,0.4250,0.4007,0.6500
30,syn_18_to_dp_18,0,0.5250,0.5059,0.7917
31,syn_18_to_dp_18,1,0.4750,0.3720,0.8125
32,syn_18_to_dp_18,2,0.4250,0.3487,0.8275
33,syn_18_to_dp_18,3,0.4750,0.3588,0.8150
34,syn_18_to_dp_18,4,0.5000,0.4133,0.8117
35,syn_18_to_dp_18,5,0.5000,0.4130,0.8283
36,syn_18_to_dp_18,6,0.4750,0.3931,0.8758
37,syn_18_to_dp_18,7,0.5000,0.4294,0.8075
38,syn_18_to_dp_18,8,0.4250,0.3168,0.4983
39,syn_18_to_dp_18,9,0.5750,0.5370,0.8783
40,syn_19_to_dp_19,0,0.5250,0.4784,0.8200
41,syn_19_to_dp_19,1,0.6250,0.5816,0.8825
42,syn_19_to_dp_19,2,0.5250,0.5106,0.8083
43,syn_19_to_dp_19,3,0.6000,0.5550,0.8600
44,syn_19_to_dp_19,4,0.6750,0.6074,0.8667
45,syn_19_to_dp_19,5,0.5500,0.5006,0.8600
46,syn_19_to_dp_19,6,0.3750,0.3609,0.7275
47,syn_19_to_dp_19,7,0.6250,0.6189,0.8217
48,syn_19_to_dp_19,8,0.5250,0.4340,0.8042
49,syn_19_to_dp_19,9,0.6500,0.6030,0.8933
50,syn_20_to_dp_20,0,0.5500,0.4649,0.9283
51,syn_20_to_dp_20,1,0.6000,0.5820,0.8733
52,syn_20_to_dp_20,2,0.6250,0.6176,0.9042
53,syn_20_to_dp_20,3,0.7500,0.7379,0.9733
