,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.2500,0.1000,0.7125
1,df_to_dp_16,0,0.2500,0.1000,0.7458
2,df_to_dp_17,0,0.2500,0.1000,0.7775
3,df_to_dp_18,0,0.2500,0.1000,0.8367
4,df_to_dp_19,0,0.2500,0.1000,0.8192
5,df_to_dp_20,0,0.2500,0.1000,0.7775
6,df_to_dp_15,1,0.2500,0.1000,0.5892
7,df_to_dp_16,1,0.2500,0.1000,0.6333
8,df_to_dp_17,1,0.2500,0.1000,0.7275
9,df_to_dp_18,1,0.2500,0.1000,0.8167
10,df_to_dp_19,1,0.2500,0.1000,0.8067
11,df_to_dp_20,1,0.2500,0.1000,0.8075
12,df_to_dp_15,2,0.2500,0.1000,0.4300
13,df_to_dp_16,2,0.3000,0.1875,0.8408
14,df_to_dp_17,2,0.2500,0.1220,0.5492
15,df_to_dp_18,2,0.2500,0.1515,0.6475
16,df_to_dp_19,2,0.2500,0.1429,0.5583
17,df_to_dp_20,2,0.2500,0.1250,0.5658
18,df_to_dp_15,3,0.2500,0.1000,0.6742
19,df_to_dp_16,3,0.2750,0.1475,0.7725
20,df_to_dp_17,3,0.2500,0.1000,0.5242
21,df_to_dp_18,3,0.2500,0.1000,0.5942
22,df_to_dp_19,3,0.2500,0.1000,0.6233
23,df_to_dp_20,3,0.2500,0.1000,0.5325
24,df_to_dp_15,4,0.2500,0.1000,0.2292
25,df_to_dp_16,4,0.2750,0.1475,0.6258
26,df_to_dp_17,4,0.2500,0.1000,0.4421
27,df_to_dp_18,4,0.3250,0.2218,0.5950
28,df_to_dp_19,4,0.2500,0.1000,0.6150
29,df_to_dp_20,4,0.2500,0.1000,0.3467
30,df_to_dp_15,5,0.2500,0.1020,0.2958
31,df_to_dp_16,5,0.2500,0.1000,0.3483
32,df_to_dp_17,5,0.2500,0.1136,0.4467
33,df_to_dp_18,5,0.2250,0.1125,0.5125
34,df_to_dp_19,5,0.2000,0.1081,0.4658
35,df_to_dp_20,5,0.2500,0.1190,0.5358
36,df_to_dp_15,6,0.2500,0.1000,0.5967
37,df_to_dp_16,6,0.2500,0.1000,0.5850
38,df_to_dp_17,6,0.2500,0.1000,0.7725
39,df_to_dp_18,6,0.2750,0.1475,0.8742
40,df_to_dp_19,6,0.2500,0.1000,0.7683
41,df_to_dp_20,6,0.2500,0.1000,0.6983
42,df_to_dp_15,7,0.2500,0.1282,0.3467
43,df_to_dp_16,7,0.2500,0.1000,0.3900
44,df_to_dp_17,7,0.1000,0.0833,0.2825
45,df_to_dp_18,7,0.0250,0.0238,0.2658
46,df_to_dp_19,7,0.1500,0.0652,0.2983
47,df_to_dp_20,7,0.1500,0.1154,0.2650
48,df_to_dp_15,8,0.2500,0.1111,0.5517
49,df_to_dp_16,8,0.2500,0.1000,0.7358
50,df_to_dp_17,8,0.2500,0.1316,0.6100
51,df_to_dp_18,8,0.3250,0.2167,0.6500
52,df_to_dp_19,8,0.2500,0.1351,0.6150
53,df_to_dp_20,8,0.2500,0.1613,0.6592
54,df_to_dp_15,9,0.2500,0.1000,0.2883
55,df_to_dp_16,9,0.2500,0.1000,0.4717
56,df_to_dp_17,9,0.2500,0.1000,0.4792
57,df_to_dp_18,9,0.2500,0.1000,0.5458
58,df_to_dp_19,9,0.2500,0.1000,0.4483
59,df_to_dp_20,9,0.2500,0.1000,0.4458
60,mean,-,0.2438,0.1120,0.5744
61,std,-,0.0431,0.0305,0.1728
