,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.5750,0.4924,0.8617
1,df_to_dp_16,0,0.7250,0.6481,0.8883
2,df_to_dp_17,0,0.6000,0.5317,0.9792
3,df_to_dp_18,0,0.7250,0.6416,0.9742
4,df_to_dp_19,0,0.6000,0.5317,0.9175
5,df_to_dp_20,0,0.6500,0.5771,0.9608
6,df_to_dp_15,1,0.5500,0.4566,0.9825
7,df_to_dp_16,1,0.7000,0.6285,0.9592
8,df_to_dp_17,1,0.6500,0.6092,0.9850
9,df_to_dp_18,1,0.7250,0.6416,0.9942
10,df_to_dp_19,1,0.7000,0.6285,0.9725
11,df_to_dp_20,1,0.7750,0.7121,1.0000
12,df_to_dp_15,2,0.5000,0.3663,0.8246
13,df_to_dp_16,2,0.7000,0.6285,0.8392
14,df_to_dp_17,2,0.6000,0.5317,0.9308
15,df_to_dp_18,2,0.7500,0.6667,0.9975
16,df_to_dp_19,2,0.6750,0.6074,0.9342
17,df_to_dp_20,2,0.7500,0.6667,0.9550
18,df_to_dp_15,3,0.5500,0.4649,0.9350
19,df_to_dp_16,3,0.7000,0.6285,0.8708
20,df_to_dp_17,3,0.6000,0.5317,0.9783
21,df_to_dp_18,3,0.7500,0.6667,1.0000
22,df_to_dp_19,3,0.6750,0.6036,0.9650
23,df_to_dp_20,3,0.8500,0.8352,1.0000
24,df_to_dp_15,4,0.5000,0.3663,0.8958
25,df_to_dp_16,4,0.6250,0.5595,0.8258
26,df_to_dp_17,4,0.5750,0.5005,0.9817
27,df_to_dp_18,4,0.7500,0.6667,0.9967
28,df_to_dp_19,4,0.5750,0.5091,0.9608
29,df_to_dp_20,4,0.6750,0.6074,0.9875
30,df_to_dp_15,5,0.6000,0.5317,0.9375
31,df_to_dp_16,5,0.7250,0.6481,0.9592
32,df_to_dp_17,5,0.6500,0.5729,0.9900
33,df_to_dp_18,5,0.7500,0.6558,1.0000
34,df_to_dp_19,5,0.7000,0.6231,0.9733
35,df_to_dp_20,5,0.7750,0.7052,1.0000
36,df_to_dp_15,6,0.5500,0.4566,0.8292
37,df_to_dp_16,6,0.7250,0.6481,0.8967
38,df_to_dp_17,6,0.6000,0.5317,0.9508
39,df_to_dp_18,6,0.7250,0.6256,0.9775
40,df_to_dp_19,6,0.7000,0.6285,0.9267
41,df_to_dp_20,6,0.6750,0.5933,0.9033
42,df_to_dp_15,7,0.6250,0.5518,0.9183
43,df_to_dp_16,7,0.7250,0.6481,0.8550
44,df_to_dp_17,7,0.6250,0.5595,0.9883
45,df_to_dp_18,7,0.7000,0.6058,0.9775
46,df_to_dp_19,7,0.7000,0.6285,0.9683
47,df_to_dp_20,7,0.7500,0.6830,0.9900
48,df_to_dp_15,8,0.5250,0.4237,0.8208
49,df_to_dp_16,8,0.7250,0.6481,0.9125
50,df_to_dp_17,8,0.6000,0.5317,0.9692
51,df_to_dp_18,8,0.7750,0.7179,0.9850
52,df_to_dp_19,8,0.6250,0.5595,0.9342
53,df_to_dp_20,8,0.6750,0.6074,0.9817
54,df_to_dp_15,9,0.5000,0.3663,0.8729
55,df_to_dp_16,9,0.6500,0.5846,0.8675
56,df_to_dp_17,9,0.6000,0.5317,0.9083
57,df_to_dp_18,9,0.7000,0.6285,0.9817
58,df_to_dp_19,9,0.6250,0.5595,0.8850
59,df_to_dp_20,9,0.6500,0.5846,0.9642
60,mean,-,0.6621,0.5858,0.9413
61,std,-,0.0783,0.0886,0.0532
