,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_15,0,7.2767,2.7675,1.6426
1,df_to_dp_16,0,7.2767,1.4997,1.0155
2,df_to_dp_17,0,7.2767,0.8773,0.7875
3,df_to_dp_18,0,7.2767,0.8942,0.5870
4,df_to_dp_19,0,7.2767,1.3544,0.9414
5,df_to_dp_20,0,7.2767,1.0598,0.5220
6,df_to_dp_15,1,15.2731,1.8888,1.1899
7,df_to_dp_16,1,15.2731,2.0766,1.2532
8,df_to_dp_17,1,15.2731,0.8446,0.5333
9,df_to_dp_18,1,15.2731,0.6227,0.4390
10,df_to_dp_19,1,15.2731,0.7844,0.5573
11,df_to_dp_20,1,15.2731,0.4244,0.2672
12,df_to_dp_15,2,16.6129,4.0325,2.4513
13,df_to_dp_16,2,16.6129,2.6212,1.6872
14,df_to_dp_17,2,16.6129,2.1434,1.5861
15,df_to_dp_18,2,16.6129,0.9655,0.7038
16,df_to_dp_19,2,16.6129,2.2103,1.3077
17,df_to_dp_20,2,16.6129,1.6590,1.0089
18,df_to_dp_15,3,9.5698,2.3482,1.4846
19,df_to_dp_16,3,9.5698,2.1202,1.3965
20,df_to_dp_17,3,9.5698,0.8145,0.5102
21,df_to_dp_18,3,9.5698,0.4213,0.2625
22,df_to_dp_19,3,9.5698,0.7781,0.6749
23,df_to_dp_20,3,9.5698,0.2338,0.1828
24,df_to_dp_15,4,13.7957,3.7689,2.4337
25,df_to_dp_16,4,13.7957,3.2007,1.9757
26,df_to_dp_17,4,13.7957,1.5979,1.2326
27,df_to_dp_18,4,13.7957,0.8905,0.5762
28,df_to_dp_19,4,13.7957,1.4717,1.1216
29,df_to_dp_20,4,13.7957,0.8707,0.6229
30,df_to_dp_15,5,11.4741,1.9759,1.2480
31,df_to_dp_16,5,11.4741,2.2912,1.4319
32,df_to_dp_17,5,11.4741,0.5874,0.3621
33,df_to_dp_18,5,11.4741,0.4172,0.2754
34,df_to_dp_19,5,11.4741,1.1070,0.6278
35,df_to_dp_20,5,11.4741,0.4399,0.2735
36,df_to_dp_15,6,6.5015,2.5118,1.7182
37,df_to_dp_16,6,6.5015,1.1415,0.8178
38,df_to_dp_17,6,6.5015,1.5808,0.9740
39,df_to_dp_18,6,6.5015,1.0922,0.6459
40,df_to_dp_19,6,6.5015,1.6135,1.1019
41,df_to_dp_20,6,6.5015,1.5634,1.0067
42,df_to_dp_15,7,6.4866,1.9690,1.1962
43,df_to_dp_16,7,6.4866,1.6914,1.1309
44,df_to_dp_17,7,6.4866,0.7479,0.5159
45,df_to_dp_18,7,6.4866,0.6347,0.4756
46,df_to_dp_19,7,6.4866,1.0099,0.6608
47,df_to_dp_20,7,6.4866,0.4144,0.3523
48,df_to_dp_15,8,11.3396,2.9012,1.6825
49,df_to_dp_16,8,11.3396,1.6978,1.0764
50,df_to_dp_17,8,11.3396,1.4144,0.8780
51,df_to_dp_18,8,11.3396,0.6964,0.4630
52,df_to_dp_19,8,11.3396,1.6656,0.8977
53,df_to_dp_20,8,11.3396,0.8916,0.5440
54,df_to_dp_15,9,8.9728,4.5305,2.9843
55,df_to_dp_16,9,8.9728,3.8161,2.3375
56,df_to_dp_17,9,8.9728,3.2561,1.9085
57,df_to_dp_18,9,8.9728,1.8251,1.1309
58,df_to_dp_19,9,8.9728,2.7871,1.7412
59,df_to_dp_20,9,8.9728,2.0473,1.3231
60,mean,-,10.7303,1.6260,1.0456
61,std,-,3.4614,0.9981,0.6162
