,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.3864,0.3945,0.6237
1,0_to_4,1,0.4126,0.4415,0.6311
2,0_to_4,2,0.4633,0.4747,0.6264
3,0_to_4,3,0.3881,0.4294,0.5932
4,0_to_4,4,0.4965,0.5171,0.6453
5,0_to_5,0,0.4615,0.4736,0.6838
6,0_to_5,1,0.4755,0.4782,0.7340
7,0_to_5,2,0.3759,0.3887,0.6811
8,0_to_5,3,0.3951,0.4164,0.6730
9,0_to_5,4,0.4178,0.4131,0.6798
10,0_to_6,0,0.4625,0.4728,0.7176
11,0_to_6,1,0.4642,0.4769,0.7098
12,0_to_6,2,0.5183,0.4967,0.7323
13,0_to_6,3,0.5462,0.5287,0.7521
14,0_to_6,4,0.5166,0.5100,0.7232
15,0_to_7,0,0.4283,0.4493,0.6536
16,0_to_7,1,0.3741,0.4007,0.6619
17,0_to_7,2,0.3304,0.3723,0.6377
18,0_to_7,3,0.3531,0.3924,0.6393
19,0_to_7,4,0.3024,0.3212,0.6421
20,mean,-,0.4285,0.4424,0.6721
21,std,-,0.0661,0.0546,0.0441
