,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0014,2.8909,2.6830
1,0_to_4,1,0.0007,2.3309,2.8342
2,0_to_4,2,0.0011,2.8985,3.0659
3,0_to_4,3,0.0009,3.2099,3.0767
4,0_to_4,4,0.0005,2.8180,2.6454
5,0_to_5,0,0.0017,1.2558,1.6802
6,0_to_5,1,0.0012,1.3374,1.5463
7,0_to_5,2,0.0029,1.9127,1.7544
8,0_to_5,3,0.0008,2.0824,1.8369
9,0_to_5,4,0.0005,1.9571,1.8823
10,0_to_6,0,0.0009,1.4664,1.7340
11,0_to_6,1,0.0007,1.2215,1.6489
12,0_to_6,2,0.0007,1.6787,1.5581
13,0_to_6,3,0.0009,1.7178,1.5424
14,0_to_6,4,0.0007,1.7390,1.6963
15,0_to_7,0,0.0034,2.8182,2.1586
16,0_to_7,1,0.0016,2.1375,2.2794
17,0_to_7,2,0.0028,2.0154,2.6015
18,0_to_7,3,0.0012,2.5041,2.5729
19,0_to_7,4,0.0010,2.1719,2.6029
20,mean,-,0.0013,2.1082,2.1700
21,std,-,0.0008,0.5953,0.5406
