,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.3549,0.4003,0.6094
1,0_to_4,1,0.3129,0.3715,0.5709
2,0_to_4,2,0.5420,0.5006,0.6577
3,0_to_4,3,0.2378,0.2799,0.5448
4,0_to_4,4,0.3584,0.3911,0.5961
5,0_to_5,0,0.4371,0.4306,0.6561
6,0_to_5,1,0.3619,0.3849,0.6291
7,0_to_5,2,0.4913,0.4566,0.7075
8,0_to_5,3,0.2587,0.2517,0.6163
9,0_to_5,4,0.4091,0.4042,0.6495
10,0_to_6,0,0.5131,0.4786,0.7269
11,0_to_6,1,0.4642,0.3968,0.7223
12,0_to_6,2,0.3909,0.3528,0.6699
13,0_to_6,3,0.3717,0.3312,0.6769
14,0_to_6,4,0.4538,0.4070,0.6652
15,0_to_7,0,0.4860,0.4415,0.6582
16,0_to_7,1,0.3951,0.4070,0.6166
17,0_to_7,2,0.5017,0.4599,0.6801
18,0_to_7,3,0.3584,0.3186,0.6248
19,0_to_7,4,0.4406,0.4140,0.6343
20,mean,-,0.4070,0.3939,0.6456
21,std,-,0.0827,0.0634,0.0470
