,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0000,3.4822,3.2606
1,0_to_4,1,0.0002,3.1240,3.7167
2,0_to_4,2,0.0001,2.4397,2.8580
3,0_to_4,3,0.0000,4.3618,4.1930
4,0_to_4,4,0.0001,2.9762,3.0640
5,0_to_5,0,0.0000,2.1708,2.6875
6,0_to_5,1,0.0002,2.6081,2.7602
7,0_to_5,2,0.0001,3.4182,2.7540
8,0_to_5,3,0.0000,3.4715,3.4145
9,0_to_5,4,0.0001,2.5331,2.8005
10,0_to_6,0,0.0001,2.1905,2.2623
11,0_to_6,1,0.0001,2.4014,2.5264
12,0_to_6,2,0.0001,3.7321,3.6456
13,0_to_6,3,0.0001,2.9214,2.7985
14,0_to_6,4,0.0001,2.6159,2.6971
15,0_to_7,0,0.0000,3.2610,3.0940
16,0_to_7,1,0.0002,2.7028,3.1371
17,0_to_7,2,0.0001,3.6309,3.2260
18,0_to_7,3,0.0000,3.5390,3.9294
19,0_to_7,4,0.0001,3.3904,3.7539
20,mean,-,0.0001,3.0486,3.1290
21,std,-,0.0000,0.5861,0.5105
