,scenario,run,acc,f1_score,auroc
0,syn_15_to_real_15,0,0.7778,0.6332,0.8667
1,syn_16_to_real_16,0,0.7895,0.7202,0.9958
2,syn_17_to_real_17,0,0.5263,0.4003,0.8490
3,syn_18_to_real_18,0,0.8947,0.9034,0.9887
4,syn_19_to_real_19,0,0.6316,0.3971,0.9604
5,syn_20_to_real_20,0,0.6667,0.4945,0.9222
6,syn_21_to_real_21,0,0.8889,0.7056,0.9833
7,syn_22_to_real_22,0,0.7368,0.6369,0.9615
8,syn_23_to_real_23,0,0.6842,0.5000,0.9329
9,syn_24_to_real_24,0,0.6667,0.4945,0.9222
10,syn_25_to_real_25,0,0.7895,0.6500,0.9167
11,syn_26_to_real_26,0,0.6875,0.5985,0.9048
12,syn_27_to_real_27,0,0.4211,0.3056,0.8844
13,syn_28_to_real_28,0,0.8750,0.6667,0.8304
14,syn_29_to_real_29,0,0.9375,0.8667,0.9821
15,syn_30_to_real_30,0,0.7222,0.5923,0.9486
16,syn_31_to_real_31,0,0.7059,0.4167,0.9667
17,syn_32_to_real_32,0,0.7222,0.5760,0.9184
18,syn_33_to_real_33,0,0.7059,0.5435,0.9661
19,syn_34_to_real_34,0,0.6111,0.3852,0.9696
20,syn_35_to_real_35,0,0.6667,0.5583,0.9643
21,syn_36_to_real_36,0,0.7059,0.4423,0.8440
22,syn_37_to_real_37,0,0.7059,0.5343,0.9357
23,syn_38_to_real_38,0,0.4118,0.3214,0.7536
24,syn_39_to_real_39,0,0.5263,0.3750,0.8920
25,syn_40_to_real_40,0,0.5882,0.4318,0.8768
26,syn_41_to_real_41,0,0.2941,0.2273,0.5548
27,syn_42_to_real_42,0,0.4706,0.3346,0.8310
28,syn_43_to_real_43,0,0.8125,0.5773,0.7857
29,syn_44_to_real_44,0,0.8125,0.6090,0.9732
30,syn_45_to_real_45,0,0.8333,0.6667,0.9556
31,syn_46_to_real_46,0,0.7222,0.5256,0.9710
32,syn_47_to_real_47,0,0.7059,0.4417,0.9173
33,syn_48_to_real_48,0,0.8333,0.6708,0.9722
34,syn_49_to_real_49,0,0.6316,0.4778,0.9531
35,syn_50_to_real_50,0,0.7500,0.8286,0.9796
36,syn_51_to_real_51,0,0.6471,0.3944,0.9190
37,syn_52_to_real_52,0,0.4375,0.3389,1.0000
38,syn_53_to_real_53,0,0.6667,0.4250,0.9291
39,syn_54_to_real_54,0,0.5625,0.5250,0.8403
40,syn_55_to_real_55,0,0.8333,0.6580,0.9676
41,syn_56_to_real_56,0,0.9375,0.9000,1.0000
42,syn_57_to_real_57,0,0.7500,0.4271,0.9736
43,syn_58_to_real_58,0,0.6875,0.4093,0.8929
44,syn_59_to_real_59,0,0.8824,0.6875,1.0000
45,syn_60_to_real_60,0,0.4118,0.2500,0.8474
46,syn_61_to_real_61,0,0.4118,0.3125,0.9417
47,syn_62_to_real_62,0,0.5294,0.3207,0.8429
48,syn_63_to_real_63,0,0.5000,0.3063,0.9395
49,syn_64_to_real_64,0,0.9412,0.9000,1.0000
50,syn_65_to_real_65,0,0.7222,0.5361,0.8940
51,syn_66_to_real_66,0,0.7500,0.4444,0.7946
52,syn_67_to_real_67,0,1.0000,1.0000,1.0000
53,syn_68_to_real_68,0,0.8235,0.6389,0.9262
54,syn_69_to_real_69,0,0.8125,0.6250,0.9464
55,syn_70_to_real_70,0,0.7500,0.4417,0.8988
56,syn_71_to_real_71,0,0.7059,0.4286,0.9095
57,syn_72_to_real_72,0,0.8824,0.7917,0.9833
58,syn_73_to_real_73,0,0.3125,0.1190,0.5341
59,syn_74_to_real_74,0,0.7333,0.4083,0.7552
60,syn_75_to_real_75,0,0.8750,0.7083,0.9643
61,mean,-,0.6964,0.5329,0.9103
62,std,-,0.1609,0.1847,0.0921
