,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_15_to_real_15,0,0.0346,2.4825,2.2067
1,syn_16_to_real_16,0,0.2980,0.4008,0.3610
2,syn_17_to_real_17,0,0.0107,1.6280,1.6458
3,syn_18_to_real_18,0,0.0167,0.2833,0.3659
4,syn_19_to_real_19,0,0.0114,1.1534,1.0421
5,syn_20_to_real_20,0,0.1040,1.2271,1.0950
6,syn_21_to_real_21,0,0.0099,0.3020,0.2758
7,syn_22_to_real_22,0,0.0146,0.8386,0.7556
8,syn_23_to_real_23,0,0.0219,1.3710,1.2443
9,syn_24_to_real_24,0,0.2509,1.2542,1.1148
10,syn_25_to_real_25,0,0.0063,1.1112,0.9944
11,syn_26_to_real_26,0,0.0206,0.8174,1.1837
12,syn_27_to_real_27,0,0.0069,2.5435,2.6872
13,syn_28_to_real_28,0,0.0106,1.0219,0.9064
14,syn_29_to_real_29,0,0.0102,0.2281,0.2278
15,syn_30_to_real_30,0,0.0382,0.9033,0.8682
16,syn_31_to_real_31,0,0.2236,1.9814,1.7484
17,syn_32_to_real_32,0,0.0147,1.2018,1.0821
18,syn_33_to_real_33,0,0.0155,1.3771,1.2213
19,syn_34_to_real_34,0,0.0050,1.2001,1.0726
20,syn_35_to_real_35,0,0.0094,0.6567,0.6296
21,syn_36_to_real_36,0,0.0096,1.3501,1.2124
22,syn_37_to_real_37,0,0.0098,1.0826,1.0968
23,syn_38_to_real_38,0,0.0253,5.4913,5.5795
24,syn_39_to_real_39,0,0.0136,1.8407,1.7654
25,syn_40_to_real_40,0,0.0100,1.6452,1.7243
26,syn_41_to_real_41,0,0.0374,3.9442,3.7942
27,syn_42_to_real_42,0,0.0138,1.9493,1.9417
28,syn_43_to_real_43,0,0.0227,1.8277,1.5998
29,syn_44_to_real_44,0,0.0131,0.7259,0.6509
30,syn_45_to_real_45,0,0.0066,0.5962,0.5350
31,syn_46_to_real_46,0,0.0140,0.6129,0.5449
32,syn_47_to_real_47,0,0.0081,1.1938,1.0676
33,syn_48_to_real_48,0,0.0193,0.4752,0.4224
34,syn_49_to_real_49,0,0.0070,0.8753,0.8375
35,syn_50_to_real_50,0,0.0118,0.4336,0.6913
36,syn_51_to_real_51,0,0.0161,1.7355,1.5313
37,syn_52_to_real_52,0,0.0061,0.9586,1.0249
38,syn_53_to_real_53,0,0.0023,1.8625,1.6557
39,syn_54_to_real_54,0,0.0090,1.0954,1.1164
40,syn_55_to_real_55,0,0.0063,0.4832,0.4310
41,syn_56_to_real_56,0,0.0135,0.1595,0.1399
42,syn_57_to_real_57,0,0.0114,0.7390,0.6483
43,syn_58_to_real_58,0,0.0318,0.7926,0.7548
44,syn_59_to_real_59,0,0.0122,0.3220,0.2872
45,syn_60_to_real_60,0,0.0061,3.1135,3.1511
46,syn_61_to_real_61,0,0.0072,2.1354,2.1245
47,syn_62_to_real_62,0,0.0078,2.5402,2.2758
48,syn_63_to_real_63,0,0.0095,0.9170,1.2769
49,syn_64_to_real_64,0,0.0111,0.1581,0.1508
50,syn_65_to_real_65,0,0.0131,1.7209,1.5297
51,syn_66_to_real_66,0,0.0090,2.7702,2.4239
52,syn_67_to_real_67,0,0.0163,0.1407,0.1325
53,syn_68_to_real_68,0,0.0094,0.7312,0.6577
54,syn_69_to_real_69,0,0.0084,0.7169,0.6273
55,syn_70_to_real_70,0,0.0203,1.3110,1.1483
56,syn_71_to_real_71,0,0.0139,0.9920,0.8882
57,syn_72_to_real_72,0,0.0303,0.3449,0.3051
58,syn_73_to_real_73,0,0.0078,3.1919,2.9591
59,syn_74_to_real_74,0,0.0110,2.1858,1.9101
60,syn_75_to_real_75,0,0.0060,0.9734,0.8533
61,mean,-,0.0271,1.3134,1.2491
62,std,-,0.0551,0.9856,0.9604
