,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_61,0,0.7850,0.7854,0.9454
1,df_to_dp_wal_62,0,0.5800,0.5451,0.8677
2,df_to_dp_wal_63,0,0.6550,0.6418,0.8681
3,df_to_dp_wal_64,0,0.5400,0.5404,0.7413
4,df_to_dp_wal_65,0,0.7200,0.7119,0.9208
5,df_to_dp_wal_66,0,0.5050,0.4720,0.7678
6,df_to_dp_wal_67,0,0.5900,0.5398,0.8927
7,df_to_dp_wal_68,0,0.5150,0.4530,0.8837
8,df_to_dp_wal_69,0,0.6550,0.6082,0.8758
9,df_to_dp_wal_70,0,0.5550,0.4955,0.8148
10,df_to_dp_wal_71,0,0.6500,0.6371,0.8449
11,df_to_dp_wal_72,0,0.6150,0.6015,0.8741
12,df_to_dp_wal_73,0,0.6150,0.5874,0.8649
13,df_to_dp_wal_74,0,0.5469,0.5406,0.7638
14,df_to_dp_wal_75,0,0.6300,0.5755,0.8588
15,mean,-,0.6105,0.5823,0.8523
16,std,-,0.0766,0.0882,0.0576
