,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_61,0,0.4618,0.5531,0.6649
1,df_to_dp_wal_62,0,0.2997,1.1649,1.5604
2,df_to_dp_wal_63,0,0.3331,1.6173,1.3206
3,df_to_dp_wal_64,0,0.3014,2.1708,1.9872
4,df_to_dp_wal_65,0,0.5606,0.7460,0.9304
5,df_to_dp_wal_66,0,0.2883,1.9952,2.3417
6,df_to_dp_wal_67,0,0.5041,2.1725,1.9633
7,df_to_dp_wal_68,0,0.8533,2.7083,2.1240
8,df_to_dp_wal_69,0,0.2640,1.6133,1.7488
9,df_to_dp_wal_70,0,0.3227,2.7259,3.1383
10,df_to_dp_wal_71,0,0.2391,0.9489,1.1105
11,df_to_dp_wal_72,0,0.1925,1.0592,1.0429
12,df_to_dp_wal_73,0,0.4026,1.3606,1.9465
13,df_to_dp_wal_74,0,0.2568,3.5571,3.1417
14,df_to_dp_wal_75,0,0.3321,1.7401,1.8368
15,mean,-,0.3741,1.7422,1.7905
16,std,-,0.1671,0.8298,0.7298
