,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_61,0,0.3700,0.3571,0.7923
1,df_to_dp_wal_62,0,0.6350,0.5611,0.9256
2,df_to_dp_wal_63,0,0.3400,0.3397,0.6673
3,df_to_dp_wal_64,0,0.7000,0.6481,0.9601
4,df_to_dp_wal_65,0,0.7050,0.6532,0.8693
5,df_to_dp_wal_66,0,0.5350,0.4821,0.8012
6,df_to_dp_wal_67,0,0.6850,0.6741,0.9128
7,df_to_dp_wal_68,0,0.4700,0.4789,0.7273
8,df_to_dp_wal_69,0,0.4700,0.4258,0.7711
9,df_to_dp_wal_70,0,0.4950,0.3849,0.7787
10,df_to_dp_wal_71,0,0.7650,0.7557,0.9385
11,df_to_dp_wal_72,0,0.5650,0.5229,0.8727
12,df_to_dp_wal_73,0,0.6850,0.6694,0.9197
13,df_to_dp_wal_74,0,0.6458,0.5735,0.8253
14,df_to_dp_wal_75,0,0.5300,0.4217,0.7496
15,mean,-,0.5731,0.5299,0.8341
16,std,-,0.1284,0.1303,0.0877
