,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_61,0,27.1969,1.6714,1.3250
1,df_to_dp_wal_62,0,17.7895,2.9333,2.8269
2,df_to_dp_wal_63,0,15.4981,3.0721,2.5233
3,df_to_dp_wal_64,0,22.1866,0.6927,1.1657
4,df_to_dp_wal_65,0,16.7178,1.4064,0.8873
5,df_to_dp_wal_66,0,38.2066,2.8241,2.7302
6,df_to_dp_wal_67,0,43.3257,0.9889,0.6679
7,df_to_dp_wal_68,0,31.7504,3.0980,2.9521
8,df_to_dp_wal_69,0,65.1804,1.7287,1.8740
9,df_to_dp_wal_70,0,42.5981,6.4475,6.1971
10,df_to_dp_wal_71,0,57.6800,0.7396,0.6803
11,df_to_dp_wal_72,0,29.0609,1.2181,1.3905
12,df_to_dp_wal_73,0,31.1320,0.6826,0.7855
13,df_to_dp_wal_74,0,30.4079,6.2351,4.2246
14,df_to_dp_wal_75,0,19.0023,4.1970,3.8818
15,mean,-,32.5155,2.5290,2.2741
16,std,-,14.7445,1.8794,1.5844
