,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_61,0,0.7200,0.6989,0.9348
1,df_to_dp_wal_62,0,0.6100,0.5588,0.8600
2,df_to_dp_wal_63,0,0.6400,0.6403,0.8576
3,df_to_dp_wal_64,0,0.5950,0.5798,0.8379
4,df_to_dp_wal_65,0,0.5850,0.5150,0.8738
5,df_to_dp_wal_66,0,0.6700,0.6687,0.8676
6,df_to_dp_wal_67,0,0.6350,0.5895,0.8432
7,df_to_dp_wal_68,0,0.6650,0.5990,0.8678
8,df_to_dp_wal_69,0,0.6500,0.6240,0.8922
9,df_to_dp_wal_70,0,0.4450,0.4328,0.7217
10,df_to_dp_wal_71,0,0.6550,0.6427,0.8513
11,df_to_dp_wal_72,0,0.6800,0.6604,0.9087
12,df_to_dp_wal_73,0,0.6950,0.6590,0.9328
13,df_to_dp_wal_74,0,0.5417,0.4804,0.8039
14,df_to_dp_wal_75,0,0.6300,0.5959,0.8897
15,mean,-,0.6278,0.5964,0.8629
16,std,-,0.0678,0.0743,0.0524
