,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_61,0,0.1767,0.6770,0.7575
1,df_to_dp_wal_62,0,0.2381,1.3538,1.3732
2,df_to_dp_wal_63,0,0.1384,1.3987,1.1849
3,df_to_dp_wal_64,0,0.1519,1.2309,1.2081
4,df_to_dp_wal_65,0,0.2110,1.9900,1.9700
5,df_to_dp_wal_66,0,0.1463,0.9012,1.0857
6,df_to_dp_wal_67,0,0.1702,1.4402,0.9651
7,df_to_dp_wal_68,0,0.2190,1.4988,1.2452
8,df_to_dp_wal_69,0,0.2622,1.1479,0.9562
9,df_to_dp_wal_70,0,0.1750,2.4162,2.4499
10,df_to_dp_wal_71,0,0.1845,1.0011,1.0051
11,df_to_dp_wal_72,0,0.2073,0.9938,0.9314
12,df_to_dp_wal_73,0,0.1350,0.5089,0.7874
13,df_to_dp_wal_74,0,0.1769,2.4637,1.6698
14,df_to_dp_wal_75,0,0.1892,1.2175,0.7732
15,mean,-,0.1855,1.3493,1.2242
16,std,-,0.0367,0.5671,0.4770
