,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_61,0,0.6300,0.6077,0.8770
1,df_to_dp_wal_62,0,0.8250,0.8246,0.9610
2,df_to_dp_wal_63,0,0.2500,0.2269,0.6555
3,df_to_dp_wal_64,0,0.6600,0.6109,0.9141
4,df_to_dp_wal_65,0,0.6750,0.6248,0.8933
5,df_to_dp_wal_66,0,0.6500,0.5914,0.8018
6,df_to_dp_wal_67,0,0.6750,0.6024,0.9168
7,df_to_dp_wal_68,0,0.6800,0.6264,0.9166
8,df_to_dp_wal_69,0,0.6400,0.5815,0.8715
9,df_to_dp_wal_70,0,0.5200,0.4237,0.8300
10,df_to_dp_wal_71,0,0.7950,0.7955,0.9424
11,df_to_dp_wal_72,0,0.7400,0.6936,0.9495
12,df_to_dp_wal_73,0,0.7000,0.6714,0.9381
13,df_to_dp_wal_74,0,0.5990,0.5065,0.8203
14,df_to_dp_wal_75,0,0.5500,0.4517,0.8815
15,mean,-,0.6393,0.5893,0.8780
16,std,-,0.1344,0.1473,0.0781
