,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_61,0,10.7190,1.7264,1.2771
1,df_to_dp_wal_62,0,8.9376,0.7367,0.8472
2,df_to_dp_wal_63,0,5.1430,2.8654,2.5679
3,df_to_dp_wal_64,0,10.8712,1.9775,2.5664
4,df_to_dp_wal_65,0,7.3815,1.5336,1.7685
5,df_to_dp_wal_66,0,15.2109,2.9901,3.0769
6,df_to_dp_wal_67,0,8.5324,1.1536,1.2857
7,df_to_dp_wal_68,0,2.9922,1.0501,1.2744
8,df_to_dp_wal_69,0,5.8553,2.2957,2.1629
9,df_to_dp_wal_70,0,7.0637,2.7058,2.6911
10,df_to_dp_wal_71,0,10.8162,1.1491,1.0626
11,df_to_dp_wal_72,0,6.7704,0.6967,1.2546
12,df_to_dp_wal_73,0,5.2572,1.3464,1.4308
13,df_to_dp_wal_74,0,10.8785,4.6221,3.6454
14,df_to_dp_wal_75,0,8.9043,2.0559,2.2985
15,mean,-,8.3556,1.9270,1.9473
16,std,-,3.0714,1.0512,0.8350
