,scenario,run,acc,f1_score,auroc
0,syn_wal_61_to_dp_wal_61,0,0.5800,0.4918,0.9412
1,syn_wal_61_to_dp_wal_61,1,0.6850,0.6104,0.9468
2,syn_wal_61_to_dp_wal_61,2,0.6750,0.6468,0.9650
3,syn_wal_61_to_dp_wal_61,3,0.6800,0.6087,0.8968
4,syn_wal_61_to_dp_wal_61,4,0.6000,0.5383,0.9339
5,syn_wal_61_to_dp_wal_61,5,0.7050,0.6315,0.9588
6,syn_wal_61_to_dp_wal_61,6,0.6600,0.6097,0.9457
7,syn_wal_61_to_dp_wal_61,7,0.6800,0.6156,0.9467
8,syn_wal_61_to_dp_wal_61,8,0.6600,0.5823,0.9273
9,syn_wal_61_to_dp_wal_61,9,0.7200,0.6419,0.9328
10,syn_wal_62_to_dp_wal_62,0,0.5400,0.4868,0.8385
11,syn_wal_62_to_dp_wal_62,1,0.5800,0.5311,0.8049
12,syn_wal_62_to_dp_wal_62,2,0.4700,0.4267,0.7647
13,syn_wal_62_to_dp_wal_62,3,0.5800,0.5301,0.8224
14,syn_wal_62_to_dp_wal_62,4,0.4700,0.4193,0.7041
15,syn_wal_62_to_dp_wal_62,5,0.5850,0.5447,0.8118
16,syn_wal_62_to_dp_wal_62,6,0.6150,0.5670,0.8436
17,syn_wal_62_to_dp_wal_62,7,0.5900,0.5399,0.8413
18,syn_wal_62_to_dp_wal_62,8,0.5600,0.5201,0.7905
19,syn_wal_62_to_dp_wal_62,9,0.5950,0.5407,0.7958
20,syn_wal_63_to_dp_wal_63,0,0.6600,0.5957,0.8849
21,syn_wal_63_to_dp_wal_63,1,0.6750,0.6073,0.8899
22,syn_wal_63_to_dp_wal_63,2,0.6700,0.6020,0.8880
23,syn_wal_63_to_dp_wal_63,3,0.6650,0.5979,0.8660
24,syn_wal_63_to_dp_wal_63,4,0.5750,0.5344,0.8440
25,syn_wal_63_to_dp_wal_63,5,0.7400,0.7305,0.9151
26,syn_wal_63_to_dp_wal_63,6,0.6600,0.5977,0.8891
27,syn_wal_63_to_dp_wal_63,7,0.6750,0.6130,0.8941
28,syn_wal_63_to_dp_wal_63,8,0.6550,0.5911,0.8621
29,syn_wal_63_to_dp_wal_63,9,0.6600,0.5943,0.8852
30,syn_wal_64_to_dp_wal_64,0,0.3800,0.3637,0.6964
31,syn_wal_64_to_dp_wal_64,1,0.4050,0.3795,0.6935
32,syn_wal_64_to_dp_wal_64,2,0.4050,0.3776,0.7203
33,syn_wal_64_to_dp_wal_64,3,0.3950,0.3590,0.7244
34,syn_wal_64_to_dp_wal_64,4,0.3500,0.3410,0.6649
35,syn_wal_64_to_dp_wal_64,5,0.3750,0.3572,0.6712
36,syn_wal_64_to_dp_wal_64,6,0.4150,0.3809,0.6992
37,syn_wal_64_to_dp_wal_64,7,0.3700,0.3535,0.6621
38,syn_wal_64_to_dp_wal_64,8,0.3450,0.3341,0.6414
39,syn_wal_64_to_dp_wal_64,9,0.4500,0.4142,0.7452
40,syn_wal_65_to_dp_wal_65,0,0.7650,0.7553,0.9593
41,syn_wal_65_to_dp_wal_65,1,0.7400,0.7402,0.9480
42,syn_wal_65_to_dp_wal_65,2,0.6900,0.6825,0.9310
43,syn_wal_65_to_dp_wal_65,3,0.7800,0.7781,0.9484
44,syn_wal_65_to_dp_wal_65,4,0.7200,0.6773,0.9371
45,syn_wal_65_to_dp_wal_65,5,0.8550,0.8501,0.9714
46,syn_wal_65_to_dp_wal_65,6,0.7150,0.6561,0.9609
47,syn_wal_65_to_dp_wal_65,7,0.7600,0.7571,0.9408
48,syn_wal_65_to_dp_wal_65,8,0.7600,0.7194,0.9623
49,syn_wal_65_to_dp_wal_65,9,0.7750,0.7738,0.9520
50,syn_wal_66_to_dp_wal_66,0,0.6200,0.5405,0.8990
51,syn_wal_66_to_dp_wal_66,1,0.5750,0.5103,0.8520
52,syn_wal_66_to_dp_wal_66,2,0.5400,0.4881,0.8493
53,syn_wal_66_to_dp_wal_66,3,0.5450,0.4937,0.8636
54,syn_wal_66_to_dp_wal_66,4,0.5300,0.4613,0.8646
55,syn_wal_66_to_dp_wal_66,5,0.5700,0.5027,0.8332
56,syn_wal_66_to_dp_wal_66,6,0.6100,0.5479,0.8804
57,syn_wal_66_to_dp_wal_66,7,0.6400,0.6177,0.8876
58,syn_wal_66_to_dp_wal_66,8,0.6150,0.5453,0.8863
59,syn_wal_66_to_dp_wal_66,9,0.5850,0.5396,0.8680
60,syn_wal_67_to_dp_wal_67,0,0.4800,0.4420,0.7825
61,syn_wal_67_to_dp_wal_67,1,0.4950,0.4542,0.7722
62,syn_wal_67_to_dp_wal_67,2,0.4850,0.4497,0.7823
63,syn_wal_67_to_dp_wal_67,3,0.5250,0.5281,0.7662
64,syn_wal_67_to_dp_wal_67,4,0.4850,0.4626,0.7654
65,syn_wal_67_to_dp_wal_67,5,0.4800,0.4498,0.7722
66,syn_wal_67_to_dp_wal_67,6,0.4300,0.3850,0.7318
67,syn_wal_67_to_dp_wal_67,7,0.4700,0.4520,0.7626
68,syn_wal_67_to_dp_wal_67,8,0.4200,0.4047,0.7210
69,syn_wal_67_to_dp_wal_67,9,0.4800,0.4575,0.7883
70,syn_wal_68_to_dp_wal_68,0,0.6900,0.6004,0.9637
71,syn_wal_68_to_dp_wal_68,1,0.7050,0.6263,0.8666
72,syn_wal_68_to_dp_wal_68,2,0.7300,0.6346,0.9605
73,syn_wal_68_to_dp_wal_68,3,0.7000,0.6442,0.9296
74,syn_wal_68_to_dp_wal_68,4,0.7250,0.6576,0.9619
75,syn_wal_68_to_dp_wal_68,5,0.7200,0.6228,0.9170
76,syn_wal_68_to_dp_wal_68,6,0.7400,0.6570,0.9503
77,syn_wal_68_to_dp_wal_68,7,0.7250,0.6304,0.8913
78,syn_wal_68_to_dp_wal_68,8,0.7450,0.7010,0.9220
79,syn_wal_68_to_dp_wal_68,9,0.7250,0.6310,0.9616
80,syn_wal_69_to_dp_wal_69,0,0.6250,0.5722,0.9041
81,syn_wal_69_to_dp_wal_69,1,0.6500,0.5931,0.8771
82,syn_wal_69_to_dp_wal_69,2,0.6700,0.5942,0.9212
83,syn_wal_69_to_dp_wal_69,3,0.6300,0.5685,0.8600
84,syn_wal_69_to_dp_wal_69,4,0.5800,0.5306,0.8767
85,syn_wal_69_to_dp_wal_69,5,0.6400,0.5721,0.8967
86,syn_wal_69_to_dp_wal_69,6,0.6800,0.6064,0.9035
87,syn_wal_69_to_dp_wal_69,7,0.6450,0.5992,0.8948
88,syn_wal_69_to_dp_wal_69,8,0.6100,0.5492,0.9030
89,syn_wal_69_to_dp_wal_69,9,0.6600,0.5790,0.9148
90,syn_wal_70_to_dp_wal_70,0,0.4150,0.3396,0.7648
91,syn_wal_70_to_dp_wal_70,1,0.4600,0.4046,0.7924
92,syn_wal_70_to_dp_wal_70,2,0.3750,0.3007,0.7807
