,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_wal_61_to_dp_wal_61,0,0.0025,2.9743,2.1622
1,syn_wal_61_to_dp_wal_61,1,0.0198,2.5198,2.2173
2,syn_wal_61_to_dp_wal_61,2,0.0065,1.5389,1.0170
3,syn_wal_61_to_dp_wal_61,3,0.0147,3.5344,3.5659
4,syn_wal_61_to_dp_wal_61,4,0.0013,1.3761,1.5342
5,syn_wal_61_to_dp_wal_61,5,0.0082,3.7683,3.4418
6,syn_wal_61_to_dp_wal_61,6,0.0016,1.1676,1.3385
7,syn_wal_61_to_dp_wal_61,7,0.0010,1.4594,1.5721
8,syn_wal_61_to_dp_wal_61,8,0.0078,2.3598,2.5240
9,syn_wal_61_to_dp_wal_61,9,0.0306,2.8906,2.6393
10,syn_wal_62_to_dp_wal_62,0,0.0006,1.7007,2.4970
11,syn_wal_62_to_dp_wal_62,1,0.0007,2.3449,2.4743
12,syn_wal_62_to_dp_wal_62,2,0.0014,2.9070,3.1049
13,syn_wal_62_to_dp_wal_62,3,0.0010,2.5934,2.6569
14,syn_wal_62_to_dp_wal_62,4,0.0015,3.1894,3.1586
15,syn_wal_62_to_dp_wal_62,5,0.0013,2.8811,2.4622
16,syn_wal_62_to_dp_wal_62,6,0.0007,2.7647,2.3937
17,syn_wal_62_to_dp_wal_62,7,0.0005,2.6854,2.6698
18,syn_wal_62_to_dp_wal_62,8,0.0007,3.4804,2.5992
19,syn_wal_62_to_dp_wal_62,9,0.0009,2.3307,2.5626
20,syn_wal_63_to_dp_wal_63,0,0.0063,4.6908,3.9660
21,syn_wal_63_to_dp_wal_63,1,0.0014,2.8569,3.0111
22,syn_wal_63_to_dp_wal_63,2,0.0015,3.4316,3.3420
23,syn_wal_63_to_dp_wal_63,3,0.0022,3.9681,3.7176
24,syn_wal_63_to_dp_wal_63,4,0.0338,2.9464,1.8874
25,syn_wal_63_to_dp_wal_63,5,0.2017,1.6681,1.0026
26,syn_wal_63_to_dp_wal_63,6,0.0026,3.4774,3.1366
27,syn_wal_63_to_dp_wal_63,7,0.0288,2.1138,1.6328
28,syn_wal_63_to_dp_wal_63,8,0.0013,3.9003,3.3985
29,syn_wal_63_to_dp_wal_63,9,0.0012,4.5569,3.8715
30,syn_wal_64_to_dp_wal_64,0,0.0012,2.6504,3.7047
31,syn_wal_64_to_dp_wal_64,1,0.0007,3.6241,3.9745
32,syn_wal_64_to_dp_wal_64,2,0.0013,3.0400,3.6829
33,syn_wal_64_to_dp_wal_64,3,0.0024,3.5912,3.8870
34,syn_wal_64_to_dp_wal_64,4,0.0025,3.9411,3.6644
