,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.4500,0.3221,0.6992
1,df_to_dp_wal_7,0,0.3500,0.2240,0.8575
2,df_to_dp_wal_8,0,0.5000,0.3663,0.7758
3,df_to_dp_wal_9,0,0.4500,0.3714,0.6517
4,df_to_dp_wal_10,0,0.5000,0.3750,0.9458
5,df_to_dp_wal_11,0,0.4250,0.3219,0.8308
6,df_to_dp_wal_12,0,0.5000,0.3987,0.7975
7,df_to_dp_wal_13,0,0.3500,0.2339,0.7683
8,df_to_dp_wal_14,0,0.4500,0.3375,0.7583
9,df_to_dp_wal_15,0,0.2000,0.0833,0.5175
10,df_to_dp_wal_16,0,0.5000,0.3337,0.7342
11,df_to_dp_wal_17,0,0.6500,0.5960,0.8125
12,df_to_dp_wal_18,0,0.5250,0.4376,0.7700
13,df_to_dp_wal_19,0,0.4250,0.3900,0.8158
14,df_to_dp_wal_20,0,0.5000,0.4479,0.8825
15,df_to_dp_wal_21,0,0.2500,0.1087,0.6825
16,df_to_dp_wal_22,0,0.3250,0.2167,0.6900
17,df_to_dp_wal_23,0,0.7500,0.6667,0.9158
18,df_to_dp_wal_24,0,0.3500,0.2540,0.7233
19,df_to_dp_wal_25,0,0.2000,0.0976,0.5992
20,df_to_dp_wal_26,0,0.2500,0.1250,0.8225
21,df_to_dp_wal_27,0,0.3500,0.2444,0.7696
22,df_to_dp_wal_28,0,0.3000,0.1801,0.7067
23,df_to_dp_wal_29,0,0.6000,0.5720,0.7092
24,df_to_dp_wal_30,0,0.2500,0.1667,0.7246
25,df_to_dp_wal_31,0,0.4000,0.3187,0.8358
26,df_to_dp_wal_32,0,0.3000,0.1829,0.6158
27,df_to_dp_wal_33,0,0.5000,0.3952,0.8117
28,df_to_dp_wal_34,0,0.5750,0.5229,0.8042
29,df_to_dp_wal_35,0,0.5250,0.4237,0.8658
30,df_to_dp_wal_36,0,0.4250,0.3468,0.8500
31,df_to_dp_wal_37,0,0.2750,0.1566,0.8267
32,df_to_dp_wal_38,0,0.5000,0.3725,0.8658
33,df_to_dp_wal_39,0,0.4250,0.2811,0.8017
34,df_to_dp_wal_40,0,0.5250,0.4357,0.7542
35,df_to_dp_wal_41,0,0.4250,0.3873,0.7283
36,df_to_dp_wal_42,0,0.3500,0.2978,0.7867
37,df_to_dp_wal_43,0,0.4000,0.3472,0.6467
38,df_to_dp_wal_44,0,0.2500,0.1042,0.6892
39,df_to_dp_wal_45,0,0.2250,0.1890,0.5400
40,df_to_dp_wal_46,0,0.5000,0.3598,0.8292
41,df_to_dp_wal_47,0,0.2500,0.1000,0.7442
42,df_to_dp_wal_48,0,0.2500,0.1136,0.7475
43,df_to_dp_wal_49,0,0.2500,0.1190,0.6600
44,df_to_dp_wal_50,0,0.5250,0.4510,0.8067
45,df_to_dp_wal_51,0,0.5250,0.4237,0.7400
46,df_to_dp_wal_52,0,0.4500,0.3619,0.8000
47,df_to_dp_wal_53,0,0.4750,0.3308,0.8958
48,df_to_dp_wal_54,0,0.4750,0.3566,0.8471
49,df_to_dp_wal_55,0,0.5500,0.4848,0.8958
50,df_to_dp_wal_56,0,0.5000,0.4306,0.8933
51,df_to_dp_wal_57,0,0.3500,0.2367,0.6908
52,df_to_dp_wal_58,0,0.1250,0.1088,0.4583
53,df_to_dp_wal_59,0,0.3750,0.3393,0.7892
54,df_to_dp_wal_60,0,0.6500,0.5943,0.8350
55,df_to_dp_wal_61,0,0.2500,0.1087,0.6083
56,df_to_dp_wal_62,0,0.2750,0.1520,0.8533
57,df_to_dp_wal_63,0,0.3750,0.3097,0.8475
58,df_to_dp_wal_64,0,0.4750,0.3361,0.7337
59,df_to_dp_wal_65,0,0.2703,0.1282,0.5880
60,df_to_dp_wal_66,0,0.5000,0.4586,0.7250
61,mean,-,0.4081,0.3104,0.7602
62,std,-,0.1292,0.1428,0.1009
