,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,7.1479,14.0318,9.0033
1,df_to_dp_wal_7,0,5.8935,4.4579,3.5494
2,df_to_dp_wal_8,0,8.5040,7.2841,4.4476
3,df_to_dp_wal_9,0,3.2725,3.5398,3.2756
4,df_to_dp_wal_10,0,4.4186,3.0460,1.9342
5,df_to_dp_wal_11,0,3.6044,3.6820,2.4932
6,df_to_dp_wal_12,0,15.3287,5.6489,3.5567
7,df_to_dp_wal_13,0,10.4494,4.7770,4.2886
8,df_to_dp_wal_14,0,8.4200,4.5073,2.6644
9,df_to_dp_wal_15,0,20.9035,15.5977,18.8280
10,df_to_dp_wal_16,0,14.5568,4.9824,3.1564
11,df_to_dp_wal_17,0,3.7531,3.5295,2.1842
12,df_to_dp_wal_18,0,0.9816,2.5211,1.6334
13,df_to_dp_wal_19,0,3.2034,1.9508,2.8800
14,df_to_dp_wal_20,0,3.3285,1.2649,1.0491
15,df_to_dp_wal_21,0,18.4639,12.6605,14.3676
16,df_to_dp_wal_22,0,58.0871,29.5825,25.3473
17,df_to_dp_wal_23,0,1.2093,1.4105,0.9027
18,df_to_dp_wal_24,0,5.5318,6.9986,5.2882
19,df_to_dp_wal_25,0,34.3162,14.5597,18.6072
20,df_to_dp_wal_26,0,9.4152,4.7835,6.3360
21,df_to_dp_wal_27,0,6.6936,12.3209,16.3719
22,df_to_dp_wal_28,0,6.0483,8.1374,8.8026
23,df_to_dp_wal_29,0,39.5654,22.3952,26.6268
24,df_to_dp_wal_30,0,3.0643,13.2151,21.1099
25,df_to_dp_wal_31,0,7.2255,3.7803,3.2270
26,df_to_dp_wal_32,0,39.3753,33.2246,36.3315
27,df_to_dp_wal_33,0,1.2177,2.2737,5.4011
28,df_to_dp_wal_34,0,20.9987,6.6950,6.7265
29,df_to_dp_wal_35,0,6.3464,4.5435,2.3702
30,df_to_dp_wal_36,0,2.0544,1.7521,1.6793
31,df_to_dp_wal_37,0,2.9508,4.2586,3.5257
32,df_to_dp_wal_38,0,3.3651,5.0809,4.5978
33,df_to_dp_wal_39,0,3.7021,6.1750,4.0425
34,df_to_dp_wal_40,0,1.6625,1.7912,1.7797
35,df_to_dp_wal_41,0,1.9146,1.9238,1.9259
36,df_to_dp_wal_42,0,4.0725,4.2216,2.9066
37,df_to_dp_wal_43,0,1.9325,2.5096,1.9959
38,df_to_dp_wal_44,0,25.0637,18.5971,17.9246
39,df_to_dp_wal_45,0,1.8592,16.6821,28.5538
40,df_to_dp_wal_46,0,3.5508,3.8108,2.4197
41,df_to_dp_wal_47,0,7.7452,11.8250,15.3953
42,df_to_dp_wal_48,0,7.4626,6.1171,5.9379
43,df_to_dp_wal_49,0,26.4024,20.0856,22.3555
44,df_to_dp_wal_50,0,2.4088,2.6492,2.0979
45,df_to_dp_wal_51,0,83.7439,4.8468,6.2160
46,df_to_dp_wal_52,0,5.3072,5.9187,3.9966
47,df_to_dp_wal_53,0,7.4746,3.1742,2.1441
48,df_to_dp_wal_54,0,3.4226,1.3269,5.5668
49,df_to_dp_wal_55,0,6.4811,1.6598,1.2381
50,df_to_dp_wal_56,0,2.5088,3.1266,3.0441
51,df_to_dp_wal_57,0,2.6317,21.9696,23.3473
52,df_to_dp_wal_58,0,3.1344,10.0092,9.8289
53,df_to_dp_wal_59,0,5.2233,3.9563,3.1951
54,df_to_dp_wal_60,0,2.8573,2.2397,3.7458
55,df_to_dp_wal_61,0,1.7367,7.7608,16.4497
56,df_to_dp_wal_62,0,5.6974,4.9001,5.5205
57,df_to_dp_wal_63,0,4.3011,1.9071,1.4249
58,df_to_dp_wal_64,0,13.7668,6.4330,11.0777
59,df_to_dp_wal_65,0,7.5895,46.8970,33.5236
60,df_to_dp_wal_66,0,2.6303,2.1422,1.8030
61,mean,-,10.2619,8.0844,8.3938
62,std,-,14.5359,8.6141,8.8893
