,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.3750,0.3333,0.6717
1,df_to_dp_wal_7,0,0.7750,0.7599,0.8983
2,df_to_dp_wal_8,0,0.5750,0.5745,0.8600
3,df_to_dp_wal_9,0,0.6000,0.5317,0.7600
4,df_to_dp_wal_10,0,0.7250,0.6331,0.9067
5,df_to_dp_wal_11,0,0.6500,0.5550,0.9033
6,df_to_dp_wal_12,0,0.5750,0.5743,0.8067
7,df_to_dp_wal_13,0,0.6750,0.6423,0.9150
8,df_to_dp_wal_14,0,0.4500,0.3434,0.7583
9,df_to_dp_wal_15,0,0.5500,0.5237,0.7917
10,df_to_dp_wal_16,0,0.5250,0.4151,0.8013
11,df_to_dp_wal_17,0,0.4250,0.3930,0.6700
12,df_to_dp_wal_18,0,0.5500,0.4821,0.8938
13,df_to_dp_wal_19,0,0.2500,0.1250,0.6842
14,df_to_dp_wal_20,0,0.4000,0.3065,0.8483
15,df_to_dp_wal_21,0,0.3750,0.2565,0.6108
16,df_to_dp_wal_22,0,0.4250,0.2952,0.7442
17,df_to_dp_wal_23,0,0.4500,0.4280,0.6879
18,df_to_dp_wal_24,0,0.6000,0.5889,0.8450
19,df_to_dp_wal_25,0,0.3000,0.2361,0.7108
20,df_to_dp_wal_26,0,0.5000,0.4167,0.8283
21,df_to_dp_wal_27,0,0.4500,0.4312,0.8108
22,df_to_dp_wal_28,0,0.7500,0.7154,0.8150
23,df_to_dp_wal_29,0,0.2750,0.1736,0.6733
24,df_to_dp_wal_30,0,0.7250,0.7018,0.9525
25,df_to_dp_wal_31,0,0.5000,0.4616,0.7408
26,df_to_dp_wal_32,0,0.3000,0.1987,0.6350
27,df_to_dp_wal_33,0,0.3250,0.2776,0.7704
28,df_to_dp_wal_34,0,0.3750,0.2856,0.6421
29,df_to_dp_wal_35,0,0.5250,0.4827,0.7679
30,df_to_dp_wal_36,0,0.5000,0.3937,0.7000
31,df_to_dp_wal_37,0,0.5500,0.4972,0.8867
32,df_to_dp_wal_38,0,0.6750,0.6022,0.8742
33,df_to_dp_wal_39,0,0.7250,0.6416,0.8242
34,df_to_dp_wal_40,0,0.5250,0.4237,0.7721
35,df_to_dp_wal_41,0,0.6000,0.5030,0.8525
36,df_to_dp_wal_42,0,0.6750,0.6303,0.8817
37,df_to_dp_wal_43,0,0.4750,0.3552,0.7450
38,df_to_dp_wal_44,0,0.3750,0.3095,0.6862
39,df_to_dp_wal_45,0,0.6250,0.6016,0.8517
40,df_to_dp_wal_46,0,0.6750,0.5951,0.6950
41,df_to_dp_wal_47,0,0.5500,0.5533,0.7908
42,df_to_dp_wal_48,0,0.6000,0.5250,0.8767
43,df_to_dp_wal_49,0,0.4750,0.4057,0.8025
44,df_to_dp_wal_50,0,0.4500,0.3889,0.6263
45,df_to_dp_wal_51,0,0.3750,0.3308,0.6842
46,df_to_dp_wal_52,0,0.7000,0.6816,0.7542
47,df_to_dp_wal_53,0,0.5250,0.4665,0.7975
48,df_to_dp_wal_54,0,0.5250,0.5145,0.7783
49,df_to_dp_wal_55,0,0.6750,0.6121,0.8300
50,df_to_dp_wal_56,0,0.2250,0.2219,0.5542
51,df_to_dp_wal_57,0,0.4000,0.3347,0.7725
52,df_to_dp_wal_58,0,0.5000,0.4484,0.8533
53,df_to_dp_wal_59,0,0.7250,0.6481,0.8258
54,df_to_dp_wal_60,0,0.4250,0.4016,0.8200
55,df_to_dp_wal_61,0,0.5250,0.4805,0.7758
56,df_to_dp_wal_62,0,0.4000,0.3190,0.8712
57,df_to_dp_wal_63,0,0.5000,0.3971,0.6588
58,df_to_dp_wal_64,0,0.4250,0.3438,0.8133
59,df_to_dp_wal_65,0,0.0541,0.0833,0.5500
60,df_to_dp_wal_66,0,0.5750,0.5053,0.8117
61,mean,-,0.5083,0.4485,0.7774
62,std,-,0.1460,0.1532,0.0920
