,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,0.0455,23.3985,18.7801
1,df_to_dp_wal_7,0,1.8571,2.2546,1.1358
2,df_to_dp_wal_8,0,7.3144,2.0962,3.2647
3,df_to_dp_wal_9,0,0.0608,17.4055,33.2332
4,df_to_dp_wal_10,0,1.4177,4.0185,8.5859
5,df_to_dp_wal_11,0,3.7815,6.6064,5.0035
6,df_to_dp_wal_12,0,0.2805,4.1882,10.6871
7,df_to_dp_wal_13,0,0.5826,3.7427,3.4191
8,df_to_dp_wal_14,0,10.6635,12.7121,22.4345
9,df_to_dp_wal_15,0,0.0643,2.8871,2.6735
10,df_to_dp_wal_16,0,1.6843,5.2898,10.4772
11,df_to_dp_wal_17,0,0.0444,6.5062,14.5369
12,df_to_dp_wal_18,0,8.8167,5.9598,5.5376
13,df_to_dp_wal_19,0,4.6846,12.8374,15.1852
14,df_to_dp_wal_20,0,1.3191,8.6850,15.6683
15,df_to_dp_wal_21,0,3.3551,7.7515,9.4254
16,df_to_dp_wal_22,0,72.5711,14.9922,15.9283
17,df_to_dp_wal_23,0,0.7494,10.4678,24.1199
18,df_to_dp_wal_24,0,0.5536,3.4428,4.3684
19,df_to_dp_wal_25,0,29.7649,21.2071,14.1545
20,df_to_dp_wal_26,0,20.5982,10.0038,5.8758
21,df_to_dp_wal_27,0,1.1679,3.2454,5.7366
22,df_to_dp_wal_28,0,1.8755,6.9665,5.2124
23,df_to_dp_wal_29,0,74.9052,29.3560,40.4364
24,df_to_dp_wal_30,0,0.4413,1.5790,1.3664
25,df_to_dp_wal_31,0,1.1827,5.5955,6.9027
26,df_to_dp_wal_32,0,62.7120,33.6039,44.0752
27,df_to_dp_wal_33,0,0.8451,12.0184,9.1232
28,df_to_dp_wal_34,0,66.0789,17.3273,21.2379
29,df_to_dp_wal_35,0,1.3029,6.2979,11.6094
30,df_to_dp_wal_36,0,0.9227,6.3327,7.6491
31,df_to_dp_wal_37,0,7.4459,6.1010,9.8056
32,df_to_dp_wal_38,0,0.1196,5.7953,12.4950
33,df_to_dp_wal_39,0,0.4087,6.0741,12.8510
34,df_to_dp_wal_40,0,4.2292,6.2630,4.0540
35,df_to_dp_wal_41,0,0.2120,6.0597,11.3828
36,df_to_dp_wal_42,0,0.3067,2.7182,2.0949
37,df_to_dp_wal_43,0,0.2360,8.6891,15.8473
38,df_to_dp_wal_44,0,23.1260,19.0907,17.6744
39,df_to_dp_wal_45,0,4.1378,8.0598,7.9062
40,df_to_dp_wal_46,0,0.1180,12.2204,29.3581
41,df_to_dp_wal_47,0,0.1615,3.2773,4.5599
42,df_to_dp_wal_48,0,0.2105,3.4522,7.6563
43,df_to_dp_wal_49,0,12.4549,5.2230,8.2306
44,df_to_dp_wal_50,0,0.2596,9.7879,16.5050
45,df_to_dp_wal_51,0,60.7603,23.1563,14.9008
46,df_to_dp_wal_52,0,0.7619,4.3809,5.3151
47,df_to_dp_wal_53,0,3.8697,2.5821,1.4841
48,df_to_dp_wal_54,0,2.1753,6.9792,7.6600
49,df_to_dp_wal_55,0,0.2606,5.4873,11.6871
50,df_to_dp_wal_56,0,0.0865,8.0512,6.2677
51,df_to_dp_wal_57,0,6.6941,8.7691,11.9604
52,df_to_dp_wal_58,0,2.3874,6.4381,5.1672
53,df_to_dp_wal_59,0,0.4858,5.0284,10.3469
54,df_to_dp_wal_60,0,1.1071,7.5640,10.3506
55,df_to_dp_wal_61,0,0.5406,4.1282,7.1420
56,df_to_dp_wal_62,0,4.4280,4.6352,5.9912
57,df_to_dp_wal_63,0,0.7119,11.0250,19.3898
58,df_to_dp_wal_64,0,109.7646,5.7340,2.9574
59,df_to_dp_wal_65,0,5.4748,26.5707,26.1511
60,df_to_dp_wal_66,0,0.1772,3.7129,6.7941
61,mean,-,10.4058,8.9480,11.6694
62,std,-,22.6712,7.0213,9.0061
