,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.4250,0.2973,0.7433
1,df_to_dp_wal_7,0,0.3750,0.2567,0.7508
2,df_to_dp_wal_8,0,0.5000,0.3750,0.7758
3,df_to_dp_wal_9,0,0.5000,0.3348,0.6992
4,df_to_dp_wal_10,0,0.5000,0.3750,0.9158
5,df_to_dp_wal_11,0,0.3500,0.3134,0.6500
6,df_to_dp_wal_12,0,0.5000,0.3858,0.7342
7,df_to_dp_wal_13,0,0.5000,0.3589,0.7242
8,df_to_dp_wal_14,0,0.5000,0.3525,0.7850
9,df_to_dp_wal_15,0,0.4750,0.3424,0.6192
10,df_to_dp_wal_16,0,0.5000,0.3525,0.7475
11,df_to_dp_wal_17,0,0.5000,0.3889,0.7875
12,df_to_dp_wal_18,0,0.5000,0.3589,0.7558
13,df_to_dp_wal_19,0,0.4000,0.3455,0.6950
14,df_to_dp_wal_20,0,0.5000,0.3367,0.8350
15,df_to_dp_wal_21,0,0.4500,0.3519,0.6925
16,df_to_dp_wal_22,0,0.3250,0.2167,0.7317
17,df_to_dp_wal_23,0,0.5000,0.3394,0.7150
18,df_to_dp_wal_24,0,0.3750,0.2982,0.6808
19,df_to_dp_wal_25,0,0.2000,0.1081,0.7025
20,df_to_dp_wal_26,0,0.3500,0.2817,0.8825
21,df_to_dp_wal_27,0,0.3000,0.2385,0.6658
22,df_to_dp_wal_28,0,0.4500,0.3393,0.7300
23,df_to_dp_wal_29,0,0.3750,0.2932,0.7842
24,df_to_dp_wal_30,0,0.2500,0.1613,0.6913
25,df_to_dp_wal_31,0,0.5000,0.3429,0.8858
26,df_to_dp_wal_32,0,0.3000,0.2341,0.6625
27,df_to_dp_wal_33,0,0.4500,0.3000,0.7225
28,df_to_dp_wal_34,0,0.4750,0.3989,0.7783
29,df_to_dp_wal_35,0,0.5000,0.3472,0.8725
30,df_to_dp_wal_36,0,0.3250,0.2832,0.7683
31,df_to_dp_wal_37,0,0.5000,0.3750,0.7308
32,df_to_dp_wal_38,0,0.4250,0.3130,0.7883
33,df_to_dp_wal_39,0,0.5000,0.3515,0.7850
34,df_to_dp_wal_40,0,0.2750,0.2192,0.7025
35,df_to_dp_wal_41,0,0.4250,0.3586,0.8258
36,df_to_dp_wal_42,0,0.3500,0.2508,0.7383
37,df_to_dp_wal_43,0,0.3750,0.2894,0.6783
38,df_to_dp_wal_44,0,0.2500,0.1250,0.8050
39,df_to_dp_wal_45,0,0.3250,0.2118,0.8133
40,df_to_dp_wal_46,0,0.4750,0.3596,0.7142
41,df_to_dp_wal_47,0,0.3500,0.2225,0.8008
42,df_to_dp_wal_48,0,0.3250,0.2305,0.7533
43,df_to_dp_wal_49,0,0.2500,0.1250,0.7492
44,df_to_dp_wal_50,0,0.4750,0.3690,0.6975
45,df_to_dp_wal_51,0,0.5250,0.4400,0.7800
46,df_to_dp_wal_52,0,0.4500,0.2991,0.8467
47,df_to_dp_wal_53,0,0.5250,0.3853,0.8642
48,df_to_dp_wal_54,0,0.3250,0.2821,0.7775
49,df_to_dp_wal_55,0,0.5000,0.3758,0.7808
50,df_to_dp_wal_56,0,0.4750,0.3167,0.8783
51,df_to_dp_wal_57,0,0.3500,0.2714,0.8233
52,df_to_dp_wal_58,0,0.2250,0.1289,0.5008
53,df_to_dp_wal_59,0,0.5000,0.3571,0.6867
54,df_to_dp_wal_60,0,0.3750,0.3307,0.7000
55,df_to_dp_wal_61,0,0.3000,0.1806,0.5512
56,df_to_dp_wal_62,0,0.6250,0.5333,0.9683
57,df_to_dp_wal_63,0,0.4750,0.3750,0.7850
58,df_to_dp_wal_64,0,0.5000,0.4107,0.8217
59,df_to_dp_wal_65,0,0.2703,0.1351,0.6000
60,df_to_dp_wal_66,0,0.3250,0.3200,0.6825
61,mean,-,0.4130,0.3058,0.7511
62,std,-,0.0955,0.0844,0.0839
