,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,2.1943,4.5373,3.0000
1,df_to_dp_wal_7,0,3.1885,2.1620,2.0440
2,df_to_dp_wal_8,0,4.4320,3.5845,2.1630
3,df_to_dp_wal_9,0,3.1249,3.2710,2.2907
4,df_to_dp_wal_10,0,5.2216,2.9833,1.8040
5,df_to_dp_wal_11,0,2.2941,2.6270,2.7381
6,df_to_dp_wal_12,0,2.8151,2.0299,1.5183
7,df_to_dp_wal_13,0,2.8683,2.1588,1.7826
8,df_to_dp_wal_14,0,2.4988,2.9379,1.7966
9,df_to_dp_wal_15,0,2.2353,3.4758,2.3713
10,df_to_dp_wal_16,0,3.5597,3.4426,2.1522
11,df_to_dp_wal_17,0,2.6142,1.8809,1.3716
12,df_to_dp_wal_18,0,3.3220,3.8490,2.4813
13,df_to_dp_wal_19,0,2.7772,2.9621,2.6146
14,df_to_dp_wal_20,0,2.6170,1.9567,1.2165
15,df_to_dp_wal_21,0,3.9884,5.5296,4.1290
16,df_to_dp_wal_22,0,17.2743,9.7733,6.5874
17,df_to_dp_wal_23,0,2.0501,2.9846,1.9244
18,df_to_dp_wal_24,0,1.9588,2.6125,2.1768
19,df_to_dp_wal_25,0,13.9118,7.9590,11.7986
20,df_to_dp_wal_26,0,9.1944,2.5264,3.3903
21,df_to_dp_wal_27,0,2.9313,3.9464,4.8732
22,df_to_dp_wal_28,0,2.6430,3.6482,3.3209
23,df_to_dp_wal_29,0,14.4152,6.3805,7.1755
24,df_to_dp_wal_30,0,2.8235,7.5361,10.6013
25,df_to_dp_wal_31,0,3.2241,3.0841,1.9364
26,df_to_dp_wal_32,0,7.4470,10.3088,8.4666
27,df_to_dp_wal_33,0,2.0626,3.8856,3.0168
28,df_to_dp_wal_34,0,12.9885,3.4323,4.2224
29,df_to_dp_wal_35,0,3.4478,2.3549,1.3968
30,df_to_dp_wal_36,0,2.9708,1.3970,1.4075
31,df_to_dp_wal_37,0,3.9596,2.7481,1.7075
32,df_to_dp_wal_38,0,2.8166,1.8644,1.3965
33,df_to_dp_wal_39,0,1.6761,3.0378,1.8661
34,df_to_dp_wal_40,0,3.1283,1.9069,1.5156
35,df_to_dp_wal_41,0,1.2977,1.7438,1.4607
36,df_to_dp_wal_42,0,2.5717,4.9964,3.7703
37,df_to_dp_wal_43,0,2.1209,2.3880,1.6883
38,df_to_dp_wal_44,0,14.7028,8.2004,7.1268
39,df_to_dp_wal_45,0,2.6651,4.5536,5.5031
40,df_to_dp_wal_46,0,1.7639,2.1816,1.5177
41,df_to_dp_wal_47,0,1.9458,1.8539,2.1250
42,df_to_dp_wal_48,0,1.8091,2.1203,1.9136
43,df_to_dp_wal_49,0,10.1336,7.0813,6.8145
44,df_to_dp_wal_50,0,1.8445,2.8039,1.7931
45,df_to_dp_wal_51,0,12.3956,1.9508,1.8122
46,df_to_dp_wal_52,0,2.8190,2.6953,1.8684
47,df_to_dp_wal_53,0,4.5554,0.9581,0.7759
48,df_to_dp_wal_54,0,2.1027,1.5983,2.5995
49,df_to_dp_wal_55,0,3.0504,1.9182,1.3079
50,df_to_dp_wal_56,0,2.3931,2.9727,1.9275
51,df_to_dp_wal_57,0,2.2855,6.6331,5.5735
52,df_to_dp_wal_58,0,1.4836,4.1189,3.9205
53,df_to_dp_wal_59,0,1.6010,3.0804,1.9829
54,df_to_dp_wal_60,0,1.7252,2.0033,1.6972
55,df_to_dp_wal_61,0,2.2722,4.1294,6.7367
56,df_to_dp_wal_62,0,2.7960,1.0534,0.6582
57,df_to_dp_wal_63,0,2.3645,2.3451,1.5210
58,df_to_dp_wal_64,0,13.6355,2.3083,4.3231
59,df_to_dp_wal_65,0,4.9860,10.1368,7.8804
60,df_to_dp_wal_66,0,2.9372,1.7244,1.8522
61,mean,-,4.3432,3.5791,3.1870
62,std,-,3.9399,2.2216,2.4165
