,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.4500,0.4396,0.5892
1,df_to_dp_wal_7,0,0.6000,0.6007,0.8300
2,df_to_dp_wal_8,0,0.7750,0.7667,0.9342
3,df_to_dp_wal_9,0,0.7250,0.6433,0.7858
4,df_to_dp_wal_10,0,0.7250,0.6331,0.9317
5,df_to_dp_wal_11,0,0.6750,0.5897,0.8708
6,df_to_dp_wal_12,0,0.7250,0.7067,0.8500
7,df_to_dp_wal_13,0,0.7500,0.7119,0.9750
8,df_to_dp_wal_14,0,0.4500,0.3611,0.7425
9,df_to_dp_wal_15,0,0.7250,0.6776,0.9292
10,df_to_dp_wal_16,0,0.7250,0.6380,0.8708
11,df_to_dp_wal_17,0,0.5250,0.4198,0.6850
12,df_to_dp_wal_18,0,0.5500,0.4821,0.9517
13,df_to_dp_wal_19,0,0.5000,0.4167,0.7850
14,df_to_dp_wal_20,0,0.6250,0.5403,0.9408
15,df_to_dp_wal_21,0,0.4250,0.3847,0.7558
16,df_to_dp_wal_22,0,0.4500,0.3328,0.8050
17,df_to_dp_wal_23,0,0.6000,0.6109,0.7808
18,df_to_dp_wal_24,0,0.5750,0.5256,0.7950
19,df_to_dp_wal_25,0,0.2500,0.1411,0.7250
20,df_to_dp_wal_26,0,0.5000,0.4167,0.8508
21,df_to_dp_wal_27,0,0.6750,0.6651,0.9383
22,df_to_dp_wal_28,0,0.7500,0.7107,0.8267
23,df_to_dp_wal_29,0,0.2750,0.1736,0.6708
24,df_to_dp_wal_30,0,0.8250,0.8006,1.0000
25,df_to_dp_wal_31,0,0.5250,0.5187,0.7975
26,df_to_dp_wal_32,0,0.2750,0.1500,0.6367
27,df_to_dp_wal_33,0,0.6000,0.5917,0.9588
28,df_to_dp_wal_34,0,0.3250,0.2184,0.6892
29,df_to_dp_wal_35,0,0.7000,0.6201,0.8917
30,df_to_dp_wal_36,0,0.6000,0.5192,0.7767
31,df_to_dp_wal_37,0,0.7000,0.6463,0.9317
32,df_to_dp_wal_38,0,0.7000,0.6014,0.8958
33,df_to_dp_wal_39,0,0.7500,0.6667,0.8850
34,df_to_dp_wal_40,0,0.5250,0.4485,0.8117
35,df_to_dp_wal_41,0,0.7000,0.6285,0.8008
36,df_to_dp_wal_42,0,0.6000,0.5423,0.8350
37,df_to_dp_wal_43,0,0.5500,0.4698,0.8383
38,df_to_dp_wal_44,0,0.2750,0.1737,0.8408
39,df_to_dp_wal_45,0,0.5750,0.5307,0.8475
40,df_to_dp_wal_46,0,0.5000,0.3750,0.7008
41,df_to_dp_wal_47,0,0.6500,0.5539,0.8667
42,df_to_dp_wal_48,0,0.5750,0.5005,0.7442
43,df_to_dp_wal_49,0,0.4000,0.3229,0.6992
44,df_to_dp_wal_50,0,0.5250,0.4447,0.7800
45,df_to_dp_wal_51,0,0.4000,0.3567,0.7542
46,df_to_dp_wal_52,0,0.7000,0.6671,0.8333
47,df_to_dp_wal_53,0,0.5750,0.4773,0.8417
48,df_to_dp_wal_54,0,0.7000,0.6725,0.8067
49,df_to_dp_wal_55,0,0.6500,0.5530,0.9017
50,df_to_dp_wal_56,0,0.4500,0.3553,0.5967
51,df_to_dp_wal_57,0,0.5750,0.4971,0.8367
52,df_to_dp_wal_58,0,0.5750,0.5216,0.8825
53,df_to_dp_wal_59,0,0.6000,0.5247,0.8725
54,df_to_dp_wal_60,0,0.6000,0.5858,0.8167
55,df_to_dp_wal_61,0,0.6750,0.6583,0.8850
56,df_to_dp_wal_62,0,0.6750,0.5983,0.8225
57,df_to_dp_wal_63,0,0.4750,0.3674,0.7742
58,df_to_dp_wal_64,0,0.2500,0.1000,0.8167
59,df_to_dp_wal_65,0,0.3243,0.2378,0.6722
60,df_to_dp_wal_66,0,0.5000,0.3750,0.6592
61,mean,-,0.5676,0.4993,0.8167
62,std,-,0.1445,0.1652,0.0937
