,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,0.0435,9.5395,8.8957
1,df_to_dp_wal_7,0,0.0913,2.6936,2.6736
2,df_to_dp_wal_8,0,0.2071,0.3975,1.9761
3,df_to_dp_wal_9,0,0.0373,3.6669,7.5512
4,df_to_dp_wal_10,0,0.0556,2.0187,4.2386
5,df_to_dp_wal_11,0,0.0347,3.4812,3.0350
6,df_to_dp_wal_12,0,0.0117,2.7163,5.7012
7,df_to_dp_wal_13,0,0.0747,1.8840,2.2534
8,df_to_dp_wal_14,0,5.8321,5.0962,6.0721
9,df_to_dp_wal_15,0,0.0136,1.3701,1.0861
10,df_to_dp_wal_16,0,0.1672,2.8532,6.3060
11,df_to_dp_wal_17,0,0.0633,4.8733,7.5188
12,df_to_dp_wal_18,0,4.1458,3.7740,3.2792
13,df_to_dp_wal_19,0,2.7868,6.2834,4.2102
14,df_to_dp_wal_20,0,0.0748,2.8396,5.6448
15,df_to_dp_wal_21,0,6.1428,6.0781,7.6939
16,df_to_dp_wal_22,0,19.6470,5.4500,5.6326
17,df_to_dp_wal_23,0,0.0799,2.0763,4.8680
18,df_to_dp_wal_24,0,0.0621,2.6466,2.2183
19,df_to_dp_wal_25,0,14.4872,12.1353,9.2799
20,df_to_dp_wal_26,0,5.5526,10.0599,5.9484
21,df_to_dp_wal_27,0,0.0758,0.9064,0.6791
22,df_to_dp_wal_28,0,0.0226,3.3376,2.4637
23,df_to_dp_wal_29,0,16.7867,11.1760,12.3601
24,df_to_dp_wal_30,0,0.1953,0.4568,0.2339
25,df_to_dp_wal_31,0,0.0428,2.9169,2.3239
26,df_to_dp_wal_32,0,11.7299,15.4906,15.8851
27,df_to_dp_wal_33,0,0.1469,3.6118,2.4668
28,df_to_dp_wal_34,0,17.7199,6.7918,7.6469
29,df_to_dp_wal_35,0,0.0417,2.5094,5.0895
30,df_to_dp_wal_36,0,0.1036,3.4894,3.8390
31,df_to_dp_wal_37,0,2.6699,2.6726,4.4504
32,df_to_dp_wal_38,0,0.0872,2.2235,4.8909
33,df_to_dp_wal_39,0,0.0728,3.1176,6.5747
34,df_to_dp_wal_40,0,0.2499,3.4876,2.4401
35,df_to_dp_wal_41,0,0.0094,3.2273,6.5327
36,df_to_dp_wal_42,0,0.1209,4.9034,3.1075
37,df_to_dp_wal_43,0,0.0181,2.6568,4.2068
38,df_to_dp_wal_44,0,21.5193,9.2990,12.9861
39,df_to_dp_wal_45,0,0.4311,4.4760,3.9634
40,df_to_dp_wal_46,0,0.0140,3.7753,6.5955
41,df_to_dp_wal_47,0,0.1438,2.6347,3.1329
42,df_to_dp_wal_48,0,0.0193,4.0960,8.0272
43,df_to_dp_wal_49,0,9.3092,7.1886,5.1150
44,df_to_dp_wal_50,0,0.0901,3.4954,6.2831
45,df_to_dp_wal_51,0,20.1075,6.5524,4.1474
46,df_to_dp_wal_52,0,0.0972,2.1885,2.9003
47,df_to_dp_wal_53,0,0.0946,2.5612,2.0885
48,df_to_dp_wal_54,0,0.5687,4.4100,5.3749
49,df_to_dp_wal_55,0,0.0454,2.5007,4.8237
50,df_to_dp_wal_56,0,0.0088,6.9846,4.5284
51,df_to_dp_wal_57,0,0.6975,2.3097,1.4136
52,df_to_dp_wal_58,0,1.9991,4.5542,3.0973
53,df_to_dp_wal_59,0,0.0796,3.3086,5.8383
54,df_to_dp_wal_60,0,0.2445,3.5107,5.2794
55,df_to_dp_wal_61,0,0.4205,1.0807,1.9435
56,df_to_dp_wal_62,0,0.2021,3.8223,7.3978
57,df_to_dp_wal_63,0,0.0273,4.4175,7.2493
58,df_to_dp_wal_64,0,16.0425,8.3807,4.6178
59,df_to_dp_wal_65,0,3.3685,13.0815,8.4579
60,df_to_dp_wal_66,0,0.0352,5.5808,7.0820
61,mean,-,3.0372,4.5101,5.1413
62,std,-,5.9576,3.1066,2.9398
