,scenario,run,acc,f1_score,auroc
0,syn_wal_6_to_dp_wal_6,0,0.5250,0.3845,0.8100
1,syn_wal_6_to_dp_wal_6,1,0.5750,0.4836,0.7283
2,syn_wal_6_to_dp_wal_6,2,0.5000,0.4130,0.7258
3,syn_wal_6_to_dp_wal_6,3,0.5250,0.3981,0.7292
4,syn_wal_6_to_dp_wal_6,4,0.6250,0.5414,0.8158
5,syn_wal_6_to_dp_wal_6,5,0.4750,0.3988,0.6542
6,syn_wal_6_to_dp_wal_6,6,0.5250,0.3845,0.7700
7,syn_wal_6_to_dp_wal_6,7,0.5750,0.4876,0.8017
8,syn_wal_6_to_dp_wal_6,8,0.5250,0.4462,0.6200
9,syn_wal_6_to_dp_wal_6,9,0.5250,0.3845,0.7983
10,syn_wal_7_to_dp_wal_7,0,0.4500,0.4011,0.7900
11,syn_wal_7_to_dp_wal_7,1,0.3500,0.3317,0.7008
12,syn_wal_7_to_dp_wal_7,2,0.4500,0.4000,0.8092
13,syn_wal_7_to_dp_wal_7,3,0.5000,0.4810,0.8225
14,syn_wal_7_to_dp_wal_7,4,0.4750,0.4488,0.7983
15,syn_wal_7_to_dp_wal_7,5,0.4750,0.4726,0.7800
16,syn_wal_7_to_dp_wal_7,6,0.4250,0.3715,0.7258
17,syn_wal_7_to_dp_wal_7,7,0.4750,0.4300,0.8017
18,syn_wal_7_to_dp_wal_7,8,0.5000,0.4894,0.7983
19,syn_wal_7_to_dp_wal_7,9,0.4750,0.4167,0.7908
20,syn_wal_8_to_dp_wal_8,0,0.6750,0.6709,0.8800
21,syn_wal_8_to_dp_wal_8,1,0.6000,0.5832,0.8675
22,syn_wal_8_to_dp_wal_8,2,0.6500,0.6000,0.8725
23,syn_wal_8_to_dp_wal_8,3,0.6000,0.5750,0.8575
24,syn_wal_8_to_dp_wal_8,4,0.5750,0.5310,0.8658
25,syn_wal_8_to_dp_wal_8,5,0.5500,0.5029,0.8842
26,syn_wal_8_to_dp_wal_8,6,0.6750,0.6744,0.8750
27,syn_wal_8_to_dp_wal_8,7,0.6750,0.6456,0.8808
28,syn_wal_8_to_dp_wal_8,8,0.6500,0.6437,0.8892
29,syn_wal_8_to_dp_wal_8,9,0.6250,0.5558,0.8467
30,syn_wal_9_to_dp_wal_9,0,0.4500,0.3719,0.7850
31,syn_wal_9_to_dp_wal_9,1,0.5500,0.4904,0.8425
32,syn_wal_9_to_dp_wal_9,2,0.5250,0.4453,0.8550
33,syn_wal_9_to_dp_wal_9,3,0.5000,0.4067,0.8575
34,syn_wal_9_to_dp_wal_9,4,0.5250,0.4453,0.8600
35,syn_wal_9_to_dp_wal_9,5,0.6500,0.5851,0.8733
36,syn_wal_9_to_dp_wal_9,6,0.5000,0.3750,0.8317
37,syn_wal_9_to_dp_wal_9,7,0.5500,0.4791,0.8592
38,syn_wal_9_to_dp_wal_9,8,0.6250,0.5604,0.8808
39,syn_wal_9_to_dp_wal_9,9,0.5500,0.4791,0.8542
40,syn_wal_10_to_dp_wal_10,0,0.5000,0.3782,0.9033
41,syn_wal_10_to_dp_wal_10,1,0.6250,0.5579,0.8792
42,syn_wal_10_to_dp_wal_10,2,0.6250,0.5519,0.9067
43,syn_wal_10_to_dp_wal_10,3,0.7500,0.7272,0.9475
44,syn_wal_10_to_dp_wal_10,4,0.5000,0.4317,0.8867
45,syn_wal_10_to_dp_wal_10,5,0.6750,0.5956,0.9300
46,syn_wal_10_to_dp_wal_10,6,0.4750,0.3989,0.8750
47,syn_wal_10_to_dp_wal_10,7,0.5500,0.4861,0.8958
48,syn_wal_10_to_dp_wal_10,8,0.5000,0.3750,0.9333
49,syn_wal_10_to_dp_wal_10,9,0.5500,0.4940,0.8783
50,syn_wal_11_to_dp_wal_11,0,0.3500,0.3551,0.6967
51,syn_wal_11_to_dp_wal_11,1,0.3000,0.3233,0.6417
52,syn_wal_11_to_dp_wal_11,2,0.2000,0.2523,0.5950
53,syn_wal_11_to_dp_wal_11,3,0.3500,0.3785,0.6150
54,syn_wal_11_to_dp_wal_11,4,0.4000,0.4322,0.7233
55,syn_wal_11_to_dp_wal_11,5,0.3000,0.2812,0.6525
56,syn_wal_11_to_dp_wal_11,6,0.3000,0.3135,0.6092
57,syn_wal_11_to_dp_wal_11,7,0.3250,0.3409,0.6158
58,syn_wal_11_to_dp_wal_11,8,0.3250,0.3278,0.6575
59,syn_wal_11_to_dp_wal_11,9,0.2250,0.2218,0.5517
60,syn_wal_12_to_dp_wal_12,0,0.4000,0.3630,0.7850
61,syn_wal_12_to_dp_wal_12,1,0.3500,0.3119,0.6708
62,syn_wal_12_to_dp_wal_12,2,0.6000,0.5359,0.7617
63,syn_wal_12_to_dp_wal_12,3,0.5000,0.4476,0.7775
64,syn_wal_12_to_dp_wal_12,4,0.4500,0.3966,0.7033
65,syn_wal_12_to_dp_wal_12,5,0.5000,0.4583,0.7167
66,syn_wal_12_to_dp_wal_12,6,0.4000,0.3399,0.7075
67,syn_wal_12_to_dp_wal_12,7,0.4500,0.3643,0.7775
68,syn_wal_12_to_dp_wal_12,8,0.4750,0.4131,0.6650
69,syn_wal_12_to_dp_wal_12,9,0.4250,0.3545,0.6858
70,syn_wal_13_to_dp_wal_13,0,0.4250,0.3785,0.7358
71,syn_wal_13_to_dp_wal_13,1,0.6250,0.6218,0.7367
72,syn_wal_13_to_dp_wal_13,2,0.4750,0.3654,0.8133
73,syn_wal_13_to_dp_wal_13,3,0.4500,0.4178,0.7658
74,syn_wal_13_to_dp_wal_13,4,0.4750,0.4788,0.7317
75,syn_wal_13_to_dp_wal_13,5,0.6250,0.6135,0.7892
76,syn_wal_13_to_dp_wal_13,6,0.5500,0.5671,0.7842
77,syn_wal_13_to_dp_wal_13,7,0.4500,0.4685,0.7500
78,syn_wal_13_to_dp_wal_13,8,0.5250,0.5205,0.7983
79,syn_wal_13_to_dp_wal_13,9,0.4500,0.3984,0.7500
80,syn_wal_14_to_dp_wal_14,0,0.4500,0.4522,0.7442
81,syn_wal_14_to_dp_wal_14,1,0.4750,0.4569,0.7458
82,syn_wal_14_to_dp_wal_14,2,0.5000,0.4800,0.7600
83,syn_wal_14_to_dp_wal_14,3,0.5250,0.4825,0.7767
84,syn_wal_14_to_dp_wal_14,4,0.5250,0.4868,0.8025
85,syn_wal_14_to_dp_wal_14,5,0.5500,0.5213,0.8317
86,syn_wal_14_to_dp_wal_14,6,0.5250,0.5201,0.8050
87,syn_wal_14_to_dp_wal_14,7,0.6250,0.5628,0.7842
88,syn_wal_14_to_dp_wal_14,8,0.4750,0.4797,0.8067
