,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.5000,0.3732,0.9383
1,df_to_dp_wal_7,0,0.5000,0.3750,0.7947
2,df_to_dp_wal_8,0,0.4750,0.3535,0.7513
3,df_to_dp_wal_9,0,0.5000,0.3679,0.7168
4,df_to_dp_wal_10,0,0.4850,0.3620,0.8012
5,df_to_dp_wal_11,0,0.2500,0.1000,0.7516
6,df_to_dp_wal_12,0,0.4550,0.3162,0.7850
7,df_to_dp_wal_13,0,0.2850,0.1643,0.7368
8,df_to_dp_wal_14,0,0.3250,0.2285,0.7727
9,df_to_dp_wal_15,0,0.4350,0.3174,0.8595
10,df_to_dp_wal_16,0,0.5000,0.3696,0.8788
11,df_to_dp_wal_17,0,0.4900,0.3663,0.7627
12,df_to_dp_wal_18,0,0.2700,0.1468,0.7846
13,df_to_dp_wal_19,0,0.4635,0.3487,0.7704
14,df_to_dp_wal_20,0,0.5000,0.3750,0.8177
15,mean,-,0.4289,0.3043,0.7948
16,std,-,0.0945,0.0952,0.0585
