,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,64.6888,11.3398,11.8330
1,df_to_dp_wal_7,0,38.7290,7.2552,8.4759
2,df_to_dp_wal_8,0,84.9972,5.8034,7.0741
3,df_to_dp_wal_9,0,25.9384,18.7959,20.2352
4,df_to_dp_wal_10,0,26.5503,8.4697,8.5965
5,df_to_dp_wal_11,0,59.4396,31.7797,34.7695
6,df_to_dp_wal_12,0,24.1543,6.0356,6.1836
7,df_to_dp_wal_13,0,45.2488,14.9803,16.5119
8,df_to_dp_wal_14,0,31.7771,6.7542,6.4062
9,df_to_dp_wal_15,0,49.3386,12.9257,12.8961
10,df_to_dp_wal_16,0,122.3673,9.0666,8.9872
11,df_to_dp_wal_17,0,59.0880,12.8630,13.9419
12,df_to_dp_wal_18,0,26.0343,18.8915,19.5329
13,df_to_dp_wal_19,0,78.5936,9.4793,10.5754
14,df_to_dp_wal_20,0,34.6720,11.3751,11.5108
15,mean,-,51.4411,12.3877,13.1687
16,std,-,27.6767,6.7897,7.4269
