,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.2500,0.1000,0.7119
1,df_to_dp_wal_7,0,0.4800,0.3432,0.6622
2,df_to_dp_wal_8,0,0.4850,0.3673,0.5180
3,df_to_dp_wal_9,0,0.2500,0.1116,0.7307
4,df_to_dp_wal_10,0,0.5000,0.3750,0.7588
5,df_to_dp_wal_11,0,0.2500,0.1000,0.5223
6,df_to_dp_wal_12,0,0.5000,0.3732,0.6178
7,df_to_dp_wal_13,0,0.1100,0.0691,0.3325
8,df_to_dp_wal_14,0,0.5000,0.3750,0.6660
9,df_to_dp_wal_15,0,0.4700,0.3130,0.6829
10,df_to_dp_wal_16,0,0.2500,0.1000,0.7493
11,df_to_dp_wal_17,0,0.3950,0.2967,0.5613
12,df_to_dp_wal_18,0,0.5000,0.3732,0.6915
13,df_to_dp_wal_19,0,0.5208,0.3802,0.6985
14,df_to_dp_wal_20,0,0.5000,0.3714,0.6141
15,mean,-,0.3974,0.2699,0.6345
16,std,-,0.1355,0.1296,0.1130
