,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,29.1061,49.0816,45.4017
1,df_to_dp_wal_7,0,49.0770,33.4105,29.8663
2,df_to_dp_wal_8,0,38.0645,25.5775,22.9515
3,df_to_dp_wal_9,0,49.4037,43.0832,39.4992
4,df_to_dp_wal_10,0,59.6839,23.2477,20.2219
5,df_to_dp_wal_11,0,50.9048,62.1607,59.5266
6,df_to_dp_wal_12,0,36.6615,54.3348,48.2644
7,df_to_dp_wal_13,0,54.1579,43.6443,40.3792
8,df_to_dp_wal_14,0,39.2988,37.0716,32.8134
9,df_to_dp_wal_15,0,53.7309,26.1223,23.8561
10,df_to_dp_wal_16,0,33.7230,33.1046,29.5670
11,df_to_dp_wal_17,0,30.1487,54.0912,48.9264
12,df_to_dp_wal_18,0,15.7667,64.1388,56.8177
13,df_to_dp_wal_19,0,66.9483,19.7118,19.0227
14,df_to_dp_wal_20,0,21.0139,61.4507,55.8375
15,mean,-,41.8460,42.0154,38.1968
16,std,-,14.5394,15.0587,13.8600
