,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.4200,0.3181,0.8825
1,df_to_dp_wal_7,0,0.5000,0.3750,0.8237
2,df_to_dp_wal_8,0,0.5000,0.3750,0.9116
3,df_to_dp_wal_9,0,0.4950,0.3719,0.7070
4,df_to_dp_wal_10,0,0.4800,0.3621,0.7670
5,df_to_dp_wal_11,0,0.5000,0.3750,0.7501
6,df_to_dp_wal_12,0,0.5000,0.3750,0.6479
7,df_to_dp_wal_13,0,0.5000,0.3750,0.7329
8,df_to_dp_wal_14,0,0.5000,0.3750,0.8432
9,df_to_dp_wal_15,0,0.4850,0.3620,0.8233
10,df_to_dp_wal_16,0,0.4700,0.3554,0.8564
11,df_to_dp_wal_17,0,0.5000,0.3750,0.7585
12,df_to_dp_wal_18,0,0.5000,0.3750,0.7797
13,df_to_dp_wal_19,0,0.4792,0.3641,0.8343
14,df_to_dp_wal_20,0,0.5000,0.3750,0.8032
15,mean,-,0.4886,0.3672,0.7947
16,std,-,0.0214,0.0151,0.0698
