,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_6,0,16.7952,13.6034,11.8770
1,df_to_dp_wal_7,0,12.9083,11.4489,10.3028
2,df_to_dp_wal_8,0,17.4517,14.7965,13.3187
3,df_to_dp_wal_9,0,16.1060,12.9370,11.3281
4,df_to_dp_wal_10,0,14.5254,13.5938,11.8884
5,df_to_dp_wal_11,0,17.5368,14.3511,13.2999
6,df_to_dp_wal_12,0,16.5674,12.7367,11.5212
7,df_to_dp_wal_13,0,16.8125,14.0126,11.9379
8,df_to_dp_wal_14,0,17.0885,14.5654,12.9854
9,df_to_dp_wal_15,0,16.0141,12.6101,11.3179
10,df_to_dp_wal_16,0,16.8071,13.1534,11.4625
11,df_to_dp_wal_17,0,16.7968,13.0064,11.7248
12,df_to_dp_wal_18,0,17.1900,13.5670,12.3327
13,df_to_dp_wal_19,0,17.6767,9.4592,9.6451
14,df_to_dp_wal_20,0,15.3331,13.6527,12.3158
15,mean,-,16.3740,13.1663,11.8172
16,std,-,1.2782,1.3301,1.0028
