,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_wal_6_to_dp_wal_6,0,0.0441,6.3567,7.3661
1,syn_wal_6_to_dp_wal_6,1,0.0011,2.7537,3.2978
2,syn_wal_6_to_dp_wal_6,2,0.0004,4.0700,4.4695
3,syn_wal_6_to_dp_wal_6,3,0.0064,2.6304,3.7014
4,syn_wal_6_to_dp_wal_6,4,0.0003,3.6565,5.0093
5,syn_wal_6_to_dp_wal_6,5,0.0003,3.7662,4.4774
6,syn_wal_6_to_dp_wal_6,6,0.0004,3.9379,4.3671
7,syn_wal_6_to_dp_wal_6,7,0.0003,3.0595,3.2166
8,syn_wal_6_to_dp_wal_6,8,0.0008,1.9290,2.8040
9,syn_wal_6_to_dp_wal_6,9,0.0018,3.8649,4.7641
10,syn_wal_7_to_dp_wal_7,0,0.0009,5.1490,6.0264
11,syn_wal_7_to_dp_wal_7,1,0.0005,5.0931,5.9943
12,syn_wal_7_to_dp_wal_7,2,0.0793,4.1474,4.9459
13,syn_wal_7_to_dp_wal_7,3,0.0005,5.1809,5.4207
14,syn_wal_7_to_dp_wal_7,4,0.0052,4.0684,5.5189
15,syn_wal_7_to_dp_wal_7,5,0.0009,3.6872,4.8517
16,syn_wal_7_to_dp_wal_7,6,0.0003,5.1395,6.2420
17,syn_wal_7_to_dp_wal_7,7,0.0002,5.2067,5.9477
18,syn_wal_7_to_dp_wal_7,8,0.0005,3.8977,4.7757
19,syn_wal_7_to_dp_wal_7,9,0.0003,4.3148,5.1285
20,syn_wal_8_to_dp_wal_8,0,0.0003,0.5411,1.1392
21,syn_wal_8_to_dp_wal_8,1,0.0012,1.0622,1.9200
22,syn_wal_8_to_dp_wal_8,2,0.0005,1.1992,1.6454
23,syn_wal_8_to_dp_wal_8,3,0.0008,1.3593,1.7908
24,syn_wal_8_to_dp_wal_8,4,0.0002,1.1117,1.4479
25,syn_wal_8_to_dp_wal_8,5,0.0004,1.8499,1.6307
26,syn_wal_8_to_dp_wal_8,6,0.0006,1.1320,0.8777
27,syn_wal_8_to_dp_wal_8,7,0.0031,0.7565,1.8052
28,syn_wal_8_to_dp_wal_8,8,0.0003,1.3483,1.0039
29,syn_wal_8_to_dp_wal_8,9,0.0002,1.4108,1.5708
30,syn_wal_9_to_dp_wal_9,0,0.0004,3.6849,4.8440
31,syn_wal_9_to_dp_wal_9,1,0.0002,2.8925,3.6427
32,syn_wal_9_to_dp_wal_9,2,0.0389,4.4474,5.8967
33,syn_wal_9_to_dp_wal_9,3,0.0003,3.6249,4.4789
34,syn_wal_9_to_dp_wal_9,4,0.0003,3.6697,4.8694
35,syn_wal_9_to_dp_wal_9,5,0.0003,2.7428,3.3887
36,syn_wal_9_to_dp_wal_9,6,0.0002,3.7937,4.9666
37,syn_wal_9_to_dp_wal_9,7,0.0002,2.9455,3.8198
38,syn_wal_9_to_dp_wal_9,8,0.0004,2.8537,3.8229
39,syn_wal_9_to_dp_wal_9,9,0.0006,3.1097,3.7895
40,syn_wal_10_to_dp_wal_10,0,0.0003,3.5303,4.1356
41,syn_wal_10_to_dp_wal_10,1,0.0003,3.3424,4.1510
42,syn_wal_10_to_dp_wal_10,2,0.0009,3.7571,4.3437
43,syn_wal_10_to_dp_wal_10,3,0.0002,3.2531,4.4667
44,syn_wal_10_to_dp_wal_10,4,0.0030,4.8580,6.1379
45,syn_wal_10_to_dp_wal_10,5,0.0002,2.6859,3.6449
46,syn_wal_10_to_dp_wal_10,6,0.0003,3.5354,4.3688
47,syn_wal_10_to_dp_wal_10,7,0.0006,3.4173,4.0270
48,syn_wal_10_to_dp_wal_10,8,0.0005,3.6675,4.6351
49,syn_wal_10_to_dp_wal_10,9,0.0002,3.6943,4.4182
50,syn_wal_11_to_dp_wal_11,0,0.0002,3.5492,4.6531
51,syn_wal_11_to_dp_wal_11,1,0.0003,4.2822,4.7602
52,syn_wal_11_to_dp_wal_11,2,0.0003,3.4708,4.5769
53,syn_wal_11_to_dp_wal_11,3,0.0002,4.2080,5.4836
54,syn_wal_11_to_dp_wal_11,4,0.0003,4.7837,5.7371
55,syn_wal_11_to_dp_wal_11,5,0.0015,3.3601,4.0609
56,syn_wal_11_to_dp_wal_11,6,0.0006,4.0538,4.7895
57,syn_wal_11_to_dp_wal_11,7,0.0007,4.1453,4.9580
58,syn_wal_11_to_dp_wal_11,8,0.0004,4.2353,5.1755
