,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_15,0,0.5500,0.4946,0.6967
1,df_to_dp_wal_16,0,0.6000,0.5893,0.8567
2,df_to_dp_wal_17,0,0.5000,0.3971,0.7283
3,df_to_dp_wal_18,0,0.4750,0.3500,0.7525
4,df_to_dp_wal_19,0,0.5000,0.3750,0.6717
5,df_to_dp_wal_20,0,0.5250,0.4270,0.9258
6,df_to_dp_wal_21,0,0.5000,0.3929,0.7692
7,df_to_dp_wal_22,0,0.4750,0.3720,0.7233
8,df_to_dp_wal_23,0,0.5000,0.3646,0.7833
9,df_to_dp_wal_24,0,0.5500,0.5294,0.8567
10,df_to_dp_wal_25,0,0.5000,0.3943,0.7100
11,df_to_dp_wal_26,0,0.6250,0.5696,0.8742
12,df_to_dp_wal_27,0,0.5000,0.3994,0.8350
13,df_to_dp_wal_28,0,0.4750,0.3455,0.8467
14,df_to_dp_wal_29,0,0.5000,0.3414,0.9125
15,df_to_dp_wal_30,0,0.3750,0.2917,0.6879
16,df_to_dp_wal_31,0,0.4000,0.3011,0.6733
17,df_to_dp_wal_32,0,0.5500,0.4649,0.9192
18,df_to_dp_wal_33,0,0.7000,0.6012,0.9033
19,df_to_dp_wal_34,0,0.3250,0.2222,0.6950
20,df_to_dp_wal_35,0,0.2500,0.1250,0.7258
21,df_to_dp_wal_36,0,0.5000,0.4141,0.8162
22,df_to_dp_wal_37,0,0.6000,0.6006,0.8558
23,df_to_dp_wal_38,0,0.3250,0.2048,0.7325
24,df_to_dp_wal_39,0,0.3250,0.2821,0.6500
25,df_to_dp_wal_40,0,0.6000,0.5507,0.9033
26,df_to_dp_wal_41,0,0.2750,0.1457,0.5600
27,df_to_dp_wal_42,0,0.4500,0.3214,0.7817
28,df_to_dp_wal_43,0,0.5000,0.3337,0.7708
29,df_to_dp_wal_44,0,0.7750,0.7280,0.9725
30,df_to_dp_wal_45,0,0.7000,0.6576,0.9408
31,df_to_dp_wal_46,0,0.5000,0.3663,0.8892
32,df_to_dp_wal_47,0,0.6500,0.5708,0.9492
33,df_to_dp_wal_48,0,0.6250,0.5391,0.9408
34,df_to_dp_wal_49,0,0.5000,0.4762,0.8042
35,df_to_dp_wal_50,0,0.5500,0.4674,0.9092
36,df_to_dp_wal_51,0,0.6500,0.6327,0.8767
37,df_to_dp_wal_52,0,0.5000,0.3391,0.8458
38,df_to_dp_wal_53,0,0.2500,0.1000,0.6958
39,df_to_dp_wal_54,0,0.6000,0.5317,0.9550
40,df_to_dp_wal_55,0,0.6250,0.5610,0.9258
41,df_to_dp_wal_56,0,0.6500,0.5935,0.9625
42,df_to_dp_wal_57,0,0.8000,0.7472,0.9600
43,df_to_dp_wal_58,0,0.2500,0.1282,0.7542
44,df_to_dp_wal_59,0,0.6500,0.5500,0.8833
45,df_to_dp_wal_60,0,0.5000,0.3525,0.8667
46,df_to_dp_wal_61,0,0.7000,0.6190,0.7800
47,df_to_dp_wal_62,0,0.9250,0.9246,0.9933
48,df_to_dp_wal_63,0,0.6750,0.6261,0.8817
49,df_to_dp_wal_64,0,0.5000,0.3525,0.9592
50,df_to_dp_wal_65,0,0.7000,0.6641,0.8850
51,df_to_dp_wal_66,0,0.3750,0.3149,0.6283
52,df_to_dp_wal_67,0,0.5500,0.4329,0.8833
53,df_to_dp_wal_68,0,0.7000,0.6644,0.9642
54,df_to_dp_wal_69,0,0.8750,0.8693,0.9925
55,df_to_dp_wal_70,0,0.3750,0.3059,0.5900
56,df_to_dp_wal_71,0,0.5250,0.3932,0.8529
57,df_to_dp_wal_72,0,0.5500,0.4603,0.9500
58,df_to_dp_wal_73,0,0.4500,0.3255,0.7192
59,df_to_dp_wal_74,0,0.3243,0.1970,0.6449
60,df_to_dp_wal_75,0,0.8500,0.8400,0.9717
61,mean,-,0.5377,0.4513,0.8270
62,std,-,0.1512,0.1819,0.1127
