,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_15,0,80.9742,37.4339,23.0843
1,df_to_dp_wal_16,0,107.4100,1.1673,0.7692
2,df_to_dp_wal_17,0,28.1731,2.4065,1.4931
3,df_to_dp_wal_18,0,56.7690,5.3075,3.0125
4,df_to_dp_wal_19,0,27.8158,2.8111,1.7481
5,df_to_dp_wal_20,0,123.2623,2.2501,1.3043
6,df_to_dp_wal_21,0,26.2672,3.9047,2.4266
7,df_to_dp_wal_22,0,138.0393,4.9360,2.9720
8,df_to_dp_wal_23,0,38.3499,3.5128,2.1307
9,df_to_dp_wal_24,0,202.1498,1.1318,1.2134
10,df_to_dp_wal_25,0,48.5100,2.4694,1.5940
11,df_to_dp_wal_26,0,46.1578,1.3903,0.8958
12,df_to_dp_wal_27,0,66.0398,3.0150,2.0374
13,df_to_dp_wal_28,0,34.1419,2.9984,2.1205
14,df_to_dp_wal_29,0,50.7093,3.3590,2.0503
15,df_to_dp_wal_30,0,5.6574,10.4748,13.8411
16,df_to_dp_wal_31,0,32.6149,28.0642,13.5452
17,df_to_dp_wal_32,0,59.9007,1.5840,0.9631
18,df_to_dp_wal_33,0,28.0960,0.8583,0.6934
19,df_to_dp_wal_34,0,36.6855,10.3430,6.0488
20,df_to_dp_wal_35,0,54.1041,11.2296,11.0266
21,df_to_dp_wal_36,0,173.8497,3.1385,4.3903
22,df_to_dp_wal_37,0,34.8264,0.7566,0.8961
23,df_to_dp_wal_38,0,44.4090,10.2459,12.6188
24,df_to_dp_wal_39,0,42.2102,40.8550,83.4712
25,df_to_dp_wal_40,0,23.3748,1.0472,0.7548
26,df_to_dp_wal_41,0,6.5758,51.3283,62.1833
27,df_to_dp_wal_42,0,43.4133,9.2560,21.9730
28,df_to_dp_wal_43,0,21.4837,12.6691,9.2820
29,df_to_dp_wal_44,0,101.6971,0.6016,0.4618
30,df_to_dp_wal_45,0,141.2005,1.0330,0.6369
31,df_to_dp_wal_46,0,131.2838,2.9990,1.6691
32,df_to_dp_wal_47,0,200.5702,0.7707,0.7097
33,df_to_dp_wal_48,0,124.8114,1.3860,0.7821
34,df_to_dp_wal_49,0,12.8351,1.2024,1.1569
35,df_to_dp_wal_50,0,31.6519,2.1460,1.3098
36,df_to_dp_wal_51,0,15.7474,13.1155,4.6116
37,df_to_dp_wal_52,0,68.7628,3.0835,1.6741
38,df_to_dp_wal_53,0,94.4748,35.3555,32.2610
39,df_to_dp_wal_54,0,21.2910,1.3611,0.8645
40,df_to_dp_wal_55,0,97.2924,1.2800,0.6703
41,df_to_dp_wal_56,0,120.3087,1.0743,0.6763
42,df_to_dp_wal_57,0,37.0044,0.5748,0.6925
43,df_to_dp_wal_58,0,68.8072,7.5266,10.8648
44,df_to_dp_wal_59,0,40.3471,1.1303,0.7425
45,df_to_dp_wal_60,0,25.4102,3.5919,2.3908
46,df_to_dp_wal_61,0,33.4620,1.6306,2.8143
47,df_to_dp_wal_62,0,127.1523,0.3083,0.3874
48,df_to_dp_wal_63,0,78.4899,1.0123,5.0193
49,df_to_dp_wal_64,0,102.1756,1.8543,1.0334
50,df_to_dp_wal_65,0,45.9778,8.8437,5.8369
51,df_to_dp_wal_66,0,70.0364,74.5516,105.7654
52,df_to_dp_wal_67,0,31.7234,2.7140,1.9404
53,df_to_dp_wal_68,0,84.9768,0.8122,0.5443
54,df_to_dp_wal_69,0,97.7753,0.2325,0.1961
55,df_to_dp_wal_70,0,31.6662,13.7626,38.9555
56,df_to_dp_wal_71,0,61.9563,2.4056,1.4810
57,df_to_dp_wal_72,0,62.8514,1.0547,0.7726
58,df_to_dp_wal_73,0,9.7009,5.1883,3.5658
59,df_to_dp_wal_74,0,53.6406,22.2455,14.1006
60,df_to_dp_wal_75,0,139.0701,0.4160,0.2592
61,mean,-,66.3299,7.9542,8.7768
62,std,-,47.1155,13.7700,19.2331
