,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_15,0,0.2500,0.1190,0.4700
1,df_to_dp_wal_16,0,0.3000,0.1801,0.7308
2,df_to_dp_wal_17,0,0.4250,0.3222,0.4508
3,df_to_dp_wal_18,0,0.4000,0.3095,0.7733
4,df_to_dp_wal_19,0,0.1500,0.0652,0.4292
5,df_to_dp_wal_20,0,0.2250,0.1561,0.6650
6,df_to_dp_wal_21,0,0.3500,0.2694,0.5208
7,df_to_dp_wal_22,0,0.2750,0.1645,0.5850
8,df_to_dp_wal_23,0,0.3500,0.2902,0.7329
9,df_to_dp_wal_24,0,0.2500,0.1020,0.5550
10,df_to_dp_wal_25,0,0.4000,0.2716,0.8158
11,df_to_dp_wal_26,0,0.3250,0.3167,0.7292
12,df_to_dp_wal_27,0,0.2000,0.0851,0.4967
13,df_to_dp_wal_28,0,0.2500,0.1000,0.6333
14,df_to_dp_wal_29,0,0.2750,0.1922,0.6750
15,df_to_dp_wal_30,0,0.2750,0.1774,0.6383
16,df_to_dp_wal_31,0,0.4250,0.2833,0.7767
17,df_to_dp_wal_32,0,0.5000,0.3750,0.7300
18,df_to_dp_wal_33,0,0.4500,0.3633,0.6200
19,df_to_dp_wal_34,0,0.2750,0.1520,0.6425
20,df_to_dp_wal_35,0,0.7250,0.6416,0.8142
21,df_to_dp_wal_36,0,0.4000,0.2715,0.7842
22,df_to_dp_wal_37,0,0.5500,0.4621,0.7975
23,df_to_dp_wal_38,0,0.2500,0.1000,0.7050
24,df_to_dp_wal_39,0,0.2500,0.1000,0.6767
25,df_to_dp_wal_40,0,0.1500,0.1182,0.3642
26,df_to_dp_wal_41,0,0.6000,0.5732,0.7842
27,df_to_dp_wal_42,0,0.4000,0.2930,0.7471
28,df_to_dp_wal_43,0,0.4500,0.4582,0.7125
29,df_to_dp_wal_44,0,0.2500,0.1000,0.6292
30,df_to_dp_wal_45,0,0.5000,0.3750,0.7792
31,df_to_dp_wal_46,0,0.4000,0.3098,0.6058
32,df_to_dp_wal_47,0,0.2500,0.1000,0.7058
33,df_to_dp_wal_48,0,0.2750,0.1475,0.7717
34,df_to_dp_wal_49,0,0.2500,0.1000,0.7967
35,df_to_dp_wal_50,0,0.2500,0.1087,0.8083
36,df_to_dp_wal_51,0,0.3750,0.2607,0.6500
37,df_to_dp_wal_52,0,0.1750,0.0972,0.6742
38,df_to_dp_wal_53,0,0.4250,0.3567,0.7442
39,df_to_dp_wal_54,0,0.1500,0.1225,0.5300
40,df_to_dp_wal_55,0,0.3250,0.2218,0.9221
41,df_to_dp_wal_56,0,0.2500,0.1000,0.8042
42,df_to_dp_wal_57,0,0.4750,0.3397,0.7333
43,df_to_dp_wal_58,0,0.2500,0.1000,0.6225
44,df_to_dp_wal_59,0,0.5000,0.3750,0.7675
45,df_to_dp_wal_60,0,0.4000,0.3011,0.5875
46,df_to_dp_wal_61,0,0.2750,0.2115,0.5033
47,df_to_dp_wal_62,0,0.2500,0.1000,0.7442
48,df_to_dp_wal_63,0,0.3750,0.2579,0.7633
49,df_to_dp_wal_64,0,0.0750,0.0833,0.5550
50,df_to_dp_wal_65,0,0.3000,0.1875,0.7542
51,df_to_dp_wal_66,0,0.3250,0.2014,0.7208
52,df_to_dp_wal_67,0,0.6750,0.6495,0.8608
53,df_to_dp_wal_68,0,0.2500,0.1000,0.7083
54,df_to_dp_wal_69,0,0.0000,0.0000,0.4250
55,df_to_dp_wal_70,0,0.2500,0.1250,0.5958
56,df_to_dp_wal_71,0,0.2500,0.1000,0.4000
57,df_to_dp_wal_72,0,0.3000,0.1778,0.7442
58,df_to_dp_wal_73,0,0.4750,0.3457,0.8183
59,df_to_dp_wal_74,0,0.5135,0.4867,0.8339
60,df_to_dp_wal_75,0,0.3500,0.2444,0.7975
61,mean,-,0.3326,0.2311,0.6789
62,std,-,0.1347,0.1442,0.1258
