,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_15,0,0.5000,0.4062,0.6458
1,df_to_dp_wal_16,0,0.6250,0.5573,0.8683
2,df_to_dp_wal_17,0,0.5000,0.3971,0.6558
3,df_to_dp_wal_18,0,0.5000,0.4167,0.7467
4,df_to_dp_wal_19,0,0.5250,0.4519,0.7100
5,df_to_dp_wal_20,0,0.7250,0.6617,0.9508
6,df_to_dp_wal_21,0,0.5000,0.4058,0.7683
7,df_to_dp_wal_22,0,0.5000,0.4374,0.6958
8,df_to_dp_wal_23,0,0.5750,0.4768,0.6925
9,df_to_dp_wal_24,0,0.5750,0.5100,0.8425
10,df_to_dp_wal_25,0,0.5000,0.4015,0.7350
11,df_to_dp_wal_26,0,0.5500,0.4759,0.7992
12,df_to_dp_wal_27,0,0.5000,0.4062,0.8167
13,df_to_dp_wal_28,0,0.5000,0.3624,0.7542
14,df_to_dp_wal_29,0,0.5500,0.4474,0.7767
15,df_to_dp_wal_30,0,0.5000,0.3788,0.8071
16,df_to_dp_wal_31,0,0.4750,0.3247,0.8892
17,df_to_dp_wal_32,0,0.6250,0.5510,0.8892
18,df_to_dp_wal_33,0,0.6250,0.5628,0.7983
19,df_to_dp_wal_34,0,0.2750,0.1520,0.7200
20,df_to_dp_wal_35,0,0.5000,0.3589,0.7933
21,df_to_dp_wal_36,0,0.6250,0.5558,0.9500
22,df_to_dp_wal_37,0,0.5000,0.4312,0.8283
23,df_to_dp_wal_38,0,0.3500,0.2256,0.7550
24,df_to_dp_wal_39,0,0.5250,0.4376,0.8875
25,df_to_dp_wal_40,0,0.6000,0.5350,0.8508
26,df_to_dp_wal_41,0,0.3250,0.2138,0.5125
27,df_to_dp_wal_42,0,0.5750,0.5004,0.7825
28,df_to_dp_wal_43,0,0.3750,0.2531,0.7025
29,df_to_dp_wal_44,0,0.5500,0.4458,0.8392
30,df_to_dp_wal_45,0,0.7250,0.6286,0.9092
31,df_to_dp_wal_46,0,0.6500,0.5846,0.8575
32,df_to_dp_wal_47,0,0.5750,0.4969,0.9042
33,df_to_dp_wal_48,0,0.6000,0.5100,0.9100
34,df_to_dp_wal_49,0,0.7000,0.6439,0.8942
35,df_to_dp_wal_50,0,0.7000,0.6028,0.9958
36,df_to_dp_wal_51,0,0.4250,0.3333,0.7350
37,df_to_dp_wal_52,0,0.7250,0.6298,0.9350
38,df_to_dp_wal_53,0,0.2500,0.1250,0.7542
39,df_to_dp_wal_54,0,0.6750,0.5809,0.9400
40,df_to_dp_wal_55,0,0.6750,0.5891,0.9750
41,df_to_dp_wal_56,0,0.5500,0.4374,0.9192
42,df_to_dp_wal_57,0,0.5000,0.4116,0.9192
43,df_to_dp_wal_58,0,0.3500,0.2723,0.7242
44,df_to_dp_wal_59,0,0.7250,0.6416,0.9600
45,df_to_dp_wal_60,0,0.4750,0.3588,0.8508
46,df_to_dp_wal_61,0,0.7000,0.6153,0.7733
47,df_to_dp_wal_62,0,0.6500,0.6111,0.9308
48,df_to_dp_wal_63,0,0.7000,0.6454,0.9458
49,df_to_dp_wal_64,0,0.5250,0.4276,0.8175
50,df_to_dp_wal_65,0,0.6500,0.5955,0.8975
51,df_to_dp_wal_66,0,0.2750,0.1737,0.6087
52,df_to_dp_wal_67,0,0.6750,0.5950,0.9025
53,df_to_dp_wal_68,0,0.6750,0.6214,0.9000
54,df_to_dp_wal_69,0,0.7750,0.7079,0.9692
55,df_to_dp_wal_70,0,0.6500,0.5828,0.8417
56,df_to_dp_wal_71,0,0.7250,0.6380,0.9733
57,df_to_dp_wal_72,0,0.7500,0.6558,0.9767
58,df_to_dp_wal_73,0,0.4250,0.3278,0.6108
59,df_to_dp_wal_74,0,0.3243,0.2240,0.5435
60,df_to_dp_wal_75,0,0.7000,0.6135,0.9650
61,mean,-,0.5582,0.4692,0.8246
62,std,-,0.1299,0.1440,0.1140
