,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_15,0,14.8511,6.8359,4.4143
1,df_to_dp_wal_16,0,18.7961,1.1045,0.8946
2,df_to_dp_wal_17,0,12.7350,2.7460,1.6478
3,df_to_dp_wal_18,0,9.5435,2.4375,1.5273
4,df_to_dp_wal_19,0,22.2295,2.3041,1.5412
5,df_to_dp_wal_20,0,16.8793,1.0167,0.5765
6,df_to_dp_wal_21,0,15.3253,2.1842,1.4816
7,df_to_dp_wal_22,0,15.0065,2.3343,1.8255
8,df_to_dp_wal_23,0,15.4645,2.2442,1.5397
9,df_to_dp_wal_24,0,14.1642,0.9980,0.8433
10,df_to_dp_wal_25,0,11.0880,2.6641,1.7046
11,df_to_dp_wal_26,0,8.1857,1.8272,1.1885
12,df_to_dp_wal_27,0,17.0929,2.9836,1.9744
13,df_to_dp_wal_28,0,14.5500,2.3874,1.5942
14,df_to_dp_wal_29,0,11.1901,2.1029,1.3226
15,df_to_dp_wal_30,0,5.1276,3.3611,2.3736
16,df_to_dp_wal_31,0,15.5768,5.0574,3.3500
17,df_to_dp_wal_32,0,14.3808,1.2895,0.8202
18,df_to_dp_wal_33,0,9.4217,1.5441,1.2147
19,df_to_dp_wal_34,0,16.2038,6.6761,5.8254
20,df_to_dp_wal_35,0,29.8020,3.1464,2.0451
21,df_to_dp_wal_36,0,12.5626,1.1454,0.7417
22,df_to_dp_wal_37,0,13.5947,1.0295,1.1879
23,df_to_dp_wal_38,0,24.4414,5.6154,5.5836
24,df_to_dp_wal_39,0,18.5816,2.1066,1.3021
25,df_to_dp_wal_40,0,10.5079,1.6409,1.1899
26,df_to_dp_wal_41,0,1.9678,6.7196,4.8547
27,df_to_dp_wal_42,0,10.9173,3.8338,1.7663
28,df_to_dp_wal_43,0,12.4197,6.5869,5.1638
29,df_to_dp_wal_44,0,15.8169,1.7206,1.1467
30,df_to_dp_wal_45,0,17.9501,0.8417,0.7515
31,df_to_dp_wal_46,0,18.9600,1.6003,0.9775
32,df_to_dp_wal_47,0,21.4189,1.5594,1.3403
33,df_to_dp_wal_48,0,11.6910,1.6651,1.0489
34,df_to_dp_wal_49,0,13.6658,1.0482,0.7493
35,df_to_dp_wal_50,0,9.2716,0.8530,0.5031
36,df_to_dp_wal_51,0,15.1397,4.0562,2.8785
37,df_to_dp_wal_52,0,10.7644,0.9363,0.6510
38,df_to_dp_wal_53,0,13.9827,7.4050,6.4814
39,df_to_dp_wal_54,0,17.5585,1.3103,1.2272
40,df_to_dp_wal_55,0,13.0973,0.9742,0.5383
41,df_to_dp_wal_56,0,12.2621,1.5939,1.0799
42,df_to_dp_wal_57,0,9.4788,1.6005,1.8056
43,df_to_dp_wal_58,0,20.3641,2.9586,3.6538
44,df_to_dp_wal_59,0,12.7387,0.7404,0.5302
45,df_to_dp_wal_60,0,9.5410,3.7524,2.4273
46,df_to_dp_wal_61,0,14.6004,1.3791,1.4243
47,df_to_dp_wal_62,0,14.7793,0.7532,1.0443
48,df_to_dp_wal_63,0,17.4226,1.0556,0.9457
49,df_to_dp_wal_64,0,14.5017,2.1268,1.2707
50,df_to_dp_wal_65,0,14.6693,2.1172,1.3439
51,df_to_dp_wal_66,0,9.3588,9.0640,5.4670
52,df_to_dp_wal_67,0,12.3556,1.9446,1.1669
53,df_to_dp_wal_68,0,11.4699,0.9029,0.7078
54,df_to_dp_wal_69,0,18.0551,1.0630,0.6509
55,df_to_dp_wal_70,0,10.4779,1.5272,1.7819
56,df_to_dp_wal_71,0,15.2165,1.2525,0.7343
57,df_to_dp_wal_72,0,16.1934,0.7991,0.6512
58,df_to_dp_wal_73,0,11.0098,4.8738,3.0939
59,df_to_dp_wal_74,0,12.0355,7.1208,7.2816
60,df_to_dp_wal_75,0,16.7986,0.8481,0.6051
61,mean,-,14.1845,2.5798,1.9255
62,std,-,4.4329,2.0163,1.6301
