,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_15,0,0.5000,0.4124,0.7450
1,df_to_dp_wal_16,0,0.4250,0.3328,0.8467
2,df_to_dp_wal_17,0,0.3500,0.2413,0.7250
3,df_to_dp_wal_18,0,0.5000,0.4062,0.8792
4,df_to_dp_wal_19,0,0.4750,0.3566,0.7058
5,df_to_dp_wal_20,0,0.3500,0.2899,0.6600
6,df_to_dp_wal_21,0,0.2500,0.1136,0.8550
7,df_to_dp_wal_22,0,0.4250,0.3226,0.6750
8,df_to_dp_wal_23,0,0.3750,0.3017,0.6575
9,df_to_dp_wal_24,0,0.1250,0.1063,0.3208
10,df_to_dp_wal_25,0,0.7000,0.6093,0.7892
11,df_to_dp_wal_26,0,0.4250,0.3687,0.7683
12,df_to_dp_wal_27,0,0.6500,0.5777,0.8600
13,df_to_dp_wal_28,0,0.3500,0.3004,0.5742
14,df_to_dp_wal_29,0,0.5000,0.3818,0.8308
15,df_to_dp_wal_30,0,0.3250,0.2128,0.7008
16,df_to_dp_wal_31,0,0.4250,0.2833,0.7600
17,df_to_dp_wal_32,0,0.5000,0.3758,0.7425
18,df_to_dp_wal_33,0,0.4000,0.3345,0.5575
19,df_to_dp_wal_34,0,0.2250,0.1319,0.6000
20,df_to_dp_wal_35,0,0.2000,0.2202,0.5350
21,df_to_dp_wal_36,0,0.5500,0.4691,0.8125
22,df_to_dp_wal_37,0,0.6000,0.5588,0.7725
23,df_to_dp_wal_38,0,0.5000,0.3663,0.5650
24,df_to_dp_wal_39,0,0.6000,0.5005,0.9025
25,df_to_dp_wal_40,0,0.2500,0.2516,0.6142
26,df_to_dp_wal_41,0,0.4000,0.2882,0.7308
27,df_to_dp_wal_42,0,0.4750,0.3165,0.7875
28,df_to_dp_wal_43,0,0.2500,0.1821,0.7033
29,df_to_dp_wal_44,0,0.5000,0.4116,0.8308
30,df_to_dp_wal_45,0,0.5250,0.4302,0.8300
31,df_to_dp_wal_46,0,0.4750,0.3966,0.7050
32,df_to_dp_wal_47,0,0.2500,0.1000,0.8483
33,df_to_dp_wal_48,0,0.7250,0.6304,0.9675
34,df_to_dp_wal_49,0,0.5000,0.3663,0.7858
35,df_to_dp_wal_50,0,0.3500,0.3230,0.7233
36,df_to_dp_wal_51,0,0.4750,0.3707,0.7042
37,df_to_dp_wal_52,0,0.5500,0.4621,0.7767
38,df_to_dp_wal_53,0,0.2500,0.1250,0.6967
39,df_to_dp_wal_54,0,0.4250,0.3621,0.6133
40,df_to_dp_wal_55,0,0.4000,0.3651,0.8467
41,df_to_dp_wal_56,0,0.5000,0.3920,0.9183
42,df_to_dp_wal_57,0,0.5250,0.4769,0.8400
43,df_to_dp_wal_58,0,0.0250,0.0152,0.3433
44,df_to_dp_wal_59,0,0.6750,0.6002,0.8083
45,df_to_dp_wal_60,0,0.4250,0.3278,0.5875
46,df_to_dp_wal_61,0,0.5000,0.3792,0.8267
47,df_to_dp_wal_62,0,0.2500,0.1724,0.6458
48,df_to_dp_wal_63,0,0.5000,0.3673,0.7533
49,df_to_dp_wal_64,0,0.1750,0.1000,0.6467
50,df_to_dp_wal_65,0,0.3500,0.2619,0.5433
51,df_to_dp_wal_66,0,0.4250,0.3120,0.5908
52,df_to_dp_wal_67,0,0.2750,0.1737,0.5433
53,df_to_dp_wal_68,0,0.4500,0.3712,0.6817
54,df_to_dp_wal_69,0,0.1000,0.1028,0.5325
55,df_to_dp_wal_70,0,0.6500,0.5740,0.8408
56,df_to_dp_wal_71,0,0.4250,0.3394,0.7317
57,df_to_dp_wal_72,0,0.5500,0.4629,0.8308
58,df_to_dp_wal_73,0,0.2750,0.1518,0.6075
59,df_to_dp_wal_74,0,0.0811,0.0963,0.4813
60,df_to_dp_wal_75,0,0.5000,0.3348,0.8533
61,mean,-,0.4128,0.3273,0.7150
62,std,-,0.1538,0.1426,0.1331
