,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_wal_15,0,5.7763,4.8221,3.4271
1,df_to_dp_wal_16,0,6.5700,3.3056,2.7649
2,df_to_dp_wal_17,0,6.4812,3.6087,3.2517
3,df_to_dp_wal_18,0,5.5829,2.3853,1.9062
4,df_to_dp_wal_19,0,5.3009,3.8941,4.0572
5,df_to_dp_wal_20,0,8.0688,6.9137,3.8728
6,df_to_dp_wal_21,0,4.5120,3.1103,2.5214
7,df_to_dp_wal_22,0,8.3103,5.6317,3.3769
8,df_to_dp_wal_23,0,11.5078,4.4820,3.1762
9,df_to_dp_wal_24,0,4.7498,5.2610,4.4942
10,df_to_dp_wal_25,0,7.6486,3.3889,2.1854
11,df_to_dp_wal_26,0,5.5777,2.5529,2.3785
12,df_to_dp_wal_27,0,8.3023,3.0871,1.8966
13,df_to_dp_wal_28,0,9.7080,4.3831,3.1915
14,df_to_dp_wal_29,0,6.4514,1.8991,1.2974
15,df_to_dp_wal_30,0,0.6920,5.6657,5.3317
16,df_to_dp_wal_31,0,7.7556,15.4185,12.0595
17,df_to_dp_wal_32,0,6.0769,3.3501,2.1426
18,df_to_dp_wal_33,0,6.4322,3.3814,4.0292
19,df_to_dp_wal_34,0,11.7584,15.7451,17.6252
20,df_to_dp_wal_35,0,9.6907,3.6560,3.0791
21,df_to_dp_wal_36,0,6.0202,2.3020,2.1063
22,df_to_dp_wal_37,0,4.6694,4.0460,2.9052
23,df_to_dp_wal_38,0,14.0328,14.5335,9.2635
24,df_to_dp_wal_39,0,8.8855,3.7088,2.3326
25,df_to_dp_wal_40,0,9.4536,3.3867,2.9749
26,df_to_dp_wal_41,0,0.1420,3.0436,2.9483
27,df_to_dp_wal_42,0,9.7909,5.0135,2.9150
28,df_to_dp_wal_43,0,5.3731,8.2555,8.0661
29,df_to_dp_wal_44,0,8.0129,3.5879,2.7102
30,df_to_dp_wal_45,0,4.9596,1.6269,1.5607
31,df_to_dp_wal_46,0,6.7939,3.0140,2.1237
32,df_to_dp_wal_47,0,9.9499,4.6894,5.9094
33,df_to_dp_wal_48,0,8.7350,2.3320,1.4836
34,df_to_dp_wal_49,0,3.3579,3.0823,3.0615
35,df_to_dp_wal_50,0,4.9875,1.3344,1.1341
36,df_to_dp_wal_51,0,6.5585,5.2901,4.1964
37,df_to_dp_wal_52,0,7.0883,2.8249,2.4923
38,df_to_dp_wal_53,0,9.8848,16.3551,13.5695
39,df_to_dp_wal_54,0,9.3495,6.0434,3.8884
40,df_to_dp_wal_55,0,5.1489,3.8624,2.5996
41,df_to_dp_wal_56,0,8.3881,1.8415,1.3434
42,df_to_dp_wal_57,0,5.6081,1.7719,1.5167
43,df_to_dp_wal_58,0,6.4128,10.4992,10.2755
44,df_to_dp_wal_59,0,6.2045,2.1670,1.5973
45,df_to_dp_wal_60,0,8.6431,5.9252,3.8008
46,df_to_dp_wal_61,0,7.8972,3.2253,3.0549
47,df_to_dp_wal_62,0,5.6781,3.7807,3.0996
48,df_to_dp_wal_63,0,6.0284,3.5258,3.5914
49,df_to_dp_wal_64,0,3.0684,3.5241,3.1160
50,df_to_dp_wal_65,0,9.0234,6.6656,4.3302
51,df_to_dp_wal_66,0,5.4382,10.0121,6.4761
52,df_to_dp_wal_67,0,10.4500,9.4880,5.7723
53,df_to_dp_wal_68,0,7.8535,2.3069,2.6934
54,df_to_dp_wal_69,0,6.3500,3.7297,3.2887
55,df_to_dp_wal_70,0,6.2409,2.8765,2.2034
56,df_to_dp_wal_71,0,6.6283,2.2044,1.3349
57,df_to_dp_wal_72,0,7.1111,1.8351,1.5679
58,df_to_dp_wal_73,0,10.7057,6.8299,4.3312
59,df_to_dp_wal_74,0,5.3020,2.9753,4.4501
60,df_to_dp_wal_75,0,5.1374,3.4922,3.8454
61,mean,-,7.0216,4.8025,3.9016
62,std,-,2.4697,3.4769,3.0418
