,scenario,run,acc,f1_score,auroc
0,syn_wal_15_to_dp_wal_15,0,0.4250,0.3895,0.5908
1,syn_wal_15_to_dp_wal_15,1,0.4500,0.3493,0.6500
2,syn_wal_15_to_dp_wal_15,2,0.5000,0.4101,0.6175
3,syn_wal_15_to_dp_wal_15,3,0.4750,0.3654,0.6050
4,syn_wal_15_to_dp_wal_15,4,0.4250,0.3742,0.6067
5,syn_wal_15_to_dp_wal_15,5,0.5000,0.4101,0.6242
6,syn_wal_15_to_dp_wal_15,6,0.5000,0.4167,0.6217
7,syn_wal_15_to_dp_wal_15,7,0.4750,0.3654,0.5900
8,syn_wal_15_to_dp_wal_15,8,0.4750,0.3654,0.6400
9,syn_wal_15_to_dp_wal_15,9,0.5000,0.3750,0.7025
10,syn_wal_16_to_dp_wal_16,0,0.6000,0.5407,0.8883
11,syn_wal_16_to_dp_wal_16,1,0.5500,0.4621,0.9033
12,syn_wal_16_to_dp_wal_16,2,0.6000,0.5407,0.8933
13,syn_wal_16_to_dp_wal_16,3,0.5750,0.5113,0.9058
14,syn_wal_16_to_dp_wal_16,4,0.6500,0.6069,0.9150
15,syn_wal_16_to_dp_wal_16,5,0.6750,0.6200,0.9450
16,syn_wal_16_to_dp_wal_16,6,0.6000,0.5425,0.9233
17,syn_wal_16_to_dp_wal_16,7,0.6250,0.5720,0.9142
18,syn_wal_16_to_dp_wal_16,8,0.5750,0.5113,0.9117
19,syn_wal_16_to_dp_wal_16,9,0.5250,0.4237,0.8433
20,syn_wal_17_to_dp_wal_17,0,0.4250,0.3663,0.5350
21,syn_wal_17_to_dp_wal_17,1,0.3250,0.3193,0.5592
22,syn_wal_17_to_dp_wal_17,2,0.4500,0.3704,0.5883
23,syn_wal_17_to_dp_wal_17,3,0.4250,0.4030,0.5625
24,syn_wal_17_to_dp_wal_17,4,0.4250,0.3574,0.5533
25,syn_wal_17_to_dp_wal_17,5,0.3250,0.3264,0.6000
26,syn_wal_17_to_dp_wal_17,6,0.4000,0.3826,0.5708
27,syn_wal_17_to_dp_wal_17,7,0.4250,0.3529,0.6350
28,syn_wal_17_to_dp_wal_17,8,0.4750,0.4414,0.6358
29,syn_wal_17_to_dp_wal_17,9,0.4500,0.4229,0.6008
30,syn_wal_18_to_dp_wal_18,0,0.3000,0.2993,0.6192
31,syn_wal_18_to_dp_wal_18,1,0.2250,0.2443,0.5883
32,syn_wal_18_to_dp_wal_18,2,0.4000,0.3157,0.6617
33,syn_wal_18_to_dp_wal_18,3,0.4750,0.3500,0.6050
34,syn_wal_18_to_dp_wal_18,4,0.4500,0.3359,0.6075
35,syn_wal_18_to_dp_wal_18,5,0.4750,0.3397,0.6442
36,syn_wal_18_to_dp_wal_18,6,0.2750,0.2753,0.5892
37,syn_wal_18_to_dp_wal_18,7,0.4250,0.3823,0.6433
38,syn_wal_18_to_dp_wal_18,8,0.4750,0.3588,0.7000
39,syn_wal_18_to_dp_wal_18,9,0.3250,0.3083,0.6142
40,syn_wal_19_to_dp_wal_19,0,0.4250,0.3529,0.6392
41,syn_wal_19_to_dp_wal_19,1,0.3750,0.3258,0.6350
42,syn_wal_19_to_dp_wal_19,2,0.4500,0.3581,0.5858
43,syn_wal_19_to_dp_wal_19,3,0.4000,0.3847,0.6492
44,syn_wal_19_to_dp_wal_19,4,0.4750,0.4167,0.6800
45,syn_wal_19_to_dp_wal_19,5,0.4500,0.3643,0.6208
46,syn_wal_19_to_dp_wal_19,6,0.3750,0.3281,0.6217
47,syn_wal_19_to_dp_wal_19,7,0.4750,0.3716,0.6275
48,syn_wal_19_to_dp_wal_19,8,0.4000,0.3670,0.7075
49,syn_wal_19_to_dp_wal_19,9,0.3750,0.3281,0.6033
50,syn_wal_20_to_dp_wal_20,0,0.4750,0.3966,0.6167
51,syn_wal_20_to_dp_wal_20,1,0.4000,0.3798,0.6950
52,syn_wal_20_to_dp_wal_20,2,0.5000,0.4476,0.7217
53,syn_wal_20_to_dp_wal_20,3,0.5250,0.4383,0.7400
54,syn_wal_20_to_dp_wal_20,4,0.4500,0.3413,0.7842
55,syn_wal_20_to_dp_wal_20,5,0.4750,0.4367,0.6933
56,syn_wal_20_to_dp_wal_20,6,0.4750,0.3618,0.8017
57,syn_wal_20_to_dp_wal_20,7,0.6250,0.5628,0.7708
58,syn_wal_20_to_dp_wal_20,8,0.5000,0.4357,0.7367
59,syn_wal_20_to_dp_wal_20,9,0.4000,0.3548,0.6492
60,syn_wal_21_to_dp_wal_21,0,0.4750,0.4107,0.6875
61,syn_wal_21_to_dp_wal_21,1,0.3250,0.2969,0.6533
62,syn_wal_21_to_dp_wal_21,2,0.3250,0.3100,0.5833
63,syn_wal_21_to_dp_wal_21,3,0.5500,0.4685,0.7200
64,syn_wal_21_to_dp_wal_21,4,0.5250,0.4270,0.6833
65,syn_wal_21_to_dp_wal_21,5,0.4250,0.3801,0.6492
66,syn_wal_21_to_dp_wal_21,6,0.4500,0.4090,0.6658
67,syn_wal_21_to_dp_wal_21,7,0.5500,0.4983,0.7108
68,syn_wal_21_to_dp_wal_21,8,0.5000,0.3750,0.6633
69,syn_wal_21_to_dp_wal_21,9,0.5000,0.4299,0.6675
70,syn_wal_22_to_dp_wal_22,0,0.4000,0.3825,0.7617
71,syn_wal_22_to_dp_wal_22,1,0.5250,0.4224,0.7650
72,syn_wal_22_to_dp_wal_22,2,0.5250,0.4276,0.8125
73,syn_wal_22_to_dp_wal_22,3,0.5250,0.4272,0.8192
74,syn_wal_22_to_dp_wal_22,4,0.5000,0.3663,0.7900
75,syn_wal_22_to_dp_wal_22,5,0.5250,0.4121,0.8925
76,syn_wal_22_to_dp_wal_22,6,0.5000,0.3663,0.8233
77,syn_wal_22_to_dp_wal_22,7,0.5000,0.3663,0.8358
78,syn_wal_22_to_dp_wal_22,8,0.6750,0.5929,0.9200
79,syn_wal_22_to_dp_wal_22,9,0.5250,0.4262,0.7725
80,syn_wal_23_to_dp_wal_23,0,0.4750,0.4035,0.7492
81,syn_wal_23_to_dp_wal_23,1,0.4500,0.3835,0.7025
82,syn_wal_23_to_dp_wal_23,2,0.6000,0.5457,0.7275
83,syn_wal_23_to_dp_wal_23,3,0.4750,0.4035,0.6900
84,syn_wal_23_to_dp_wal_23,4,0.5250,0.4565,0.7308
85,syn_wal_23_to_dp_wal_23,5,0.5750,0.5004,0.7467
86,syn_wal_23_to_dp_wal_23,6,0.5500,0.4916,0.6908
87,syn_wal_23_to_dp_wal_23,7,0.4500,0.4168,0.6625
88,syn_wal_23_to_dp_wal_23,8,0.4750,0.4266,0.6883
89,syn_wal_23_to_dp_wal_23,9,0.5000,0.4381,0.7042
90,syn_wal_24_to_dp_wal_24,0,0.4000,0.3764,0.6608
91,syn_wal_24_to_dp_wal_24,1,0.4000,0.3275,0.5750
92,syn_wal_24_to_dp_wal_24,2,0.4000,0.3368,0.6350
93,syn_wal_24_to_dp_wal_24,3,0.4000,0.3248,0.5467
94,syn_wal_24_to_dp_wal_24,4,0.4500,0.3522,0.7000
95,syn_wal_24_to_dp_wal_24,5,0.4000,0.3314,0.6000
96,syn_wal_24_to_dp_wal_24,6,0.4500,0.3522,0.7125
97,syn_wal_24_to_dp_wal_24,7,0.3250,0.3014,0.6358
98,syn_wal_24_to_dp_wal_24,8,0.4000,0.3314,0.5825
99,syn_wal_24_to_dp_wal_24,9,0.4250,0.3421,0.6158
100,syn_wal_25_to_dp_wal_25,0,0.5000,0.4174,0.8850
101,syn_wal_25_to_dp_wal_25,1,0.5000,0.3750,0.8883
102,syn_wal_25_to_dp_wal_25,2,0.5000,0.4073,0.8658
103,syn_wal_25_to_dp_wal_25,3,0.5250,0.4567,0.8842
104,syn_wal_25_to_dp_wal_25,4,0.5000,0.4073,0.8542
105,syn_wal_25_to_dp_wal_25,5,0.5250,0.4383,0.8683
106,syn_wal_25_to_dp_wal_25,6,0.5000,0.4073,0.8617
107,syn_wal_25_to_dp_wal_25,7,0.7500,0.6667,0.9058
108,syn_wal_25_to_dp_wal_25,8,0.5000,0.4073,0.8942
109,syn_wal_25_to_dp_wal_25,9,0.5000,0.4073,0.8408
110,syn_wal_26_to_dp_wal_26,0,0.3500,0.3308,0.6342
111,syn_wal_26_to_dp_wal_26,1,0.2500,0.2694,0.5617
112,syn_wal_26_to_dp_wal_26,2,0.3250,0.3100,0.6300
113,syn_wal_26_to_dp_wal_26,3,0.2750,0.2858,0.5633
114,syn_wal_26_to_dp_wal_26,4,0.2750,0.2538,0.6108
115,syn_wal_26_to_dp_wal_26,5,0.4500,0.4144,0.6842
116,syn_wal_26_to_dp_wal_26,6,0.2500,0.2167,0.5875
117,syn_wal_26_to_dp_wal_26,7,0.4000,0.3774,0.7075
118,syn_wal_26_to_dp_wal_26,8,0.3250,0.2633,0.6608
119,syn_wal_26_to_dp_wal_26,9,0.3500,0.3048,0.6192
120,syn_wal_27_to_dp_wal_27,0,0.5250,0.4968,0.7100
121,syn_wal_27_to_dp_wal_27,1,0.4500,0.3929,0.7167
122,syn_wal_27_to_dp_wal_27,2,0.5500,0.5254,0.7475
123,syn_wal_27_to_dp_wal_27,3,0.5000,0.4723,0.7508
124,syn_wal_27_to_dp_wal_27,4,0.5000,0.4643,0.7942
125,syn_wal_27_to_dp_wal_27,5,0.4750,0.4633,0.7433
126,syn_wal_27_to_dp_wal_27,6,0.5250,0.4919,0.7608
127,syn_wal_27_to_dp_wal_27,7,0.5500,0.5179,0.7875
128,syn_wal_27_to_dp_wal_27,8,0.5750,0.5524,0.7808
129,syn_wal_27_to_dp_wal_27,9,0.5000,0.4784,0.7425
130,syn_wal_28_to_dp_wal_28,0,0.4500,0.3833,0.6150
131,syn_wal_28_to_dp_wal_28,1,0.2750,0.2661,0.5567
132,syn_wal_28_to_dp_wal_28,2,0.2750,0.2661,0.5642
