,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_wal_15_to_dp_wal_15,0,0.0159,5.4096,4.0204
1,syn_wal_15_to_dp_wal_15,1,0.0017,6.2096,4.0990
2,syn_wal_15_to_dp_wal_15,2,0.0021,10.8097,6.4883
3,syn_wal_15_to_dp_wal_15,3,0.0010,8.5130,5.3883
4,syn_wal_15_to_dp_wal_15,4,0.0012,7.6685,5.0113
5,syn_wal_15_to_dp_wal_15,5,0.0021,9.2944,5.9415
6,syn_wal_15_to_dp_wal_15,6,0.0006,9.2602,5.9768
7,syn_wal_15_to_dp_wal_15,7,0.0023,9.4947,5.7903
8,syn_wal_15_to_dp_wal_15,8,0.0009,10.2664,6.3804
9,syn_wal_15_to_dp_wal_15,9,0.0007,7.1248,4.6267
10,syn_wal_16_to_dp_wal_16,0,0.0097,1.2273,0.9621
11,syn_wal_16_to_dp_wal_16,1,0.0159,2.5811,1.4097
12,syn_wal_16_to_dp_wal_16,2,0.0101,1.3741,0.8850
13,syn_wal_16_to_dp_wal_16,3,0.0085,1.3746,1.0168
14,syn_wal_16_to_dp_wal_16,4,0.0092,1.1196,0.8988
15,syn_wal_16_to_dp_wal_16,5,0.0084,1.0541,0.6900
16,syn_wal_16_to_dp_wal_16,6,0.0094,1.1042,0.7502
17,syn_wal_16_to_dp_wal_16,7,0.0097,1.5794,0.9255
18,syn_wal_16_to_dp_wal_16,8,0.0098,1.1123,0.8207
19,syn_wal_16_to_dp_wal_16,9,0.0111,2.1789,1.2870
20,syn_wal_17_to_dp_wal_17,0,0.0025,3.8388,2.1776
21,syn_wal_17_to_dp_wal_17,1,0.0024,2.9359,2.4267
22,syn_wal_17_to_dp_wal_17,2,0.0215,3.2333,2.1773
23,syn_wal_17_to_dp_wal_17,3,0.0016,2.2924,2.0109
24,syn_wal_17_to_dp_wal_17,4,0.0025,3.5537,4.0209
25,syn_wal_17_to_dp_wal_17,5,0.0016,1.8441,2.2912
26,syn_wal_17_to_dp_wal_17,6,0.0027,2.6674,2.2726
27,syn_wal_17_to_dp_wal_17,7,0.0099,3.1602,4.1639
28,syn_wal_17_to_dp_wal_17,8,0.0007,2.2497,1.7613
29,syn_wal_17_to_dp_wal_17,9,0.0010,2.1164,1.9360
30,syn_wal_18_to_dp_wal_18,0,0.0009,2.4880,1.7496
31,syn_wal_18_to_dp_wal_18,1,0.0024,2.3951,2.1344
32,syn_wal_18_to_dp_wal_18,2,0.0007,1.7986,1.1991
33,syn_wal_18_to_dp_wal_18,3,0.0029,2.6105,1.7234
34,syn_wal_18_to_dp_wal_18,4,0.0010,2.4037,1.6018
35,syn_wal_18_to_dp_wal_18,5,0.0024,1.8233,1.2987
36,syn_wal_18_to_dp_wal_18,6,0.0014,2.4551,2.3154
37,syn_wal_18_to_dp_wal_18,7,0.0022,1.8144,1.3951
38,syn_wal_18_to_dp_wal_18,8,0.0012,2.3200,1.4127
39,syn_wal_18_to_dp_wal_18,9,0.0011,2.6318,1.8705
40,syn_wal_19_to_dp_wal_19,0,0.0013,2.6117,3.5134
41,syn_wal_19_to_dp_wal_19,1,0.0012,2.6270,3.4687
42,syn_wal_19_to_dp_wal_19,2,0.0008,2.8262,4.4149
43,syn_wal_19_to_dp_wal_19,3,0.0008,2.0199,3.1718
44,syn_wal_19_to_dp_wal_19,4,0.0007,2.4017,4.0081
45,syn_wal_19_to_dp_wal_19,5,0.0007,2.8587,3.7854
46,syn_wal_19_to_dp_wal_19,6,0.0009,2.8118,3.7769
47,syn_wal_19_to_dp_wal_19,7,0.0012,2.5788,4.4270
48,syn_wal_19_to_dp_wal_19,8,0.0005,2.3479,2.3778
49,syn_wal_19_to_dp_wal_19,9,0.0018,2.2102,3.3482
50,syn_wal_20_to_dp_wal_20,0,0.0032,3.2922,2.1452
51,syn_wal_20_to_dp_wal_20,1,0.0022,2.2334,1.7234
52,syn_wal_20_to_dp_wal_20,2,0.0014,2.0235,1.4799
53,syn_wal_20_to_dp_wal_20,3,0.0010,2.1016,1.4253
54,syn_wal_20_to_dp_wal_20,4,0.0079,4.2211,2.5607
55,syn_wal_20_to_dp_wal_20,5,0.0007,2.5918,1.7428
56,syn_wal_20_to_dp_wal_20,6,0.0019,2.2933,1.4655
57,syn_wal_20_to_dp_wal_20,7,0.0030,1.9857,1.3686
58,syn_wal_20_to_dp_wal_20,8,0.0011,1.8299,1.4132
59,syn_wal_20_to_dp_wal_20,9,0.0010,2.6656,1.9407
60,syn_wal_21_to_dp_wal_21,0,0.0008,1.5427,1.1935
61,syn_wal_21_to_dp_wal_21,1,0.0026,2.4476,2.6568
62,syn_wal_21_to_dp_wal_21,2,0.0025,2.3446,2.0707
63,syn_wal_21_to_dp_wal_21,3,0.0012,2.1929,1.3583
64,syn_wal_21_to_dp_wal_21,4,0.0016,2.7553,1.4750
65,syn_wal_21_to_dp_wal_21,5,0.0010,1.9778,1.5561
66,syn_wal_21_to_dp_wal_21,6,0.0012,1.8341,1.3370
67,syn_wal_21_to_dp_wal_21,7,0.0027,1.9455,1.4225
68,syn_wal_21_to_dp_wal_21,8,0.0014,2.6150,1.7603
69,syn_wal_21_to_dp_wal_21,9,0.0028,2.3084,1.5927
70,syn_wal_22_to_dp_wal_22,0,0.0243,1.6349,1.3744
71,syn_wal_22_to_dp_wal_22,1,0.0057,2.5340,1.5139
72,syn_wal_22_to_dp_wal_22,2,0.0011,1.6457,1.2097
73,syn_wal_22_to_dp_wal_22,3,0.0019,2.4195,1.6106
74,syn_wal_22_to_dp_wal_22,4,0.0122,3.2444,2.0149
75,syn_wal_22_to_dp_wal_22,5,0.0057,1.2371,0.8566
76,syn_wal_22_to_dp_wal_22,6,0.0179,3.1239,2.0452
77,syn_wal_22_to_dp_wal_22,7,0.0046,2.5708,1.7291
78,syn_wal_22_to_dp_wal_22,8,0.0009,1.6616,0.9679
79,syn_wal_22_to_dp_wal_22,9,0.0018,2.7407,1.5947
80,syn_wal_23_to_dp_wal_23,0,0.0085,3.0375,1.9862
81,syn_wal_23_to_dp_wal_23,1,0.0014,3.2527,2.0980
82,syn_wal_23_to_dp_wal_23,2,0.0011,3.0882,2.5004
83,syn_wal_23_to_dp_wal_23,3,0.0010,3.5237,2.3101
84,syn_wal_23_to_dp_wal_23,4,0.0017,2.2610,1.6259
85,syn_wal_23_to_dp_wal_23,5,0.0015,2.9723,1.8129
86,syn_wal_23_to_dp_wal_23,6,0.0029,2.6781,1.7732
87,syn_wal_23_to_dp_wal_23,7,0.0045,3.6245,2.0929
88,syn_wal_23_to_dp_wal_23,8,0.0031,2.7119,1.7634
89,syn_wal_23_to_dp_wal_23,9,0.0009,2.9907,2.0340
90,syn_wal_24_to_dp_wal_24,0,0.0236,3.0453,2.5525
91,syn_wal_24_to_dp_wal_24,1,0.0033,3.1784,2.4451
92,syn_wal_24_to_dp_wal_24,2,0.0031,2.8304,2.0651
93,syn_wal_24_to_dp_wal_24,3,0.0015,3.7033,2.5937
94,syn_wal_24_to_dp_wal_24,4,0.0015,3.2382,2.1878
95,syn_wal_24_to_dp_wal_24,5,0.0008,3.3965,2.5125
96,syn_wal_24_to_dp_wal_24,6,0.0014,2.6579,1.9817
97,syn_wal_24_to_dp_wal_24,7,0.0022,2.5695,2.1710
98,syn_wal_24_to_dp_wal_24,8,0.0010,3.2238,2.4751
99,syn_wal_24_to_dp_wal_24,9,0.0007,3.4604,2.5214
100,syn_wal_25_to_dp_wal_25,0,0.0008,2.2196,1.2750
101,syn_wal_25_to_dp_wal_25,1,0.0009,1.8358,1.2222
102,syn_wal_25_to_dp_wal_25,2,0.0011,2.2889,1.3856
103,syn_wal_25_to_dp_wal_25,3,0.0005,1.6540,1.0201
104,syn_wal_25_to_dp_wal_25,4,0.0017,2.7949,1.6673
105,syn_wal_25_to_dp_wal_25,5,0.0010,2.1004,1.1346
106,syn_wal_25_to_dp_wal_25,6,0.0011,2.3453,1.5424
107,syn_wal_25_to_dp_wal_25,7,0.0015,0.8960,0.6982
108,syn_wal_25_to_dp_wal_25,8,0.0134,1.7871,1.1883
109,syn_wal_25_to_dp_wal_25,9,0.0019,2.6676,1.5394
110,syn_wal_26_to_dp_wal_26,0,0.0177,2.2074,1.5749
111,syn_wal_26_to_dp_wal_26,1,0.0142,2.6460,2.0554
112,syn_wal_26_to_dp_wal_26,2,0.0112,2.3147,1.7452
113,syn_wal_26_to_dp_wal_26,3,0.0138,2.7515,1.9692
114,syn_wal_26_to_dp_wal_26,4,0.0106,2.4914,1.8197
115,syn_wal_26_to_dp_wal_26,5,0.0167,2.4258,1.4936
116,syn_wal_26_to_dp_wal_26,6,0.0157,3.2326,2.6655
117,syn_wal_26_to_dp_wal_26,7,0.0240,2.0143,1.4117
118,syn_wal_26_to_dp_wal_26,8,0.0107,2.6404,1.6950
119,syn_wal_26_to_dp_wal_26,9,0.0131,2.6844,1.8733
120,syn_wal_27_to_dp_wal_27,0,0.0011,2.1236,2.2401
121,syn_wal_27_to_dp_wal_27,1,0.0015,2.0030,1.6569
122,syn_wal_27_to_dp_wal_27,2,0.0030,2.5517,1.9004
123,syn_wal_27_to_dp_wal_27,3,0.0114,2.1196,2.2294
124,syn_wal_27_to_dp_wal_27,4,0.0029,2.3586,1.7052
125,syn_wal_27_to_dp_wal_27,5,0.0074,1.6467,1.4491
126,syn_wal_27_to_dp_wal_27,6,0.0031,1.9400,1.6333
127,syn_wal_27_to_dp_wal_27,7,0.0035,1.7129,1.4678
128,syn_wal_27_to_dp_wal_27,8,0.0009,1.7813,1.2703
129,syn_wal_27_to_dp_wal_27,9,0.0025,2.4360,1.6113
130,syn_wal_28_to_dp_wal_28,0,0.0010,2.8610,4.7527
131,syn_wal_28_to_dp_wal_28,1,0.0014,2.5302,3.7866
132,syn_wal_28_to_dp_wal_28,2,0.0024,3.1673,3.5744
133,syn_wal_28_to_dp_wal_28,3,0.0008,2.6464,3.4236
134,syn_wal_28_to_dp_wal_28,4,0.0021,1.5116,2.1796
135,syn_wal_28_to_dp_wal_28,5,0.0009,2.6459,4.0443
136,syn_wal_28_to_dp_wal_28,6,0.0008,2.2970,3.0673
137,syn_wal_28_to_dp_wal_28,7,0.0097,2.5999,2.9464
138,syn_wal_28_to_dp_wal_28,8,0.0006,1.7953,2.2374
139,syn_wal_28_to_dp_wal_28,9,0.0012,2.9747,4.0036
140,syn_wal_29_to_dp_wal_29,0,0.0009,1.8967,1.3103
141,syn_wal_29_to_dp_wal_29,1,0.0025,1.8493,1.4042
142,syn_wal_29_to_dp_wal_29,2,0.0018,1.6950,1.1858
143,syn_wal_29_to_dp_wal_29,3,0.0011,1.7397,1.2452
144,syn_wal_29_to_dp_wal_29,4,0.0015,2.0184,1.2055
145,syn_wal_29_to_dp_wal_29,5,0.0006,1.7617,1.8969
146,syn_wal_29_to_dp_wal_29,6,0.0021,2.1276,1.3110
147,syn_wal_29_to_dp_wal_29,7,0.0029,2.2118,1.4312
148,syn_wal_29_to_dp_wal_29,8,0.0009,1.9354,1.2195
149,syn_wal_29_to_dp_wal_29,9,0.0013,2.0357,1.3963
150,syn_wal_30_to_dp_wal_30,0,0.0036,3.0659,2.8030
151,syn_wal_30_to_dp_wal_30,1,0.0053,3.2548,2.8708
152,syn_wal_30_to_dp_wal_30,2,0.0029,1.3345,2.4474
153,syn_wal_30_to_dp_wal_30,3,0.0087,3.7686,3.5007
154,syn_wal_30_to_dp_wal_30,4,0.0017,4.0872,3.1771
155,syn_wal_30_to_dp_wal_30,5,0.0035,2.5651,2.2510
156,syn_wal_30_to_dp_wal_30,6,0.0019,4.6128,2.7637
157,syn_wal_30_to_dp_wal_30,7,0.0035,2.3778,2.6073
158,syn_wal_30_to_dp_wal_30,8,0.0012,1.4227,2.5446
159,syn_wal_30_to_dp_wal_30,9,0.0051,4.9127,3.3045
160,syn_wal_31_to_dp_wal_31,0,0.0025,7.0949,6.7032
161,syn_wal_31_to_dp_wal_31,1,0.0047,7.1044,5.9911
162,syn_wal_31_to_dp_wal_31,2,0.0024,3.7070,4.2447
163,syn_wal_31_to_dp_wal_31,3,0.0026,3.3378,5.2327
164,syn_wal_31_to_dp_wal_31,4,0.0015,6.0369,5.3682
165,syn_wal_31_to_dp_wal_31,5,0.0024,7.5818,6.2199
166,syn_wal_31_to_dp_wal_31,6,0.0026,5.7391,4.7462
167,syn_wal_31_to_dp_wal_31,7,0.0025,5.3398,5.2952
168,syn_wal_31_to_dp_wal_31,8,0.0032,7.0231,5.7118
169,syn_wal_31_to_dp_wal_31,9,0.0017,4.7815,5.2464
170,syn_wal_32_to_dp_wal_32,0,0.0016,4.7168,2.9770
171,syn_wal_32_to_dp_wal_32,1,0.0015,4.0788,2.8600
172,syn_wal_32_to_dp_wal_32,2,0.0038,3.9594,2.6549
173,syn_wal_32_to_dp_wal_32,3,0.0015,3.7900,2.8927
174,syn_wal_32_to_dp_wal_32,4,0.0304,5.5461,3.3878
175,syn_wal_32_to_dp_wal_32,5,0.0023,4.0092,2.4617
176,syn_wal_32_to_dp_wal_32,6,0.0012,3.0671,2.3742
177,syn_wal_32_to_dp_wal_32,7,0.0021,4.1606,2.6761
178,syn_wal_32_to_dp_wal_32,8,0.0016,3.6615,2.2786
179,syn_wal_32_to_dp_wal_32,9,0.0011,3.4860,2.3526
180,syn_wal_33_to_dp_wal_33,0,0.0053,2.8942,2.2359
181,syn_wal_33_to_dp_wal_33,1,0.0008,2.9050,2.5859
182,syn_wal_33_to_dp_wal_33,2,0.0022,2.5088,2.3708
183,syn_wal_33_to_dp_wal_33,3,0.0010,2.7303,1.9865
184,syn_wal_33_to_dp_wal_33,4,0.0007,2.5658,2.0441
185,syn_wal_33_to_dp_wal_33,5,0.0008,2.1464,1.6969
186,syn_wal_33_to_dp_wal_33,6,0.0013,2.1862,1.9279
187,syn_wal_33_to_dp_wal_33,7,0.0021,2.3771,2.4406
188,syn_wal_33_to_dp_wal_33,8,0.0035,2.8191,3.6529
189,syn_wal_33_to_dp_wal_33,9,0.0025,2.6264,2.2089
190,syn_wal_34_to_dp_wal_34,0,0.0039,6.5161,8.6488
191,syn_wal_34_to_dp_wal_34,1,0.0007,8.0576,9.3725
192,syn_wal_34_to_dp_wal_34,2,0.0036,6.6590,9.0924
193,syn_wal_34_to_dp_wal_34,3,0.0007,7.0510,7.4906
194,syn_wal_34_to_dp_wal_34,4,0.0008,5.3727,3.4318
195,syn_wal_34_to_dp_wal_34,5,0.0016,8.6315,10.4308
196,syn_wal_34_to_dp_wal_34,6,0.0009,8.5671,6.0930
197,syn_wal_34_to_dp_wal_34,7,0.0015,5.7649,6.5798
198,syn_wal_34_to_dp_wal_34,8,0.0011,7.4256,4.8432
199,syn_wal_34_to_dp_wal_34,9,0.0007,4.7491,4.1321
200,syn_wal_35_to_dp_wal_35,0,0.0010,2.5912,4.3770
